,Team,QB,RB/FB,WR,TE,OL,DL,LB,DB,K/P/LS
0,Cardinals,12.0,13.0,22.0,5.0,38.0,33.0,21.0,28.0,6.0
1,Falcons,14.0,18.0,20.0,8.0,45.0,37.0,17.0,28.0,7.0
2,Ravens,16.0,14.0,18.0,13.0,39.0,38.0,32.0,42.0,6.0
3,Bills,20.0,19.0,33.0,6.0,56.0,37.0,40.0,38.0,6.0
4,Panthers,9.0,16.0,20.0,5.0,36.0,44.0,25.0,34.0,10.0
5,Bears,18.0,14.0,20.0,7.0,44.0,30.0,20.0,22.0,7.0
6,Bengals,17.0,16.0,32.0,5.0,52.0,51.0,23.0,38.0,6.0
7,Browns,14.0,17.0,23.0,8.0,46.0,40.0,21.0,29.0,5.0
8,Cowboys,15.0,19.0,25.0,9.0,50.0,42.0,38.0,38.0,8.0
9,Broncos,10.0,11.0,15.0,6.0,31.0,50.0,19.0,42.0,6.0
10,Lions,16.0,20.0,33.0,8.0,56.0,31.0,21.0,28.0,5.0
11,Packers,14.0,19.0,26.0,7.0,51.0,23.0,35.0,38.0,5.0
12,Texans,9.0,10.0,16.0,8.0,32.0,39.0,27.0,33.0,10.0
13,Colts,10.0,11.0,17.0,5.0,34.0,38.0,22.0,32.0,6.0
14,Jaguars,14.0,16.0,25.0,8.0,44.0,42.0,20.0,32.0,7.0
15,Chiefs,19.0,18.0,25.0,16.0,59.0,40.0,22.0,29.0,5.0
16,Raiders,15.0,18.0,25.0,8.0,42.0,38.0,18.0,28.0,9.0
17,Chargers,14.0,15.0,25.0,7.0,47.0,44.0,18.0,34.0,7.0
18,Rams,12.0,12.0,23.0,7.0,38.0,32.0,31.0,31.0,9.0
19,Dolphins,16.0,13.0,33.0,4.0,48.0,23.0,34.0,30.0,6.0
20,Vikings,14.0,14.0,28.0,7.0,40.0,42.0,16.0,32.0,5.0
21,Patriots,10.0,13.0,19.0,6.0,39.0,35.0,37.0,42.0,5.0
22,Saints,10.0,10.0,19.0,10.0,38.0,45.0,29.0,34.0,5.0
23,Giants,17.0,16.0,22.0,5.0,37.0,48.0,16.0,32.0,8.0
24,Jets,8.0,11.0,18.0,6.0,34.0,48.0,29.0,41.0,7.0
25,Eagles,22.0,16.0,35.0,9.0,62.0,36.0,31.0,39.0,5.0
26,Steelers,11.0,11.0,19.0,8.0,39.0,30.0,36.0,36.0,5.0
27,49ers,17.0,22.0,26.0,10.0,52.0,51.0,33.0,45.0,5.0
28,Seahawks,15.0,14.0,24.0,10.0,45.0,25.0,32.0,35.0,8.0
29,Buccaneers,10.0,11.0,21.0,5.0,38.0,48.0,21.0,35.0,7.0
30,Titans,10.0,14.0,12.0,8.0,33.0,50.0,19.0,36.0,9.0
31,Commanders,11.0,12.0,21.0,4.0,35.0,51.0,18.0,39.0,6.0
