feature,correlation,abs_correlation,p_value,n_samples,is_prev_year
weighted_avg_grades_coverage_defense,0.7992500539918606,0.7992500539918606,9.127041028420357e-108,480,False
weighted_avg_grades_run_defense,0.7691873141382825,0.7691873141382825,5.156428911063168e-95,480,False
weighted_avg_stops,0.5132898991674903,0.5132898991674903,1.2827684864708909e-33,480,False
weighted_avg_grades_pass_rush_defense,0.41967495056610216,0.41967495056610216,6.691880495002513e-22,480,False
weighted_avg_grades_tackle,0.41715324433804174,0.41715324433804174,1.240583794546888e-21,480,False
weighted_avg_tackles,0.3960010440113141,0.3960010440113141,1.7984896551688625e-19,480,False
prev_weighted_avg_grades_run_defense,0.368784420309218,0.368784420309218,7.02502281932253e-16,448,True
weighted_avg_tackles_for_loss,0.3625397765206136,0.3625397765206136,2.34747707411003e-16,480,False
weighted_avg_player_game_count,0.3610720637643875,0.3610720637643875,3.1561093502018423e-16,480,False
weighted_avg_pass_break_ups,0.3573963522704457,0.3573963522704457,6.579495436215135e-16,480,False
prev_weighted_avg_grades_defense,0.35708561908825254,0.35708561908825254,6.4183771721314356e-15,448,True
weighted_avg_missed_tackle_rate,-0.3489421842029188,0.3489421842029188,3.4389717194418533e-15,480,False
weighted_avg_snap_counts_offball,0.33336201881553273,0.33336201881553273,6.374380573674876e-14,480,False
weighted_avg_sacks,0.31881560865703873,0.31881560865703873,8.415014287133693e-13,480,False
weighted_avg_total_pressures,0.31192372578966776,0.31192372578966776,2.724090407495701e-12,480,False
weighted_avg_snap_counts_box,0.3112305735574173,0.3112305735574173,3.0605824262560363e-12,480,False
weighted_avg_interceptions,0.2681556807542178,0.2681556807542178,2.3820109195346883e-09,480,False
Net_EPA,0.2592932791673206,0.2592932791673206,8.170313580201009e-09,480,False
weighted_avg_hurries,0.2562485232118053,0.2562485232118053,1.2348433095942332e-08,480,False
weighted_avg_forced_fumbles,0.238571331611116,0.238571331611116,1.2246413848095214e-07,480,False
weighted_avg_targets,0.23090716020770002,0.23090716020770002,3.1371299600207654e-07,480,False
weighted_avg_snap_counts_run_defense,0.22906897729111278,0.22906897729111278,3.912316218167683e-07,480,False
weighted_avg_hits,0.22593346561552496,0.22593346561552496,5.677745669340743e-07,480,False
prev_weighted_avg_grades_tackle,0.22441917274432938,0.22441917274432938,1.6015798167834008e-06,448,True
prev_weighted_avg_grades_coverage_defense,0.21666969571612768,0.21666969571612768,3.686547117446255e-06,448,True
prev_weighted_avg_tackles_for_loss,0.2071901529244247,0.2071901529244247,9.815318910809407e-06,448,True
Win_Percent,0.19897202283001983,0.19897202283001983,1.1237380397658537e-05,480,False
prev_weighted_avg_stops,0.19609271315800839,0.19609271315800839,2.9208520768209987e-05,448,True
prev_weighted_avg_missed_tackle_rate,-0.1957423222267875,0.1957423222267875,3.0202414221379747e-05,448,True
weighted_avg_fumble_recoveries,0.18993969585238157,0.18993969585238157,2.8054276383713644e-05,480,False
prev_weighted_avg_grades_pass_rush_defense,0.18104817807823942,0.18104817807823942,0.00011655985534509722,448,True
prev_weighted_avg_tackles,0.16326041377619022,0.16326041377619022,0.0005219691772589207,448,True
weighted_avg_age,0.15539690962681352,0.15539690962681352,0.0006343743781940151,480,False
prev_weighted_avg_player_game_count,0.14780749375503688,0.14780749375503688,0.0017068500208339103,448,True
weighted_avg_snap_counts_pass_rush,0.1470277940839561,0.1470277940839561,0.00123620888881154,480,False
sum_Cap_Space,0.14635212322672514,0.14635212322672514,0.0013027028138621985,480,False
prev_weighted_avg_pass_break_ups,0.1337992211775173,0.1337992211775173,0.0045561070086075,448,True
total_players,-0.11928576274801199,0.11928576274801199,0.008897896754317245,480,False
prev_weighted_avg_snap_counts_offball,0.11449501639662486,0.11449501639662486,0.01532481869348777,448,True
weighted_avg_assists,0.11429299126961104,0.11429299126961104,0.012220198710850698,480,False
prev_weighted_avg_hits,0.10926042469457836,0.10926042469457836,0.020718506402881046,448,True
prev_weighted_avg_interceptions,0.10736641515737158,0.10736641515737158,0.02304167449124415,448,True
prev_weighted_avg_snap_counts_box,0.1034753305057486,0.1034753305057486,0.02852985079078449,448,True
prev_weighted_avg_total_pressures,0.1018052149969356,0.1018052149969356,0.031209567826069238,448,True
prev_weighted_avg_targets,0.09536606456692692,0.09536606456692692,0.04364544369733242,448,True
prev_weighted_avg_hurries,0.0950054798554174,0.0950054798554174,0.04445055536585352,448,True
total_snap_counts_defense,0.09127151073561879,0.09127151073561879,0.045649683020018844,480,False
prev_total_snap_counts_defense,0.08892750104106772,0.08892750104106772,0.06001146082711607,448,True
prev_sum_adjusted_value,0.08174893125950464,0.08174893125950464,0.08392397460790577,448,True
prev_weighted_avg_missed_tackles,-0.07623962585109216,0.07623962585109216,0.10706499185198444,448,True
prev_sum_Cap_Space,0.07314950670722828,0.07314950670722828,0.12209745567848808,448,True
sum_adjusted_value,0.06532315044314285,0.06532315044314285,0.15301756546276513,480,False
prev_weighted_avg_declined_penalties,-0.06460323539219111,0.06460323539219111,0.17225342204685196,448,True
prev_weighted_avg_snap_counts_run_defense,0.05564102528348926,0.05564102528348926,0.23986712552985281,448,True
weighted_avg_missed_tackles,-0.05099880446290739,0.05099880446290739,0.2647902669967384,480,False
prev_weighted_avg_penalties,-0.050417406388746935,0.050417406388746935,0.2869522644122905,448,True
prev_total_players,-0.04149886466874468,0.04149886466874468,0.3808729475600116,448,True
weighted_avg_declined_penalties,-0.03611416269815881,0.03611416269815881,0.4298687589563461,480,False
prev_weighted_avg_sacks,0.029549640153100933,0.029549640153100933,0.5327347181646285,448,True
prev_weighted_avg_fumble_recoveries,0.029479399225660938,0.029479399225660938,0.5337095536055618,448,True
prev_weighted_avg_assists,0.026935419500355388,0.026935419500355388,0.5696101260368394,448,True
prev_weighted_avg_forced_fumbles,-0.02607755714037705,0.02607755714037705,0.5819700081353301,448,True
prev_weighted_avg_snap_counts_pass_rush,0.008138261400979722,0.008138261400979722,0.8636135306370953,448,True
prev_weighted_avg_age,0.007739181828869618,0.007739181828869618,0.8702409709581885,448,True
weighted_avg_penalties,0.0010558738093653583,0.0010558738093653583,0.9815922598285725,480,False
