index_x,team_abbr,season,n_plays,index_y,shotgun_rate,index,no_huddle_rate,play_action_rate,air_yards_per_att,motion_rate,under_center_rate,under_center_play_action_rate,under_center_pass_rate,under_center_run_rate,shotgun_play_action_rate,shotgun_pass_rate,shotgun_run_rate,down_1_pass_rate,down_1_run_rate,down_2_pass_rate,down_2_run_rate,down_3_pass_rate,down_3_run_rate,read_option_rate,scheme_cluster
5,ARI,2020,1407,5,75.62189054726367,5,31.627576403695805,0.0,7.384488448844884,0.0,24.378109452736325,0.0,36.0,63.99999999999999,0.0,57.809330628803245,42.190669371196755,45.12922465208747,54.87077534791253,61.93181818181818,38.06818181818182,72.41379310344827,27.58620689655172,0.0,0
16,ATL,2020,1390,16,44.10071942446043,16,6.762589928057554,0.0,8.061011904761905,0.0,55.89928057553957,0.0,41.269841269841265,58.73015873015872,0.0,80.4159445407279,19.584055459272097,52.98969072164949,47.01030927835051,63.005780346820806,36.99421965317919,77.82805429864254,22.171945701357465,0.0,1
27,BAL,2020,1455,27,78.55670103092784,27,2.6804123711340204,0.0,7.923379174852652,0.0,21.44329896907216,0.0,16.9811320754717,83.01886792452831,0.0,46.33920296570899,53.66079703429101,36.693548387096776,63.306451612903224,49.73262032085562,50.26737967914438,54.39330543933054,45.60669456066946,0.0,3
38,BUF,2020,1602,38,58.23970037453184,38,6.242197253433209,0.0,8.253652058432936,0.0,41.76029962546816,0.0,31.092436974789916,68.90756302521008,0.0,74.47795823665892,25.52204176334107,62.06896551724138,37.93103448275862,57.2139303482587,42.78606965174129,69.50672645739911,30.493273542600896,0.1872659176029962,0
49,CAR,2020,1292,49,50.38699690402477,49,2.631578947368421,0.0,6.996598639455782,0.0,49.61300309597523,0.0,31.794871794871792,68.2051282051282,0.0,76.69421487603306,23.305785123966945,49.8876404494382,50.112359550561806,64.0,36.0,74.48979591836735,25.510204081632654,0.0,1
60,CHI,2020,1419,60,52.50176180408739,60,7.822410147991543,0.0,7.548387096774194,0.0,47.49823819591261,0.0,35.189873417721515,64.81012658227849,0.0,77.57142857142857,22.42857142857143,54.166666666666664,45.83333333333333,60.32608695652174,39.67391304347826,83.25581395348837,16.74418604651163,0.0,1
71,CIN,2020,1372,71,61.88046647230321,71,1.8221574344023324,0.0,7.51510333863275,0.0,38.11953352769679,0.0,29.6,70.39999999999999,0.0,70.25316455696202,29.746835443037977,51.64835164835166,48.35164835164835,61.73913043478261,38.26086956521739,76.52582159624414,23.474178403755868,0.0,0
82,CLE,2020,1508,82,35.94164456233422,82,3.183023872679045,0.0,7.76,0.0,64.05835543766578,0.0,30.36809815950921,69.63190184049081,0.0,80.88531187122736,19.11468812877264,38.65384615384615,61.346153846153854,61.273209549071616,38.726790450928384,68.16143497757847,31.838565022421523,0.0,2
93,DAL,2020,1423,93,53.90021082220661,93,11.243851018974,0.0,6.947445255474452,0.0,46.09978917779339,0.0,29.305912596401026,70.69408740359897,0.0,78.21917808219179,21.78082191780822,55.46719681908549,44.53280318091451,62.25895316804407,37.74104683195592,73.61111111111111,26.38888888888889,0.0,0
104,DEN,2020,1358,104,53.75552282768778,104,5.522827687776141,0.0,8.475548060708263,0.0,46.24447717231222,0.0,30.659025787965614,69.3409742120344,0.0,70.84548104956268,29.15451895043731,48.56512141280353,51.434878587196465,54.0,46.0,78.77358490566037,21.22641509433962,0.0,0
115,DET,2020,1319,115,49.58301743745261,115,5.761940864291129,0.0,7.931528662420382,0.0,50.41698256254739,0.0,34.895833333333336,65.10416666666666,0.0,80.85106382978724,19.148936170212767,56.01750547045952,43.98249452954048,59.93788819875776,40.06211180124223,84.89583333333334,15.104166666666666,0.0,1
126,GB,2020,1468,126,48.56948228882834,126,2.656675749318801,0.0,7.511737089201878,0.0,51.43051771117166,0.0,33.839479392624725,66.16052060737528,0.0,71.44970414201183,28.55029585798817,48.6328125,51.3671875,53.57142857142857,46.42857142857143,79.12621359223301,20.87378640776699,0.0,1
137,HOU,2020,1249,137,65.65252201761409,137,8.8871096877502,0.0,8.111666666666666,0.0,34.34747798238591,0.0,34.104046242774565,65.89595375722543,0.0,70.1686121919585,29.831387808041505,59.49074074074075,40.50925925925926,61.20401337792642,38.79598662207358,74.61139896373057,25.38860103626943,0.0,0
148,IND,2020,1439,148,60.111188325225854,148,8.686587908269631,0.0,6.942122186495177,0.0,39.888811674774146,0.0,20.13201320132013,79.86798679867987,0.0,69.08866995073892,30.91133004926109,48.717948717948715,51.28205128205128,54.90196078431373,45.09803921568628,75.70093457943925,24.299065420560748,0.0,0
159,JAX,2020,1293,159,55.9938128383604,159,4.7177107501933495,0.0,7.272455089820359,0.0,44.0061871616396,0.0,33.22784810126582,66.77215189873418,0.0,81.59420289855073,18.405797101449277,51.35746606334841,48.64253393665158,73.6024844720497,26.39751552795031,84.05797101449275,15.942028985507244,0.0,1
170,KC,2020,1623,170,67.4060382008626,170,1.6635859519408502,0.0,7.565438373570521,0.0,32.5939617991374,0.0,29.831932773109244,70.16806722689076,0.0,70.33398821218074,29.66601178781925,54.173764906303234,45.826235093696766,67.78846153846155,32.21153846153847,74.56140350877193,25.438596491228072,0.0,0
