index_x,team_abbr,season,n_plays,index_y,shotgun_rate,index,no_huddle_rate,play_action_rate,air_yards_per_att,motion_rate,under_center_rate,under_center_play_action_rate,under_center_pass_rate,under_center_run_rate,shotgun_play_action_rate,shotgun_pass_rate,shotgun_run_rate,down_1_pass_rate,down_1_run_rate,down_2_pass_rate,down_2_run_rate,down_3_pass_rate,down_3_run_rate,read_option_rate,team_nickname,personnel_01_rate,personnel_10_rate,personnel_11_rate,personnel_12_rate,personnel_13_rate,personnel_20_rate,personnel_21_rate,personnel_22_rate,personnel_31_rate,scheme_cluster
8,ARI,2023,1413,8,58.03255484784147,8,8.280254777070063,0.0,6.930463576158941,0.0,41.96744515215853,0.0,27.10280373831776,72.89719626168224,0.0,68.02631578947368,31.973684210526315,48.283261802575105,51.716738197424895,52.76967930029155,47.23032069970846,74.22222222222223,25.77777777777778,0.0,ARI,1.97,0.0,64.14,20.51,11.52,0.0,0.0,0.0,0.0,0
19,ATL,2023,1424,19,62.00842696629213,19,11.025280898876405,0.0,7.582897033158813,0.0,37.99157303370787,0.0,29.230769230769234,70.76923076923077,0.0,59.44976076555024,40.55023923444976,41.90871369294606,58.09128630705395,53.6986301369863,46.3013698630137,71.23893805309734,28.761061946902657,0.0,ATL,0.0,0.18,15.38,40.48,8.33,2.66,19.6,10.16,0.64,2
30,BAL,2023,1568,30,68.55867346938776,30,5.7397959183673475,0.0,7.639534883720931,0.0,31.441326530612244,0.0,17.94871794871795,82.05128205128204,0.0,56.30585898709036,43.69414101290963,42.230347349177336,57.769652650822664,51.85185185185185,48.148148148148145,66.95652173913044,33.04347826086956,0.0,BAL,0.0,0.0,47.49,12.08,0.0,9.29,24.91,3.62,0.19,2
41,BUF,2023,1595,41,60.877742946708466,41,9.968652037617556,0.0,8.051622418879056,0.0,39.122257053291534,0.0,23.36182336182336,76.63817663817663,0.0,65.35087719298245,34.64912280701754,46.3716814159292,53.6283185840708,56.41025641025641,43.58974358974359,64.89795918367346,35.10204081632653,0.0,BUF,0.27,0.81,62.6,17.58,0.63,0.0,5.29,1.7,0.0,3
52,CAR,2023,1432,52,68.15642458100558,52,9.287709497206704,0.0,6.874233128834356,0.0,31.84357541899442,0.0,20.61855670103093,79.38144329896907,0.0,67.62430939226519,32.3756906077348,50.55928411633109,49.44071588366891,56.98005698005698,43.01994301994302,77.2,22.8,0.0,CAR,1.19,0.18,87.41,9.31,0.55,0.0,0.36,0.0,0.0,3
63,CHI,2023,1415,63,62.89752650176679,63,6.855123674911661,0.0,6.669611307420495,0.0,37.10247349823321,0.0,20.769230769230766,79.23076923076924,0.0,60.87990487514864,39.12009512485137,44.5859872611465,55.4140127388535,47.23756906077348,52.762430939226526,70.58823529411765,29.411764705882355,0.0,CHI,0.0,0.0,52.6,21.6,3.19,0.27,15.77,4.56,0.64,2
74,CIN,2023,1379,74,68.02030456852792,74,2.755620014503263,0.0,5.822822822822823,0.0,31.97969543147208,0.0,26.785714285714285,73.21428571428572,0.0,70.48808172531214,29.511918274687854,52.35042735042735,47.64957264957265,67.83625730994152,32.16374269005848,80.73394495412845,19.26605504587156,0.0,CIN,1.62,1.72,72.23,12.02,0.86,0.0,0.48,1.34,0.0,0
85,CLE,2023,1620,85,54.13580246913581,85,5.617283950617284,0.0,7.78502080443828,0.0,45.86419753086419,0.0,31.494252873563212,68.50574712643679,0.0,70.27677496991576,29.723225030084237,48.96030245746692,51.03969754253308,55.7919621749409,44.2080378250591,74.34944237918215,25.650557620817843,0.0,CLE,3.03,0.42,68.16,10.61,5.98,0.0,0.0,0.08,0.0,0
96,DAL,2023,1552,96,54.44587628865979,96,5.927835051546391,0.0,7.373092926490985,0.0,45.55412371134021,0.0,30.2540415704388,69.7459584295612,0.0,75.1592356687898,24.84076433121019,51.39146567717996,48.608534322820034,60.099750623441395,39.900249376558605,74.79674796747967,25.203252032520325,0.0,DAL,2.14,3.74,61.05,15.06,4.9,1.07,5.26,4.55,0.0,0
107,DEN,2023,1364,107,45.96774193548387,107,8.944281524926687,0.0,6.609154929577465,0.0,54.03225806451613,0.0,27.47747747747748,72.52252252252252,0.0,77.0293609671848,22.970639032815196,50.22522522522522,49.77477477477478,55.89123867069487,44.10876132930513,67.42081447963801,32.57918552036199,0.0,DEN,0.49,1.77,56.2,19.09,1.77,0.3,9.65,4.04,0.0,1
118,DET,2023,1706,118,44.607268464243845,118,4.396248534583822,0.0,6.371052631578947,0.0,55.392731535756155,0.0,33.06055646481178,66.93944353518822,0.0,76.43835616438356,23.56164383561644,47.97297297297297,52.02702702702703,57.077625570776256,42.922374429223744,72.3076923076923,27.692307692307693,0.0,DET,0.7,0.35,62.09,21.11,5.54,0.0,4.05,1.06,0.0,1
129,GB,2023,1523,129,57.12409717662508,129,6.500328299409061,0.0,8.00597014925373,0.0,42.87590282337492,0.0,35.51912568306011,64.48087431693989,0.0,66.83168316831683,33.168316831683164,48.031496062992126,51.96850393700787,55.670103092783506,44.329896907216494,76.01626016260163,23.983739837398375,0.0,GB,0.0,0.1,62.74,31.94,1.43,0.0,2.76,0.1,0.0,1
140,HOU,2023,1560,140,48.84615384615385,140,7.179487179487179,0.0,8.017167381974248,0.0,51.15384615384615,0.0,29.700854700854705,70.2991452991453,0.0,78.5413744740533,21.458625525946704,45.5078125,54.4921875,61.5979381443299,38.402061855670105,82.53968253968253,17.46031746031746,0.0,HOU,0.0,0.18,60.3,9.7,1.29,1.85,21.98,3.42,0.0,1
151,IND,2023,1450,151,72.6896551724138,151,14.896551724137929,0.0,6.862903225806452,0.0,27.310344827586206,0.0,23.00884955752213,76.99115044247787,0.0,60.243407707910755,39.756592292089245,44.44444444444444,55.55555555555556,61.32596685082873,38.67403314917127,68.96551724137932,31.03448275862069,0.0,IND,0.55,0.0,76.23,19.2,2.47,0.0,0.64,0.0,0.0,3
162,JAX,2023,1449,162,66.39061421670117,162,4.830917874396135,0.0,7.490225563909775,0.0,33.60938578329883,0.0,27.51091703056769,72.48908296943232,0.0,67.5645342312009,32.435465768799105,47.83505154639175,52.164948453608254,64.51612903225806,35.483870967741936,75.0,25.0,0.0,JAX,0.0,0.0,63.46,23.43,6.91,0.0,0.9,1.97,0.0,0
173,KC,2023,1734,173,67.99307958477509,173,2.4798154555940024,0.0,6.2031823745410035,0.0,32.00692041522491,0.0,29.457364341085267,70.54263565891473,0.0,67.5478577939836,32.45214220601641,50.495049504950494,49.504950495049506,63.00448430493274,36.99551569506727,78.05755395683454,21.942446043165468,0.0,KC,1.02,0.0,62.41,28.33,7.41,0.0,0.09,0.09,0.0,0
184,LAR,2023,1497,184,51.03540414161657,184,8.550434201736808,0.0,7.336363636363636,0.0,48.96459585838343,0.0,28.44243792325056,71.55756207674943,0.0,75.0,25.000000000000007,45.40117416829745,54.59882583170255,60.367454068241464,39.63254593175853,75.74468085106383,24.25531914893617,0.0,LAR,0.0,0.0,94.61,5.3,0.09,0.0,0.0,0.0,0.0,1
195,LAC,2023,1432,195,66.75977653631286,195,12.779329608938546,0.0,7.0014792899408285,0.0,33.240223463687144,0.0,25.116279069767444,74.88372093023256,0.0,69.73094170403587,30.26905829596413,51.812366737739865,48.18763326226013,61.95652173913043,38.04347826086957,77.21518987341773,22.78481012658228,0.0,LAC,0.36,0.81,69.98,22.42,3.35,0.0,0.0,0.0,0.0,3
206,LV,2023,1311,206,44.8512585812357,206,5.5682684973302825,0.0,7.146911519198665,0.0,55.1487414187643,0.0,31.208791208791208,68.79120879120879,0.0,81.7531305903399,18.246869409660103,50.23041474654379,49.76958525345622,57.86350148367953,42.13649851632047,78.24074074074075,21.75925925925926,0.0,LV,0.0,0.2,63.56,14.16,0.3,0.4,12.97,2.08,0.0,1
217,MIA,2023,1455,217,64.60481099656357,217,3.2989690721649487,0.0,7.1796875,0.0,35.39518900343643,0.0,22.270742358078603,77.7292576419214,0.0,66.55367231638418,33.44632768361582,43.503937007874015,56.496062992125985,60.05586592178771,39.94413407821229,84.65116279069768,15.348837209302326,0.0,MIA,0.38,1.33,43.68,9.31,0.0,1.33,41.79,1.99,0.0,1
228,MIN,2023,1386,228,45.74314574314574,228,11.327561327561328,0.0,7.260677466863034,0.0,54.25685425685426,0.0,41.9753086419753,58.0246913580247,0.0,81.0580204778157,18.941979522184297,52.46252676659529,47.53747323340471,64.48863636363636,35.51136363636363,83.85650224215246,16.143497757847534,0.0,MIN,0.0,0.0,64.24,22.22,3.27,0.0,7.38,1.31,0.0,1
239,NE,2023,1326,239,52.56410256410257,239,9.125188536953242,0.0,6.759075907590759,0.0,47.43589743589743,0.0,31.46067415730337,68.53932584269663,0.0,74.17417417417417,25.82582582582582,50.93023255813953,49.06976744186046,56.4327485380117,43.567251461988306,78.47533632286996,21.524663677130047,0.0,NE,1.08,0.0,50.39,39.22,6.08,0.0,2.25,0.2,0.0,0
250,NO,2023,1448,250,51.17403314917127,250,6.906077348066299,0.0,7.800933125972006,0.0,48.82596685082873,0.0,23.72093023255814,76.27906976744185,0.0,77.84172661870502,22.15827338129497,44.00826446280991,55.99173553719008,59.58005249343832,40.41994750656168,79.74683544303798,20.253164556962027,0.0,NO,0.18,0.0,53.61,24.09,5.71,0.27,3.12,0.98,0.0,1
261,NYG,2023,1397,261,58.840372226199,261,11.739441660701504,0.0,6.247524752475248,0.0,41.159627773801,0.0,30.90277777777778,69.09722222222221,0.0,66.882276843467,33.11772315653299,54.50346420323326,45.49653579676674,49.26253687315634,50.737463126843664,72.17741935483872,27.82258064516129,0.0,NYG,0.19,0.28,71.05,21.57,0.76,0.0,1.7,0.09,0.0,3
272,NYJ,2023,1411,272,51.16938341601701,272,7.370659107016301,0.0,5.997001499250374,0.0,48.83061658398299,0.0,34.605597964376585,65.39440203562341,0.0,79.96987951807229,20.03012048192771,52.90178571428571,47.098214285714285,64.70588235294117,35.294117647058826,80.9322033898305,19.06779661016949,0.0,NYJ,0.0,0.0,65.24,17.85,5.79,0.0,7.03,3.04,0.0,1
283,PHI,2023,1509,283,76.07687210072896,283,14.181577203445991,0.0,7.985959438377535,0.0,23.923127899271037,0.0,8.536585365853657,91.46341463414636,0.0,58.379373848987115,41.62062615101289,47.49034749034749,52.509652509652504,60.0,40.0,63.67521367521367,36.32478632478632,0.0,PHI,0.18,3.33,69.15,21.4,3.06,0.0,2.16,0.09,0.0,3
294,PIT,2023,1431,294,55.625436757512226,294,5.590496156533892,0.0,6.964041095890411,0.0,44.374563242487774,0.0,17.49271137026239,82.50728862973762,0.0,69.68085106382979,30.319148936170215,41.35021097046413,58.64978902953587,50.56497175141242,49.43502824858757,79.91803278688525,20.081967213114755,0.0,PIT,0.0,0.1,70.65,17.88,7.09,0.0,1.46,0.19,0.0,1
305,SEA,2023,1336,305,57.48502994011976,305,12.949101796407186,0.0,6.689935064935065,0.0,42.51497005988024,0.0,32.41379310344827,67.58620689655173,0.0,73.72881355932203,26.27118644067797,51.88470066518847,48.11529933481153,60.43613707165109,39.56386292834891,84.54106280193237,15.458937198067632,0.0,SEA,0.0,1.91,63.32,22.51,9.45,0.4,1.21,0.5,0.0,0
316,SF,2023,1603,316,48.346849656893326,316,1.6843418590143482,0.0,7.72884012539185,0.0,51.653150343106674,0.0,24.49799196787148,75.50200803212851,0.0,70.97661623108665,29.02338376891334,44.86301369863014,55.13698630136986,52.463054187192114,47.53694581280788,70.9090909090909,29.09090909090909,0.0,SF,0.0,0.0,38.77,13.28,0.2,0.0,36.23,10.84,0.29,2
327,TB,2023,1547,327,60.24563671622495,327,6.787330316742081,0.0,7.899713467048711,0.0,39.75436328377505,0.0,31.23028391167193,68.76971608832807,0.0,69.3287037037037,30.671296296296298,49.10536779324055,50.89463220675944,58.20512820512821,41.79487179487179,79.38931297709924,20.610687022900763,0.0,TB,0.1,0.1,69.91,9.46,0.1,0.48,14.61,3.63,0.0,1
