index_x,team_abbr,season,n_plays,index_y,shotgun_rate,index,no_huddle_rate,play_action_rate,air_yards_per_att,motion_rate,under_center_rate,under_center_play_action_rate,under_center_pass_rate,under_center_run_rate,shotgun_play_action_rate,shotgun_pass_rate,shotgun_run_rate,down_1_pass_rate,down_1_run_rate,down_2_pass_rate,down_2_run_rate,down_3_pass_rate,down_3_run_rate,read_option_rate,team_nickname,personnel_01_rate,personnel_10_rate,personnel_11_rate,personnel_12_rate,personnel_13_rate,personnel_20_rate,personnel_21_rate,personnel_22_rate,personnel_31_rate
9,ARI,2024,1369,9,58.436815193571945,9,8.254200146092037,0.0,6.452006980802793,0.0,41.563184806428055,0.0,16.695957820738137,36.7311072056239,0.0,59.75,32.375,48.541666666666664,51.45833333333333,59.130434782608695,40.869565217391305,65.28497409326425,34.715025906735754,0.0,ARI,0.29,0.0,50.77,28.86,15.64,0.0,0.58,0.1,0.0
20,ATL,2024,1421,20,66.85432793807178,20,12.31527093596059,0.0,7.5311973018549745,0.0,33.145672061928224,0.0,11.464968152866245,33.54564755838641,0.0,56.736842105263165,35.68421052631579,40.123456790123456,59.876543209876544,60.0,40.0,75.11961722488039,24.880382775119617,0.0,ATL,0.0,0.0,86.19,10.41,0.28,0.0,2.49,0.55,0.0
31,BAL,2024,1558,31,56.03337612323491,31,4.7496790757381255,0.0,8.19494584837545,0.0,43.96662387676509,0.0,12.262773722627736,42.627737226277375,0.0,53.83734249713631,39.289805269186715,38.859180035650624,61.14081996434938,46.80306905370844,53.196930946291566,65.74074074074075,34.25925925925926,0.0,BAL,0.0,0.0,28.06,31.09,0.47,4.17,20.57,12.7,0.09
42,BUF,2024,1633,42,52.112676056338024,42,6.184935701163503,0.0,7.910256410256411,0.0,47.887323943661976,0.0,11.63682864450128,46.16368286445013,0.0,62.632197414806114,28.554641598119854,39.14656771799629,60.85343228200371,55.09708737864077,44.90291262135923,69.83471074380165,30.165289256198346,0.0,BUF,0.88,0.0,55.8,13.85,2.15,0.49,7.8,2.83,0.0
53,CAR,2024,1353,53,54.32372505543237,53,5.543237250554324,0.0,7.630769230769231,0.0,45.67627494456763,0.0,13.754045307443366,38.673139158576056,0.0,68.02721088435374,23.401360544217688,46.04651162790698,53.95348837209303,60.55900621118012,39.44099378881988,79.14691943127961,20.85308056872038,0.0,CAR,0.3,0.4,73.41,14.8,1.31,0.6,2.42,0.1,0.0
64,CHI,2024,1427,64,57.67344078486335,64,20.672740014015417,0.0,7.040372670807454,0.0,42.32655921513665,0.0,15.562913907284766,37.913907284768214,0.0,66.82867557715674,24.54434993924666,48.63013698630137,51.369863013698634,60.33519553072626,39.66480446927375,76.62337662337663,23.376623376623375,0.0,CHI,0.94,0.75,72.02,19.34,3.85,0.09,1.03,0.47,0.09
75,CIN,2024,1426,75,67.53155680224404,75,2.4544179523141656,0.0,6.572649572649572,0.0,32.46844319775596,0.0,8.855291576673865,31.10151187904967,0.0,68.63966770508827,24.61059190031153,52.04081632653062,47.95918367346938,71.34831460674157,28.651685393258425,80.93023255813954,19.069767441860467,0.0,CIN,0.0,0.09,59.44,29.07,1.2,0.0,0.46,1.2,0.0
86,CLE,2024,1471,86,63.90210740992522,86,12.168592794017677,0.0,6.9918367346938775,0.0,36.09789259007478,0.0,20.715630885122412,27.11864406779661,0.0,66.48936170212765,26.276595744680854,59.488272921108745,40.511727078891255,63.858695652173914,36.141304347826086,79.74683544303798,20.253164556962027,0.0,CLE,0.54,2.59,72.54,16.55,1.61,0.0,0.36,0.09,0.0
97,DAL,2024,1478,97,58.72801082543978,97,7.713125845737483,0.0,6.911504424778761,0.0,41.27198917456022,0.0,14.918032786885249,35.90163934426229,0.0,67.62672811059907,24.193548387096776,53.23590814196242,46.764091858037574,60.70460704607046,39.295392953929536,76.31578947368422,23.684210526315788,0.0,DAL,1.63,2.26,70.65,10.87,1.18,0.63,8.24,3.26,0.0
108,DEN,2024,1446,108,51.45228215767634,108,11.479944674965422,0.0,7.104838709677419,0.0,48.54771784232366,0.0,13.105413105413104,44.15954415954416,0.0,70.96774193548387,22.58064516129032,46.186440677966104,53.813559322033896,55.833333333333336,44.166666666666664,76.25,23.75,0.0,DEN,3.03,0.47,57.91,13.84,3.41,0.76,7.2,4.83,0.0
119,DET,2024,1510,119,36.95364238410596,119,3.774834437086093,0.0,6.092063492063492,0.0,63.04635761589404,0.0,25.630252100840337,43.48739495798319,0.0,69.17562724014337,25.806451612903224,44.927536231884055,55.072463768115945,54.427083333333336,45.57291666666667,71.16279069767441,28.837209302325583,0.0,DET,0.09,0.0,54.56,29.25,3.94,0.09,4.74,0.63,0.0
130,GB,2024,1443,130,60.91476091476091,130,7.830907830907831,0.0,8.266666666666667,0.0,39.08523908523909,0.0,13.829787234042554,35.28368794326241,0.0,52.55972696245734,40.27303754266212,37.142857142857146,62.857142857142854,51.46666666666667,48.53333333333333,75.0,25.0,0.0,GB,0.29,0.1,67.28,25.32,0.49,0.0,6.33,0.0,0.0
141,HOU,2024,1581,141,48.070841239721695,141,4.490828589500316,0.0,7.528735632183908,0.0,51.929158760278305,0.0,18.14859926918392,42.38733252131547,0.0,71.97368421052632,19.86842105263158,47.5,52.5,56.15384615384615,43.84615384615385,82.82442748091603,17.17557251908397,0.0,HOU,0.0,0.47,62.57,31.47,2.46,0.0,1.61,0.0,0.0
152,IND,2024,1376,152,70.20348837209302,152,9.156976744186046,0.0,9.93235831809872,0.0,29.79651162790698,0.0,7.560975609756097,26.34146341463415,0.0,53.41614906832298,40.476190476190474,43.53448275862069,56.46551724137932,56.060606060606055,43.93939393939394,64.38356164383562,35.61643835616438,0.0,IND,0.0,0.19,70.7,25.17,3.36,0.0,0.1,0.0,0.0
163,JAX,2024,1305,163,57.1647509578544,163,10.49808429118774,0.0,7.839316239316239,0.0,42.8352490421456,0.0,13.595706618962431,39.53488372093023,0.0,68.23056300268097,25.871313672922252,45.74712643678161,54.252873563218394,65.74923547400611,34.25076452599388,74.01960784313727,25.98039215686275,0.0,JAX,0.2,0.6,65.22,26.01,4.13,0.0,0.5,0.81,0.0
174,KC,2024,1622,174,63.316892725030826,174,1.3563501849568431,0.0,5.9298245614035086,0.0,36.683107274969174,0.0,15.630252100840336,34.11764705882353,0.0,63.09639727361246,30.67185978578383,49.26739926739927,50.73260073260073,62.20657276995305,37.79342723004695,74.61538461538461,25.384615384615383,0.0,KC,0.0,0.0,48.21,34.19,10.08,0.09,0.64,3.12,0.0
185,LAR,2024,1516,185,44.45910290237467,185,7.519788918205805,0.0,7.102831594634873,0.0,55.54089709762533,0.0,23.990498812351543,39.78622327790974,0.0,69.58456973293768,23.590504451038576,51.53256704980843,48.46743295019157,56.47668393782384,43.52331606217616,73.568281938326,26.431718061674008,0.0,LAR,0.0,1.73,82.4,15.58,0.29,0.0,0.0,0.0,0.0
196,LAC,2024,1424,196,53.72191011235955,196,3.300561797752809,0.0,8.040472175379426,0.0,46.27808988764045,0.0,18.057663125948405,37.63277693474962,0.0,61.96078431372549,30.718954248366018,43.34763948497854,56.65236051502146,62.64044943820225,37.359550561797754,66.37931034482759,33.62068965517241,0.0,LAC,1.38,0.0,57.33,5.9,0.49,4.03,16.52,11.5,0.49
207,LV,2024,1403,207,59.08766928011404,207,9.194583036350677,0.0,6.475290697674419,0.0,40.91233071988596,0.0,15.853658536585366,35.19163763066202,0.0,72.01447527141134,21.71290711700844,58.924731182795696,41.075268817204304,62.96296296296296,37.03703703703704,76.78571428571429,23.214285714285715,0.0,LV,0.09,0.0,51.83,33.52,5.45,0.47,2.16,1.22,0.0
218,MIA,2024,1408,218,64.3465909090909,218,5.113636363636364,0.0,5.807511737089202,0.0,35.65340909090909,0.0,10.95617529880478,37.45019920318725,0.0,64.45916114790286,28.69757174392936,46.09053497942387,53.90946502057613,63.73937677053825,36.26062322946176,76.41509433962264,23.58490566037736,0.0,MIA,0.0,0.0,38.17,21.16,3.23,0.09,29.67,7.3,0.09
229,MIN,2024,1489,229,41.90732034922767,229,10.275352585627935,0.0,7.785493827160494,0.0,58.09267965077233,0.0,20.809248554913296,43.46820809248555,0.0,75.0,16.506410256410255,41.76470588235294,58.235294117647065,62.46719160104986,37.53280839895013,84.33179723502305,15.668202764976956,0.0,MIN,0.0,0.0,57.21,24.67,0.95,0.0,14.8,1.9,0.0
240,NE,2024,1380,240,57.028985507246375,240,8.26086956521739,0.0,6.574358974358974,0.0,42.971014492753625,0.0,12.647554806070826,40.13490725126476,0.0,64.80304955527319,26.429479034307494,43.18181818181818,56.81818181818182,59.36599423631124,40.63400576368876,79.62962962962963,20.37037037037037,0.0,NE,0.1,0.0,59.49,30.96,0.97,0.29,1.27,0.1,0.1
251,NO,2024,1369,251,46.60336011687363,251,8.254200146092037,0.0,7.483108108108108,0.0,53.39663988312637,0.0,19.835841313269498,41.17647058823529,0.0,70.0626959247649,22.41379310344828,47.82608695652174,52.17391304347826,59.25925925925925,40.74074074074074,71.42857142857143,28.57142857142857,0.0,NO,0.0,0.0,33.33,30.43,8.62,0.1,16.38,7.56,0.0
262,NYG,2024,1413,262,57.395612172682235,262,10.898796886058031,0.0,6.231007751937985,0.0,42.604387827317765,0.0,19.435215946843854,35.21594684385382,0.0,65.10480887792849,26.26387176325524,56.5121412803532,43.4878587196468,54.54545454545454,45.45454545454545,76.29310344827587,23.70689655172414,0.0,NYG,0.0,1.03,73.38,16.75,3.67,0.28,2.16,0.28,0.0
273,NYJ,2024,1339,273,60.71695294996265,273,6.721433905899925,0.0,6.307810107197549,0.0,39.28304705003735,0.0,19.581749049429657,31.749049429657795,0.0,67.65067650676507,24.47724477244772,51.7162471395881,48.2837528604119,66.3716814159292,33.6283185840708,84.76190476190476,15.23809523809524,0.0,NYJ,0.3,0.1,70.4,20.99,2.38,0.0,4.85,0.1,0.0
284,PHI,2024,1787,284,66.92781197537772,284,20.64913262451035,0.0,6.854757929883139,0.0,33.07218802462228,0.0,7.7834179357022,34.179357021996616,0.0,46.23745819397993,47.9933110367893,31.552587646076795,68.44741235392321,50.44052863436123,49.55947136563877,57.3943661971831,42.6056338028169,0.0,PHI,0.0,0.0,59.87,30.16,3.95,0.0,1.53,1.97,0.0
295,PIT,2024,1483,295,47.673634524612275,295,19.01550910316925,0.0,7.183219178082192,0.0,52.326365475387725,0.0,16.3659793814433,44.58762886597938,0.0,64.63932107496464,28.005657708628007,39.9581589958159,60.04184100418411,52.56410256410257,47.43589743589743,74.89539748953975,25.10460251046025,0.0,PIT,0.09,0.0,51.43,25.44,16.37,0.0,2.96,0.28,0.0
306,SEA,2024,1401,306,62.59814418272662,306,17.84439685938615,0.0,6.32923076923077,0.0,37.40185581727338,0.0,13.16793893129771,33.01526717557252,0.0,66.24857468643101,23.945267958950968,56.344086021505376,43.655913978494624,62.20238095238096,37.79761904761904,79.52380952380952,20.47619047619047,0.0,SEA,0.1,0.1,77.38,17.28,1.84,0.0,1.17,0.49,0.0
317,SF,2024,1358,317,48.30633284241531,317,3.0191458026509572,0.0,7.943859649122807,0.0,51.69366715758469,0.0,17.094017094017094,42.02279202279202,0.0,68.59756097560977,24.847560975609756,48.11715481171548,51.88284518828452,53.43283582089552,46.56716417910447,76.6497461928934,23.3502538071066,0.0,SF,1.17,0.0,48.34,7.41,0.58,0.0,34.89,4.87,0.0
328,TB,2024,1487,328,51.71486213853396,328,4.640215198386012,0.0,6.486571879936809,0.0,48.28513786146604,0.0,15.87743732590529,43.45403899721448,0.0,67.49024707412224,25.487646293888165,48.01512287334593,51.98487712665406,56.52173913043478,43.47826086956522,71.80616740088107,28.193832599118945,0.0,TB,0.0,0.09,70.93,13.07,0.0,0.73,10.24,4.02,0.18
339,TEN,2024,1384,339,60.47687861271677,339,6.069364161849711,0.0,7.3076923076923075,0.0,39.52312138728323,0.0,15.173674588665447,36.0146252285192,0.0,59.976105137395464,30.34647550776583,45.111111111111114,54.888888888888886,60.46511627906976,39.53488372093023,72.09302325581395,27.906976744186046,0.0,TEN,0.0,0.0,68.6,17.15,4.46,0.0,0.97,0.39,0.0
350,WAS,2024,1719,350,75.15997673065736,350,51.77428737638162,0.0,6.764285714285714,0.0,24.840023269342637,0.0,7.02576112412178,20.140515222482435,0.0,51.857585139318886,41.95046439628483,42.06896551724138,57.931034482758626,55.58086560364465,44.41913439635535,71.48288973384031,28.517110266159698,0.0,WAS,0.54,0.54,58.95,24.89,5.54,0.82,5.9,0.82,0.0
