team_name,motion_rate,play_action_rate,air_yards_per_att,shotgun_rate,no_huddle_rate,team_abbr,under_center_rate,scheme_cluster
Rams,62.8,21.3,9.1,39.9,6.4,LAR,60.1,2
Bears,60.6,19.9,8.6,51.7,5.1,CHI,48.3,2
Colts,57.6,19.0,8.0,71.4,5.2,IND,28.59999999999999,1
Cardinals,43.9,18.3,7.2,71.6,12.2,ARI,28.40000000000001,1
Dolphins,67.5,18.0,7.0,71.1,3.7,MIA,28.90000000000001,1
Bills,57.1,17.7,7.3,48.9,6.0,BUF,51.1,4
Broncos,40.4,17.4,7.3,64.3,12.2,DEN,35.7,1
Commanders,49.3,17.3,8.5,86.9,60.0,WAS,13.099999999999994,3
Cowboys,56.6,17.1,8.1,61.6,9.4,DAL,38.4,4
Lions,52.2,16.8,6.4,51.0,6.3,DET,49.0,4
Raiders,48.3,16.5,6.2,65.7,8.9,LV,34.3,1
Vikings,48.4,16.4,7.8,55.2,7.4,MIN,44.8,4
Titans,43.3,15.9,7.0,72.4,10.3,TEN,27.59999999999999,1
Chargers,50.6,15.7,8.0,70.3,4.1,LAC,29.700000000000003,1
Chiefs,49.5,15.3,7.8,80.0,2.7,KC,20.0,1
Patriots,50.0,14.8,9.2,53.5,2.4,NE,46.5,4
Texans,54.0,14.8,8.2,61.1,3.7,HOU,38.9,4
Packers,59.0,14.8,8.8,61.8,8.5,GB,38.2,4
Panthers,50.2,14.6,6.7,65.9,6.0,CAR,34.099999999999994,1
Jaguars,60.6,14.6,8.7,59.5,7.0,JAX,40.5,4
49ers,66.8,14.6,7.5,53.0,3.8,SF,47.0,4
Seahawks,54.1,14.5,7.8,45.2,7.6,SEA,54.8,4
Giants,38.7,14.2,8.5,76.5,20.8,NYG,23.5,1
Browns,50.6,14.2,6.8,67.2,9.0,CLE,32.8,1
Eagles,44.0,13.7,9.0,76.3,18.5,PHI,23.700000000000003,1
Ravens,52.1,13.6,8.1,63.7,3.2,BAL,36.3,4
Steelers,52.1,13.1,6.0,65.8,11.3,PIT,34.2,1
Buccaneers,58.9,12.8,8.1,64.7,6.3,TB,35.3,4
Saints,62.5,12.7,8.1,78.0,22.8,NO,22.0,0
Jets,58.7,12.4,6.9,73.2,9.9,NYJ,26.799999999999997,0
Falcons,67.2,12.0,7.7,79.7,11.1,ATL,20.299999999999997,0
Bengals,50.1,11.2,7.4,81.6,2.9,CIN,18.40000000000001,0
