team,abbr,year,nfelo,qb_adj,value,off_epa,off_pass_epa,off_rush_epa,def_epa,def_pass_epa,def_rush_epa,point_diff,wins,pythag_wins,film,pass_rate,rush_rate,proe,adot,shotgun_pct,no_huddle_pct,personnel_11_pct,personnel_12_pct,top_min,net_epa,win_pct,qb_grade,rb_grade,wr_grade,edge_grade,idl_grade,lb_grade,cb_grade,s_grade,ol_grade,success_rate,dropback_sr,rush_sr,lag_off_epa,lag_off_pass_epa,lag_off_rush_epa,lag_def_epa,lag_def_pass_epa,lag_def_rush_epa,lag_net_epa,lag_wins,lag_win_pct,lag_nfelo,lag_qb_adj,lag_pythag_wins,lag_pass_rate,lag_proe,lag_adot,lag_shotgun_pct,lag_qb_grade,lag_ol_grade,lag_rb_grade,lag_wr_grade,lag_edge_grade,lag_idl_grade,lag_lb_grade,lag_cb_grade,lag_s_grade,lag_success_rate,lag_dropback_sr,lag_rush_sr,lag2_net_epa,epa_trend_2yr,lag2_nfelo,nfelo_trend,next_net_epa,next_win_pct,next_wins
Cardinals,ARI,2011,1411.52,-37.9323,-4.2472,-0.1127,-0.1424,-0.037797,-0.0722,-0.0294,-0.0484762,-2.25,8,6.9705,4,,,,,,,,,,-0.05,0.5,44.333333333333336,58.3,62.3,66.3,61.84285714285714,56.275,54.525,66.675,,,,,-0.191,-0.302,-0.124982,-0.0113,0.0278,-0.0969958,-0.21,5.0,0.313,1341.73,11.7201,4.4183,,,,,46.375,,61.6,58.699999999999996,50.7,57.628571428571426,77.76666666666667,63.95,66.46666666666667,,,,,,1602.32,-260.5899999999999,-0.15,0.313,5.0
Cardinals,ARI,2012,1341.06,-17.5781,-6.16454,-0.2313,-0.3149,-0.213964,-0.118,-0.1473,-0.103836,-6.6875,5,4.8098,3,,,,,,,,,,-0.15,0.313,46.925,62.300000000000004,59.220000000000006,56.3,56.300000000000004,62.73333333333333,65.7,72.95,,,,,-0.1127,-0.1424,-0.037797,-0.0722,-0.0294,-0.0484762,-0.05,8.0,0.5,1411.52,-37.9323,6.9705,,,,,44.333333333333336,,58.3,62.3,66.3,61.84285714285714,56.275,54.525,66.675,,,,-0.21,0.15999999999999998,1341.73,69.78999999999996,0.07,0.625,10.0
Cardinals,ARI,2013,1536.8,7.3626,1.9379,-0.0388,0.0014,-0.114175,-0.0991,-0.0805,-0.178232,3.4375,10,9.4695,5,,,,,,,,,,0.07,0.625,67.9,69.625,74.08,54.699999999999996,63.48333333333333,68.35,65.44,66.86666666666667,,,,,-0.2313,-0.3149,-0.213964,-0.118,-0.1473,-0.103836,-0.15,5.0,0.313,1341.06,-17.5781,4.8098,,,,,46.925,,62.300000000000004,59.220000000000006,56.3,56.300000000000004,62.73333333333333,65.7,72.95,,,,-0.05,-0.09999999999999999,1411.52,-70.46000000000004,0.01,0.647,11.0
Cardinals,ARI,2014,1419.28,-107.404,-3.92489,-0.105,-0.0142,-0.166243,-0.1097,-0.0512,-0.107688,0.0,11,8.5,6,,,,,,,,,,0.01,0.647,53.53333333333333,60.03333333333333,71.42,59.75714285714286,66.07142857142857,56.0,62.85,59.599999999999994,,,,,-0.0388,0.0014,-0.114175,-0.0991,-0.0805,-0.178232,0.07,10.0,0.625,1536.8,7.3626,9.4695,,,,,67.9,,69.625,74.08,54.699999999999996,63.48333333333333,68.35,65.44,66.86666666666667,,,,-0.15,0.22,1341.06,195.74,0.22,0.778,14.0
Cardinals,ARI,2015,1633.02,13.2292,6.31981,0.0779,0.1751,-0.0623951,-0.0676,-0.0469,-0.150449,8.2222,14,12.327,12,,,,,,,,,,0.22,0.778,74.15,59.96,75.3,63.239999999999995,64.58571428571429,54.43333333333334,65.025,59.275000000000006,,,,,-0.105,-0.0142,-0.166243,-0.1097,-0.0512,-0.107688,0.01,11.0,0.647,1419.28,-107.404,8.5,,,,,53.53333333333333,,60.03333333333333,71.42,59.75714285714286,66.07142857142857,56.0,62.85,59.599999999999994,,,,0.07,-0.060000000000000005,1536.8,-117.51999999999998,0.1,0.467,7.0
Cardinals,ARI,2016,1554.46,2.1451,1.86091,-0.0494,0.0094,-0.0830584,-0.1109,-0.0738,-0.150281,3.5,7,9.3505,10,0.6407,0.3593,0.0014,9.6485,0.2508,0.0472,0.5657,0.289,30.733333333333334,0.1,0.467,60.2,65.8,71.58333333333333,72.85,62.5,63.185714285714276,59.85,62.675,,,,,0.0779,0.1751,-0.0623951,-0.0676,-0.0469,-0.150449,0.22,14.0,0.778,1633.02,13.2292,12.327,,,,,74.15,,59.96,75.3,63.239999999999995,64.58571428571429,54.43333333333334,65.025,59.275000000000006,,,,0.01,0.21,1419.28,213.74,-0.06,0.5,8.0
Cardinals,ARI,2017,1429.72,-17.4612,-2.05721,-0.1673,-0.1541,-0.199934,-0.1091,-0.0721,-0.156327,-4.125,8,6.1217,6,0.6377,0.3623,-0.0128,9.727,0.1743,0.0421,0.5416,0.3359,30.866666666666667,-0.06,0.5,55.0,56.620000000000005,60.86666666666667,66.8,65.07142857142857,64.775,66.625,74.525,,,,,-0.0494,0.0094,-0.0830584,-0.1109,-0.0738,-0.150281,0.1,7.0,0.467,1554.46,2.1451,9.3505,0.6407,0.0014,9.6485,0.2508,60.2,,65.8,71.58333333333333,72.85,62.5,63.185714285714276,59.85,62.675,,,,0.22,-0.12,1633.02,-78.55999999999995,-0.27,0.188,3.0
Cardinals,ARI,2018,1263.62,-50.4314,-9.32984,-0.2837,-0.3524,-0.156222,-0.026,0.0116,0.0286326,-12.5,3,2.9014,1,0.6283,0.3717,-0.0524,8.0547,0.3264,0.0714,0.562,0.2541,26.4,-0.27,0.188,53.3,61.5,59.885714285714286,59.449999999999996,59.583333333333336,59.416666666666664,63.36666666666667,64.925,,,,,-0.1673,-0.1541,-0.199934,-0.1091,-0.0721,-0.156327,-0.06,8.0,0.5,1429.72,-17.4612,6.1217,0.6377,-0.0128,9.727,0.1743,55.0,,56.620000000000005,60.86666666666667,66.8,65.07142857142857,64.775,66.625,74.525,,,,0.1,-0.16,1554.46,-124.74000000000001,-0.081,0.33299999999999996,5.0
Cardinals,ARI,2019,1413.89,14.9438,-2.74597,-0.029,-0.0171,0.00990211,0.0581,0.2159,-0.0979124,-5.0625,5,6.1169,4,0.6407,0.3593,0.0024,7.6273,0.6504,0.2864,0.4016,0.2846,27.566666666666666,-0.081,0.33299999999999996,72.30000000000001,71.03333333333335,62.48571428571428,68.375,55.855555555555554,57.471428571428575,59.7,61.239999999999995,60.52403483042973,0.42700000000000005,0.431,0.42,-0.2837,-0.3524,-0.156222,-0.026,0.0116,0.0286326,-0.27,3.0,0.188,1263.62,-50.4314,2.9014,0.6283,-0.0524,8.0547,0.3264,53.3,,61.5,59.885714285714286,59.449999999999996,59.583333333333336,59.416666666666664,63.36666666666667,64.925,,,,-0.06,-0.21000000000000002,1429.72,-166.10000000000014,0.018,0.5,8.0
Cardinals,ARI,2020,1520.62,28.5052,1.34319,0.022,0.0123,0.0602786,-0.0281,0.0243,-0.0241761,2.6875,8,9.0443,6,0.6067,0.3933,-0.0124,7.8924,0.6946,0.382,0.442,0.3363,28.916666666666668,0.018,0.5,55.099999999999994,60.400000000000006,65.68333333333334,56.879999999999995,50.34285714285714,56.3,54.52,70.52000000000001,59.03966734654401,0.45899999999999996,0.496,0.4,-0.029,-0.0171,0.00990211,0.0581,0.2159,-0.0979124,-0.081,5.0,0.33299999999999996,1413.89,14.9438,6.1169,0.6407,0.0024,7.6273,0.6504,72.30000000000001,60.52403483042973,71.03333333333335,62.48571428571428,68.375,55.855555555555554,57.471428571428575,59.7,61.239999999999995,0.42700000000000005,0.431,0.42,-0.27,0.189,1263.62,150.2700000000002,0.141,0.611,11.0
