player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,ED,ATL,17,11,1,100.0,0,1,2,1,0,63.1,80.0,80.9,68.5,80.2,31.9,10,25,0,0,13,19.0,11,0,1,118.8,1,7,1,12,0,10,712,695,24,60,447,164,0,17,413,289,5,36,36,5,1,42,0,13,1,13.0
Matthew Slater,4467,WR,NE,2,0,0,,0,0,19,0,0,60.0,60.0,99.9,60.0,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,
Tyson Alualu,5535,DI,DET,5,3,0,,0,0,11,0,0,61.3,50.3,81.7,52.3,48.1,73.5,1,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,152,152,6,113,1,32,0,0,86,66,0,3,5,0,0,3,0,0,0,
Brandon Graham,5538,ED,PHI,18,1,0,0.0,0,0,24,0,0,69.0,84.0,73.4,80.2,72.1,73.4,2,23,0,0,,6.3,1,0,1,39.6,0,5,0,3,1,22,427,417,8,15,364,30,0,10,248,157,6,13,14,3,1,30,0,0,0,
Jason Pierre-Paul,5540,ED,MIA,3,1,0,,0,0,17,0,0,,65.8,75.7,51.3,70.5,71.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,22,21,0,1,15,5,0,1,8,14,0,1,1,0,0,0,0,0,0,
Kareem Jackson,5545,S,HST,11,9,0,76.5,0,0,13,0,0,75.4,66.4,0.0,62.8,47.7,60.8,0,0,0,2,19,11.7,7,2,4,74.3,13,0,0,127,9,296,530,4,0,0,4,0,312,526,1,233,78,6,44,0,17,0,1,116,47,8.9
Jerry Hughes,5556,ED,HST,17,3,0,,0,1,13,0,0,64.8,67.7,78.1,67.2,58.5,36.5,1,26,0,0,,18.8,6,0,1,0.0,0,3,0,2,0,9,474,472,0,5,464,3,0,2,276,189,0,22,23,3,0,30,0,0,0,
Linval Joseph,5571,DI,BUF,9,2,0,,0,0,4,0,0,75.2,43.3,84.7,58.2,33.3,57.1,1,5,0,0,,8.3,1,0,0,0.0,0,1,0,0,0,0,189,189,137,52,0,0,0,0,103,86,0,6,9,1,0,7,0,0,0,
Al Woods,5646,DI,NYJ,6,2,0,,0,0,22,0,0,,54.0,81.4,53.0,55.4,71.5,1,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,140,140,16,122,0,2,0,0,66,74,0,4,3,1,0,2,0,0,0,
Von Miller,6154,ED,BUF,14,1,0,100.0,0,0,4,0,0,74.7,53.3,63.2,52.7,52.0,28.2,3,14,0,0,8,37.5,3,0,1,100.0,1,0,0,2,0,16,298,296,0,0,296,0,0,2,207,75,0,2,4,0,1,17,0,8,4,8.0
Patrick Peterson,6157,CB,PIT,18,8,0,53.2,1,0,25,0,0,59.8,58.9,50.6,59.4,57.1,39.8,0,3,0,2,52,16.9,10,6,5,88.8,33,0,0,115,599,716,1162,3,0,0,3,0,220,1159,8,438,225,12,41,0,62,3,5,431,208,13.1
Cameron Jordan,6176,ED,NO,17,15,3,,0,0,20,1,0,82.9,73.5,81.6,63.8,72.0,56.5,3,39,0,0,,10.0,5,0,1,0.0,0,3,0,0,0,11,770,770,0,15,684,71,0,0,449,310,0,21,30,2,0,45,0,0,0,
Cameron Heyward,6183,DI,PIT,12,7,1,,0,0,25,0,0,67.4,73.1,85.7,64.8,67.7,62.1,1,18,0,0,,7.5,3,0,0,0.0,0,2,0,1,0,0,497,496,17,269,48,162,0,1,305,192,0,27,30,5,0,21,0,0,0,
Justin Houston,6222,ED,MIA,8,3,1,100.0,0,0,17,0,0,82.9,63.7,51.7,61.9,54.3,47.1,2,7,0,0,0,16.7,2,0,1,79.2,1,1,0,1,0,19,199,195,0,0,193,2,0,4,112,68,3,6,7,2,1,10,0,0,7,0.0
Lawrence Guy Sr.,6385,DI,NE,17,19,1,,0,0,19,0,0,63.5,45.5,87.0,44.9,47.3,62.2,0,6,0,0,,2.4,1,0,0,0.0,0,0,0,0,0,0,522,521,4,239,53,225,0,1,221,301,0,20,22,1,0,6,0,0,0,
Nick Bellore,6515,LB,SEA,7,0,0,50.0,0,0,29,0,0,45.5,65.1,70.6,58.3,77.0,71.7,0,0,0,0,8,0.0,0,0,0,100.0,1,0,0,14,0,4,16,0,0,0,0,0,0,16,1,11,1,1,1,1,2,0,1,8,0,8.0
Stephon Gilmore,7016,CB,DAL,18,7,0,56.8,2,1,9,0,0,69.3,71.2,88.0,,72.9,76.2,0,0,0,2,68,6.3,5,9,6,90.4,54,0,0,76,915,622,1055,4,0,0,4,0,2,1051,0,433,58,17,67,0,95,0,5,734,221,13.6
