player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Adam Vinatieri,226,K,IND,12,0,5,2,40.0,7,3,42.9,14,28.8,0,0,,28,22,78.6,0,6,6,100.0,25,17,68.0,7,6,85.7
Matt Bryant,1223,,ATL,7,0,6,2,33.3,3,3,100.0,2,36.8,0,0,,15,14,93.3,0,4,3,75.0,14,9,64.3,1,1,100.0
Mike Nugent,2264,,NE,4,0,0,0,,1,0,0.0,19,47.5,0,0,,16,15,93.8,0,3,2,66.7,8,5,62.5,4,3,75.0
Robbie Gould,2607,K,SF,13,0,4,0,0.0,8,6,75.0,28,59.7,0,0,,42,41,97.6,0,10,8,80.0,31,23,74.2,9,9,100.0
Stephen Gostkowski,3063,K,NE,4,0,0,0,,2,1,50.0,19,33.1,0,0,,15,11,73.3,0,3,3,100.0,8,7,87.5,3,3,100.0
Matt Prater,3471,K,DET,16,0,8,7,87.5,9,6,66.7,11,74.7,0,0,,36,35,97.2,0,3,2,66.7,31,26,83.9,11,11,100.0
Nick Folk,3794,,NE,7,0,1,1,100.0,7,4,57.1,19,64.8,1,1,100.0,12,12,100.0,0,3,3,100.0,17,14,82.4,5,5,100.0
Mason Crosby,3809,K,GB,15,0,2,1,50.0,8,7,87.5,12,71.8,1,1,100.0,41,40,97.6,0,11,11,100.0,24,22,91.7,2,2,100.0
Stephen Hauschka,4655,K,BUF,16,0,5,1,20.0,10,9,90.0,4,57.8,0,0,,32,30,93.8,0,8,7,87.5,28,22,78.6,5,5,100.0
Ryan Succop,5180,K,TEN,6,0,1,0,0.0,4,0,0.0,31,32.1,0,0,,25,24,96.0,0,1,1,100.0,6,1,16.7,0,0,
Dan Bailey,6796,K,MIN,15,0,3,3,100.0,7,5,71.4,18,63.7,0,0,,44,40,90.9,0,9,9,100.0,29,27,93.1,10,10,100.0
Kai Forbath,6860,K,DAL,4,0,1,1,100.0,7,7,100.0,9,73.7,0,0,,12,11,91.7,0,1,1,100.0,11,11,100.0,2,2,100.0
Randy Bullock,7154,K,CIN,16,0,3,1,33.3,12,10,83.3,7,67.1,0,0,,25,24,96.0,0,6,6,100.0,31,27,87.1,10,10,100.0
Greg Zuerlein,7163,K,LA,16,0,7,5,71.4,11,5,45.5,26,64.6,0,0,,42,42,100.0,0,8,7,87.5,33,24,72.7,7,7,100.0
Justin Tucker,7604,K,BLT,16,0,1,1,100.0,11,10,90.9,3,84.2,0,0,,59,57,96.6,0,9,9,100.0,29,28,96.6,8,8,100.0
