player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
David Andrews,9948,C,NE,19,100.0,0,19,71.0,71.4,69.2,5,20,749,100.0,100.0,98.2,6,26,1,1355,1355,0,0,1355,806,806,0,0,549,0
Joe Thuney,10712,G,NE,19,99.9,1,19,65.6,70.1,63.9,10,34,747,99.9,99.9,96.4,10,49,5,1353,0,1352,0,1354,804,805,0,0,549,2
Alejandro Villanueva,9091,T,PIT,19,100.0,2,25,79.9,83.1,70.4,5,36,717,100.0,100.0,96.3,8,47,6,1276,0,0,1275,1276,770,770,0,0,506,0
David DeCastro,7640,G,PIT,19,100.0,2,25,84.7,84.4,83.3,5,17,716,100.0,100.0,98.0,15,25,3,1274,0,0,0,1274,768,768,1273,0,506,0
Marcus Cannon,6290,T,NE,18,100.0,1,19,86.6,78.1,90.0,8,22,704,100.0,100.0,97.4,5,33,3,1272,0,0,0,1272,759,759,0,1272,513,0
Nate Solder,6169,T,NE,18,100.0,2,19,82.2,77.9,78.0,6,30,703,100.0,100.0,96.6,8,42,6,1270,0,3,1266,1270,756,756,0,0,514,1
Greg Mancz,10019,C,HST,18,100.0,0,13,75.7,83.7,70.2,4,16,700,100.0,100.0,98.4,4,21,1,1261,1261,0,0,1261,749,749,0,0,512,0
Shaq Mason,9564,G,NE,19,100.0,1,19,84.6,75.5,82.2,2,21,702,100.0,100.0,97.5,4,29,6,1258,0,0,0,1258,753,753,1258,0,505,0
David Bakhtiari,7891,T,GB,19,100.0,2,12,86.6,93.7,64.7,2,23,812,100.0,100.0,98.0,8,29,4,1257,0,0,1256,1257,864,864,1,0,393,0
Bryan Bulaga,5548,T,GB,19,100.0,0,12,78.1,84.6,61.6,3,32,821,100.0,100.0,97.4,5,39,4,1256,0,0,1,1256,874,874,0,1255,382,0
Lane Taylor,8365,G,GB,19,100.0,2,12,66.5,76.7,59.5,2,35,803,100.0,100.0,97.6,7,38,1,1239,0,1239,0,1239,853,853,0,0,386,0
Chris Chester,3001,G,ATL,19,100.0,0,2,71.0,63.4,71.7,13,28,700,100.0,100.0,96.1,4,48,7,1233,0,0,0,1233,741,741,1232,0,492,0
Ryan Schraeder,8496,T,ATL,19,100.0,0,2,83.4,76.0,88.9,9,23,694,100.0,100.0,96.7,9,39,7,1223,0,0,0,1223,733,733,0,1222,490,0
