player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Justin Jefferson,61398,WR,MIN,17,10.6,11,72.7,56.4,22,39,1,5.2,7,80,18,0,81.0,85.6,90.4,,90.5,0.0,0,5,64,0.0,0,736,4,128,93.8,690,29.6,218,108.8,176,8,69.4,511,1809,632,4.9,14.1,2.62
Davante Adams,8688,WR,LV,17,12.8,16,59.5,44.1,15,34,0,5.7,6,66,23,1,76.9,59.2,90.1,66.1,90.5,0.0,0,6,60,0.2,1,657,2,100,94.1,618,30.0,197,102.2,168,14,69.6,457,1516,502,5.0,15.2,2.45
Tyreek Hill,10799,WR,MIA,17,12.7,12,71.3,52.0,13,25,1,3.3,4,77,17,1,90.2,65.5,92.1,,92.2,1.2,7,6,64,0.0,0,568,5,119,94.0,534,42.1,239,103.1,167,7,54.4,309,1710,487,4.1,14.4,3.2
Travis Kelce,7844,TE,KC,17,7.6,24,73.3,36.8,7,19,0,5.2,6,77,16,1,80.5,60.8,91.1,69.8,91.3,25.6,170,3,52,3.6,24,665,4,110,90.2,600,44.2,294,118.7,150,12,29.6,197,1338,664,6.0,12.2,2.23
Stefon Diggs,9579,WR,BUF,16,11.9,15,72.5,50.0,12,24,2,7.7,9,72,4,1,65.7,59.7,90.1,,90.1,0.0,0,1,53,0.0,0,607,5,108,94.4,573,34.1,207,124.3,149,11,65.9,400,1429,421,3.9,13.2,2.49
CeeDee Lamb,61570,WR,DAL,17,10.5,14,72.3,46.2,12,26,1,4.5,5,67,9,0,83.4,85.1,86.3,,87.5,0.3,2,4,39,0.0,0,602,4,107,94.9,571,62.5,376,109.6,148,9,36.2,218,1359,497,4.6,12.7,2.38
Diontae Johnson,33441,WR,PIT,17,10.7,15,61.0,36.4,8,22,1,8.5,8,45,25,1,57.6,57.4,69.6,,69.9,0.0,0,6,37,0.0,0,659,6,86,93.2,614,13.1,86,61.2,141,0,86.9,573,882,243,2.8,10.3,1.44
Garrett Wilson,97405,WR,NYJ,17,11.0,22,59.7,35.9,14,39,1,2.4,2,56,22,1,90.1,28.2,82.7,35.6,85.9,1.3,8,1,60,0.3,2,615,5,83,96.7,595,36.1,222,91.5,139,4,62.6,385,1103,389,4.7,13.3,1.85
D.K. Metcalf,47864,WR,SEA,17,12.1,6,64.7,47.6,20,42,1,5.3,5,47,29,2,78.0,29.5,75.3,,76.6,0.0,0,4,54,0.0,0,613,8,90,94.3,578,16.8,103,89.9,139,6,83.2,510,1048,231,2.6,11.6,1.81
Amon-Ra St. Brown,84470,WR,DET,16,6.7,9,76.3,38.5,5,13,0,3.6,4,68,11,0,88.1,84.9,90.7,64.9,90.4,0.4,2,1,49,0.2,1,511,0,106,94.5,483,59.9,306,111.8,139,6,38.7,198,1161,544,5.1,11.0,2.4
Michael Pittman Jr.,29049,WR,IND,16,7.7,5,71.2,50.0,15,30,0,4.8,5,51,14,2,81.4,34.3,70.6,,70.3,0.1,1,3,28,0.0,0,674,1,99,95.1,641,27.2,183,89.8,139,4,72.7,490,925,343,3.5,9.3,1.44
A.J. Brown,48327,WR,PHI,17,12.9,17,64.2,50.0,15,30,0,6.4,6,59,24,2,68.2,29.8,88.0,,89.2,0.0,0,3,78,0.0,0,611,2,88,94.6,578,25.7,157,118.8,137,11,74.1,453,1496,565,6.4,17.0,2.59
Chris Godwin,11839,WR,TB,15,6.0,11,75.9,57.7,15,26,0,4.6,5,53,30,2,82.9,35.2,75.1,73.9,76.4,0.2,1,1,44,0.3,2,621,4,104,93.6,581,72.9,453,100.7,137,3,26.7,166,1023,522,5.0,9.8,1.76
DeVonta Smith,61100,WR,PHI,17,9.9,11,72.0,42.3,11,26,0,5.0,5,56,24,1,79.2,83.8,81.0,,82.0,0.0,0,1,45,0.0,0,637,2,95,94.7,603,25.1,160,114.3,132,7,74.9,477,1196,487,5.1,12.6,1.98
Ja'Marr Chase,84270,WR,CIN,12,9.9,12,68.5,39.3,11,28,0,6.5,6,58,7,2,71.6,29.8,83.3,,84.4,0.2,1,4,60,0.0,0,557,3,87,93.0,518,23.0,128,104.0,127,9,76.1,424,1046,417,4.8,12.0,2.02
Amari Cooper,9437,WR,CLV,17,13.3,7,61.9,55.6,15,27,0,7.1,6,61,8,0,67.4,82.1,81.2,,83.6,0.0,0,3,55,0.0,0,603,5,78,93.2,562,24.9,150,105.9,126,9,75.0,452,1160,296,3.8,14.9,2.06
Mike Evans,8642,WR,TB,15,14.2,5,62.6,65.4,17,26,1,4.9,4,54,30,0,72.4,81.9,74.0,,75.6,0.0,0,7,63,0.0,0,665,4,77,94.1,626,26.6,177,85.2,123,6,73.4,488,1133,227,2.9,14.7,1.81
Christian Kirk,47546,WR,JAX,17,9.7,7,68.3,27.8,5,18,0,8.7,8,55,15,1,64.5,84.2,74.2,62.3,76.1,0.3,2,4,49,0.2,1,653,1,84,94.9,620,75.2,491,104.7,123,8,23.7,155,1108,387,4.6,13.2,1.79
Austin Ekeler,12164,HB,LAC,17,-0.8,27,87.0,40.0,2,5,0,4.5,5,37,27,2,83.7,46.4,81.3,32.3,80.9,0.0,0,0,23,10.3,52,504,0,107,86.7,437,9.1,46,104.7,123,5,3.2,16,723,855,8.0,6.8,1.65
T.J. Hockenson,40912,TE,MIN,17,7.9,10,69.9,51.7,15,29,0,6.5,6,43,18,1,71.7,82.7,70.2,51.1,73.3,48.6,327,4,81,10.0,67,673,6,86,85.1,573,34.3,231,94.0,123,6,17.1,115,914,426,5.0,10.6,1.6
Zay Jones,11792,WR,JAX,16,9.4,8,70.1,41.7,5,12,0,8.9,8,44,15,0,58.3,82.7,67.3,75.6,67.8,0.0,0,2,59,0.5,3,607,0,82,94.2,572,33.6,204,96.9,117,5,66.4,403,823,299,3.6,10.0,1.44
Terry McLaurin,48229,WR,WAS,17,13.1,11,67.0,65.4,17,26,0,3.8,3,56,32,0,82.8,52.7,79.9,,83.0,0.0,0,2,52,0.0,0,621,2,77,93.9,583,20.9,130,108.3,115,5,78.9,490,1191,396,5.1,15.5,2.04
Chris Olave,84355,WR,NO,15,14.9,2,63.2,33.3,8,24,2,4.0,3,48,20,2,81.9,27.4,82.5,,82.9,0.2,1,5,53,0.0,0,450,3,72,95.8,431,33.8,152,86.3,114,4,66.0,297,1044,219,3.0,14.5,2.42
Drake London,86519,WR,ATL,17,11.2,8,63.2,53.8,14,26,1,2.7,2,47,2,3,88.0,23.3,83.2,,85.3,0.0,0,3,40,0.0,0,439,2,72,95.4,419,21.6,95,87.1,114,4,78.4,344,866,231,3.2,12.0,2.07
Jaylen Waddle,84088,WR,MIA,17,12.2,7,65.8,25.0,5,20,0,9.6,8,60,17,1,54.8,51.6,83.9,65.7,85.0,0.0,0,2,84,0.2,1,559,1,75,93.7,524,24.5,137,122.6,114,8,74.2,415,1356,521,6.9,18.1,2.59
Brandon Aiyuk,84109,WR,SF,17,10.3,16,69.6,40.9,9,22,0,6.0,5,47,28,1,73.6,52.7,80.3,,80.9,0.0,0,1,54,0.0,0,566,3,78,94.0,532,24.2,137,118.0,112,8,75.8,429,1015,370,4.7,13.0,1.91
Mark Andrews,47436,TE,BLT,15,10.1,3,66.4,50.0,9,18,0,5.2,4,48,3,1,76.7,51.0,80.3,67.1,78.9,12.7,58,3,36,0.2,1,457,1,73,95.0,434,66.3,303,93.3,110,5,21.0,96,847,259,3.5,11.6,1.95
Tyler Lockett,9502,WR,SEA,16,11.4,5,77.1,38.5,5,13,0,2.3,2,50,29,1,90.1,30.6,78.9,65.3,78.7,0.9,5,5,40,0.2,1,564,1,84,94.3,532,42.4,239,114.2,109,9,56.0,316,1033,274,3.3,12.3,1.94
DJ Moore,48267,WR,CAR,17,14.0,9,57.8,56.5,13,23,1,4.5,3,44,5,0,77.9,82.1,73.9,,76.2,0.7,4,5,62,0.0,0,540,5,63,94.4,510,27.6,149,86.5,109,7,71.5,386,888,191,3.0,14.1,1.74
Courtland Sutton,48164,WR,DEN,15,13.3,3,60.4,42.4,14,33,0,8.6,6,38,10,0,60.7,81.0,69.3,,69.7,0.2,1,4,51,0.0,0,576,5,64,93.2,537,11.3,65,75.6,106,2,88.5,510,830,135,2.1,13.0,1.55
Tyler Higbee,10744,TE,LA,17,3.2,6,69.2,18.2,2,11,0,7.7,6,31,26,0,63.7,81.8,62.7,61.1,66.2,66.5,358,3,26,17.3,93,538,1,72,80.7,434,13.6,73,82.2,104,3,19.9,107,620,410,5.7,8.6,1.43
Tee Higgins,61211,WR,CIN,16,11.6,6,71.2,61.5,16,26,0,5.1,4,46,7,0,76.7,81.7,77.1,22.3,77.6,0.4,2,1,59,0.0,0,565,2,74,95.0,537,19.3,109,121.0,104,7,80.4,454,1029,280,3.8,13.9,1.92
Marquise Brown,61568,WR,ARZ,12,11.7,3,65.0,64.7,11,17,0,4.3,3,32,1,1,79.5,47.7,69.2,,69.6,0.0,0,7,47,0.0,0,523,2,67,94.1,492,35.0,183,66.4,103,3,64.6,338,709,243,3.6,10.6,1.44
Adam Thielen,8288,WR,MIN,17,10.5,1,68.0,21.1,4,19,0,1.4,1,45,18,0,90.4,81.5,65.0,56.2,65.6,0.0,0,3,36,0.4,3,717,1,70,94.0,674,32.8,235,95.0,103,6,67.2,482,716,161,2.3,10.2,1.06
Christian McCaffrey,11763,HB,SF,17,1.2,18,83.3,37.5,3,8,0,3.4,3,36,28,0,86.1,86.8,88.9,48.9,92.5,0.8,4,1,49,9.9,47,475,0,85,85.3,405,13.5,64,109.2,102,5,6.7,32,741,706,8.3,8.7,1.83
