,player,team_name,position,snap_counts_defense,player_id,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_tackle,interceptions,interception_touchdowns,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_fs,snap_counts_box,snap_counts_coverage,snap_counts_slot,stops,tackles,tackles_for_loss,targets,touchdowns,yards,Team,Year,weighted_grade,weighted_average_grade
0,Lawyer Milloy,SEA,S,1197,171,18,14,0,1,29,0,55.2,61.8,53.9,71.4,0,0,11.1,11,2,2,123.5,19,622,507,643,57,30,74,3,34,5,288,Seahawks,2010,73974.59999999999,62.71396242527754
1,Brian Dawkins,DEN,S,678,181,11,6,0,2,10,0,54.7,65.0,47.5,86.1,1,0,4.6,3,2,2,131.8,20,276,374,328,13,16,56,1,29,3,396,Broncos,2010,44070.0,64.03557884231537
2,Darren Sharper,NO,S,320,258,9,4,1,1,20,1,58.3,51.8,0.0,60.6,0,0,16.0,4,1,2,66.4,3,293,24,201,3,1,17,0,7,0,48,Saints,2010,16576.0,61.58086548488007
3,Pierson Prioleau,NO,S,85,501,9,0,0,0,20,0,60.6,59.6,79.5,43.0,0,0,33.3,1,0,0,118.8,2,21,51,45,13,2,2,0,2,0,36,Saints,2010,5066.0,61.90028799999999
4,Deon Grant,NYG,S,651,624,16,6,0,2,21,2,67.8,64.1,87.6,63.9,3,0,16.9,11,4,0,62.5,34,217,372,427,48,22,48,4,51,1,280,Giants,2010,41729.1,
5,Tyrone Carter,SD,S,26,660,5,0,0,0,27,0,64.0,72.0,73.3,82.2,0,0,0.0,0,0,0,0.0,0,16,6,16,0,2,4,0,0,0,0,Chargers,2010,1872.0,
6,Adrian Wilson,ARZ,S,1129,831,16,7,1,0,1,0,59.3,61.6,14.5,75.5,2,0,11.7,11,6,7,112.7,33,271,760,513,90,42,76,6,46,4,441,Cardinals,2010,69546.40000000001,
7,Renaldo Hill,DEN,S,1052,919,16,9,0,0,10,1,53.3,64.9,84.5,91.5,2,0,1.5,1,1,1,52.2,14,855,175,515,18,14,58,0,28,1,177,Broncos,2010,68274.8,
8,Nick Sorensen,CLV,S,14,989,10,0,0,0,8,0,61.2,59.6,72.4,,0,0,,0,0,0,39.6,0,4,8,9,2,0,0,0,1,0,0,Browns,2010,834.4,
9,Roy Williams,CIN,S,466,1016,12,13,0,0,7,3,54.9,64.3,33.4,74.4,1,0,10.3,6,0,0,60.9,7,341,117,222,7,10,39,3,8,0,65,Bengals,2010,29963.8,
10,Edward Reed,BLT,S,762,1031,12,3,0,1,3,1,84.0,80.3,22.8,67.8,8,0,15.2,7,9,2,71.5,14,712,32,492,12,4,36,1,30,4,220,Ravens,2010,61188.6,
11,Jon McGraw,KC,S,445,1064,13,5,0,0,16,0,48.8,42.6,29.8,47.3,2,0,17.4,8,3,1,92.2,22,112,283,284,43,14,33,1,29,2,227,Chiefs,2010,18957.0,
12,Michael Lewis,SL,S,194,1065,5,2,0,0,26,0,49.9,51.6,80.2,68.1,0,0,14.3,2,0,0,106.3,8,113,73,108,4,6,10,0,10,0,95,Rams,2010,10010.4,
13,Chris Hope,TEN,S,1184,1097,16,11,0,1,31,1,52.8,61.7,86.0,82.3,1,0,8.1,8,4,2,86.3,21,855,307,682,18,23,80,5,32,0,327,Titans,2010,73052.8,
14,Ryan Clark,PIT,S,1143,1229,19,20,0,1,25,1,54.4,60.7,62.3,78.3,3,0,8.7,9,7,3,83.2,29,989,118,763,26,20,75,2,47,2,475,Steelers,2010,69380.1,
15,Troy Polamalu,PIT,S,1019,1332,17,8,0,1,25,1,70.8,76.3,60.8,63.5,7,1,15.2,12,3,2,49.2,28,644,266,663,97,22,59,5,43,1,255,Steelers,2010,77749.7,
16,Eugene Wilson,HST,S,688,1352,14,10,0,0,13,0,29.8,36.6,81.6,66.4,0,0,11.7,7,3,0,98.4,11,655,29,425,3,5,43,0,19,0,219,Texans,2010,25180.8,
17,Ken Hamlin,IND,S,68,1358,7,1,0,0,14,0,73.7,80.7,76.4,82.6,1,0,0.0,0,0,0,0.0,0,38,24,37,3,2,3,0,2,0,0,Colts,2010,5487.6,
18,Bryan Scott,BUF,S,309,1370,15,5,0,0,4,2,56.4,58.7,87.6,37.9,0,0,22.6,7,4,1,97.6,20,16,249,218,42,15,19,2,29,1,185,Bills,2010,18138.3,
19,Chris Crocker,CIN,S,519,1399,9,6,0,2,7,0,66.8,69.3,83.0,69.9,0,0,12.2,5,5,0,91.0,16,334,111,291,69,11,30,1,30,1,240,Bengals,2010,35966.7,
20,Yeremiah Bell,MIA,S,965,1513,16,10,0,2,17,1,63.4,79.8,86.6,77.7,1,0,10.3,11,2,0,85.1,31,564,366,522,24,30,86,4,45,1,297,Dolphins,2010,77007.0,
21,Quintin Mikell,PHI,S,1032,1662,16,9,0,1,24,3,82.2,85.0,34.4,65.0,3,0,12.7,13,10,4,67.0,27,563,443,578,18,35,80,5,51,3,315,Eagles,2010,87720.0,
22,Madieu Williams,MIN,S,801,1777,14,7,0,1,18,0,32.4,40.6,53.3,61.8,1,0,13.9,11,2,0,114.0,18,710,84,469,6,15,61,1,28,2,332,Vikings,2010,32520.600000000002,
23,Sean Jones,TB,S,938,1780,16,16,0,0,30,1,53.4,60.5,57.7,60.4,1,0,15.5,13,2,2,51.9,12,718,196,494,18,16,55,1,25,0,159,Buccaneers,2010,56749.0,
24,Matt Ware,ARZ,S,86,1810,10,0,0,0,1,0,53.9,51.1,77.8,59.6,0,0,16.7,1,0,0,122.9,5,44,37,51,2,2,5,0,5,2,20,Cardinals,2010,4394.6,
25,Will Allen,PIT,S,43,1832,6,0,0,0,25,0,63.0,60.1,0.0,58.1,0,0,25.0,1,0,1,118.8,2,39,4,32,0,0,3,0,2,0,32,Steelers,2010,2584.3,
