player_id,age,pff_id,adjusted_value,Year,Team,Net EPA,Win %,player,position,snap_counts_defense,player_game_count,assists,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_tackle,interceptions,interception_touchdowns,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_fs,snap_counts_box,snap_counts_coverage,snap_counts_slot,stops,tackles,tackles_for_loss,targets,touchdowns,yards,weighted_grade,weighted_average_grade
00-0027887,22.0,MISSING,238.65793041514945,2010,49ers,-0.03,37.50%,Taylor Mays,S,427.0,11.0,3.0,0.0,1.0,28.0,0.0,48.4,54.8,80.3,85.5,0.0,0.0,3.6,1.0,2.0,1.0,139.6,13.0,392.0,33.0,273.0,1.0,5.0,24.0,1.0,16.0,1.0,263.0,23399.6,MISSING
00-0026215,23.0,MISSING,132.713613631279,2010,49ers,-0.03,37.50%,Reggie Smith,S,548.0,13.0,4.0,0.0,0.0,28.0,0.0,56.7,60.4,81.6,49.1,1.0,0.0,22.0,9.0,4.0,1.0,66.1,13.0,469.0,66.0,331.0,4.0,6.0,28.0,2.0,27.0,1.0,175.0,33099.2,MISSING
00-0022843,28.0,MISSING,76.19676336884852,2010,49ers,-0.03,37.50%,Shawntae Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025513,25.0,MISSING,63.23126482628152,2010,49ers,-0.03,37.50%,Dashon Goldson,S,1011.0,16.0,10.0,0.0,0.0,28.0,0.0,47.0,55.9,14.1,64.2,1.0,1.0,11.8,10.0,3.0,3.0,92.7,20.0,883.0,103.0,586.0,12.0,15.0,65.0,1.0,37.0,2.0,345.0,56514.9,MISSING
00-0020495,30.0,MISSING,58.5054917100735,2010,49ers,-0.03,37.50%,Nate Clements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025534,25.0,MISSING,50.05500648168993,2010,49ers,-0.03,37.50%,Tarell Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0021185,30.0,MISSING,41.81767036952714,2010,49ers,-0.03,37.50%,Michael Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0020384,31.0,MISSING,23.365829254730897,2010,49ers,-0.03,37.50%,William James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026501,25.0,MISSING,21.291760980340403,2010,49ers,-0.03,37.50%,Curtis Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027610,22.0,MISSING,21.035209425105887,2010,49ers,-0.03,37.50%,Phillip Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027378,23.0,5906.0,0.0,2010,49ers,-0.03,37.50%,Chris Maragos,S,6.0,1.0,0.0,0.0,0.0,28.0,0.0,60.9,61.3,67.7,MISSING,0.0,0.0,MISSING,0.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.7999999999999,MISSING
