player_id,Year,Team,Cap_Space,position_x,age,adjusted_value,Net EPA,Win %,player,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,weighted_grade,weighted_average_grade
00-0027863,2010,49ers,3.1776967479674796,,20.0,519.1343265344232,-0.03,37.50%,Anthony Davis,T,100.0,1.0,28.0,59.7,58.1,67.2,11.0,37.0,561.0,100.0,100.0,93.8,11.0,59.0,11.0,979.0,0.0,0.0,0.0,979.0,590.0,590.0,0.0,979.0,389.0,0.0,58446.3,MISSING
00-0027875,2020,Chargers,2.438614026236125,,31.0,41.54389648313752,0.015,43.80%,Bryan Bulaga,T,100.0,0.0,27.0,61.6,65.1,53.0,1.0,10.0,264.0,100.0,100.0,97.2,0.0,13.0,2.0,444.0,0.0,0.0,0.0,444.0,276.0,276.0,0.0,444.0,168.0,0.0,27350.4,MISSING
00-0035688,2020,Chargers,0.4511952573158426,,23.0,119.31843562104736,0.015,43.80%,Trey Pipkins III,T,100.0,0.0,27.0,54.8,50.3,59.1,3.0,19.0,329.0,100.0,100.0,95.1,3.0,27.0,5.0,571.0,0.0,0.0,15.0,571.0,357.0,357.0,0.0,554.0,214.0,2.0,31290.8,MISSING
00-0029316,2020,Cardinals,0.4477800201816347,,31.0,3.1029532180023587,0.018,50.00%,Kelvin Beachum,T,100.0,0.0,1.0,69.0,76.8,59.0,3.0,19.0,646.0,100.0,100.0,97.8,6.0,25.0,3.0,1126.0,0.0,0.0,1.0,1126.0,693.0,693.0,1.0,1121.0,433.0,3.0,77694.0,74.99785816277962
00-0036363,2020,Cardinals,0.4439359233097881,,23.0,169.08987043874615,0.018,50.00%,Josh Jones,T,94.4,0.0,1.0,43.0,78.3,45.4,0.0,0.0,10.0,76.9,76.9,100.0,0.0,0.0,0.0,51.0,0.0,0.0,1.0,54.0,10.0,13.0,0.0,4.0,41.0,47.0,2322.0,MISSING
00-0032222,2020,Cardinals,2.8960645812310797,,26.0,182.73336023510728,0.018,50.00%,D.J. Humphries,T,100.0,0.0,1.0,88.3,79.9,90.8,2.0,18.0,648.0,100.0,100.0,98.0,7.0,23.0,3.0,1129.0,0.0,0.0,1127.0,1129.0,695.0,695.0,0.0,0.0,434.0,2.0,99690.7,78.3817117117117
00-0030829,2020,Buccaneers,0.3910191725529767,,29.0,0.0,0.186,75.00%,Josh Wells,T,100.0,0.0,30.0,65.1,66.8,58.6,2.0,2.0,63.0,100.0,100.0,93.7,0.0,6.0,2.0,111.0,0.0,0.0,111.0,111.0,68.0,68.0,0.0,0.0,43.0,0.0,7226.099999999999,MISSING
00-0032217,2020,Buccaneers,7.3158425832492435,,27.0,151.0952693992365,0.186,75.00%,Donovan Smith,T,100.0,1.0,30.0,71.8,69.2,74.0,8.0,21.0,588.0,100.0,100.0,96.5,11.0,35.0,6.0,962.0,0.0,0.0,962.0,962.0,634.0,634.0,0.0,0.0,328.0,0.0,69071.59999999999,MISSING
00-0036406,2020,Buccaneers,1.488673057517659,,21.0,485.5195362481221,0.186,75.00%,Tristan Wirfs,T,100.0,0.0,30.0,81.8,81.0,74.9,7.0,14.0,651.0,100.0,100.0,98.2,3.0,22.0,1.0,1073.0,0.0,0.0,0.0,1073.0,702.0,702.0,0.0,1073.0,371.0,0.0,87771.4,76.98963025924353
00-0031921,2020,Browns,1.3370332996972756,,28.0,0.0,0.01,66.70%,Kendall Lamm,T,97.3,1.0,8.0,76.8,67.6,72.0,1.0,3.0,65.0,95.6,96.1,95.4,1.0,5.0,1.0,110.0,0.0,0.0,99.0,113.0,73.0,76.0,0.0,0.0,37.0,14.0,8678.4,MISSING
00-0033057,2020,Browns,4.036326942482341,,26.0,389.3134829268642,0.01,66.70%,Jack Conklin,T,100.0,0.0,8.0,84.3,82.5,78.7,2.0,11.0,521.0,100.0,100.0,98.4,2.0,15.0,2.0,999.0,0.0,0.0,0.0,999.0,556.0,556.0,0.0,997.0,443.0,2.0,84215.7,MISSING
00-0036267,2020,Browns,1.8074409687184665,,21.0,537.5543907208883,0.01,66.70%,Jedrick Wills Jr.,T,100.0,0.0,8.0,61.5,79.4,50.3,5.0,9.0,481.0,100.0,100.0,97.7,11.0,18.0,4.0,957.0,0.0,0.0,957.0,957.0,507.0,507.0,0.0,0.0,450.0,0.0,58855.5,MISSING
00-0033578,2020,Chargers,1.0965943491422805,,25.0,28.356075397272203,0.015,43.80%,Sam Tevi,T,100.0,0.0,27.0,52.9,59.0,41.9,9.0,22.0,591.0,100.0,100.0,97.0,4.0,33.0,2.0,1024.0,0.0,0.0,1015.0,1024.0,630.0,630.0,0.0,0.0,394.0,9.0,54169.6,MISSING
00-0034957,2020,Broncos,0.3405650857719475,,24.0,0.0,-0.112,31.30%,Calvin Anderson,T,100.0,0.0,10.0,55.1,60.1,47.7,2.0,5.0,79.0,100.0,100.0,95.6,0.0,7.0,0.0,132.0,0.0,0.0,61.0,132.0,85.0,85.0,0.0,71.0,47.0,0.0,7273.2,MISSING
00-0033538,2020,Broncos,3.7891796165489406,,28.0,297.57348035509744,-0.112,31.30%,Garett Bolles,T,100.0,3.0,10.0,90.6,88.7,87.1,8.0,5.0,582.0,100.0,100.0,98.9,7.0,13.0,0.0,1015.0,0.0,0.0,1011.0,1015.0,622.0,622.0,0.0,0.0,393.0,4.0,91959.0,MISSING
00-0035382,2020,Bills,0.3405650857719475,,23.0,0.0,0.134,79.00%,Ryan Bates,T,90.2,0.0,4.0,67.5,91.4,72.0,0.0,0.0,31.0,81.6,79.5,100.0,1.0,0.0,0.0,74.0,7.0,0.0,45.0,82.0,31.0,39.0,9.0,0.0,43.0,21.0,5535.0,MISSING
00-0029709,2020,Bills,2.6236125126135215,,34.0,0.0,0.134,79.00%,Ty Nsekhe,T,96.3,0.0,4.0,80.5,62.4,90.2,0.0,1.0,22.0,91.7,93.1,97.7,0.0,1.0,0.0,52.0,0.0,0.0,12.0,54.0,27.0,29.0,0.0,40.0,25.0,2.0,4347.0,MISSING
