player_id,age,pff_id,adjusted_value,Year,Team,Net EPA,Win %,player,position,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,weighted_grade,weighted_average_grade
00-0027863,20.0,MISSING,519.1343265344232,2010,49ers,-0.03,37.50%,Anthony Davis,T,100.0,1.0,28.0,59.7,58.1,67.2,11.0,37.0,561.0,100.0,100.0,93.8,11.0,59.0,11.0,979.0,0.0,0.0,0.0,979.0,590.0,590.0,0.0,979.0,389.0,0.0,58446.3,MISSING
00-0027869,23.0,MISSING,432.8370230110429,2010,49ers,-0.03,37.50%,Mike Iupati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025415,26.0,MISSING,252.02587880696123,2010,49ers,-0.03,37.50%,Joe Staley,T,100.0,0.0,28.0,68.6,66.4,67.1,6.0,19.0,321.0,100.0,100.0,95.5,5.0,27.0,2.0,558.0,0.0,0.0,558.0,558.0,340.0,340.0,0.0,0.0,218.0,0.0,38278.8,MISSING
00-0026179,24.0,MISSING,229.9595959133068,2010,49ers,-0.03,37.50%,Chilo Rachal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023468,28.0,MISSING,154.02301766358204,2010,49ers,-0.03,37.50%,David Baas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023529,28.0,MISSING,63.02447913662228,2010,49ers,-0.03,37.50%,Adam Snyder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0021341,30.0,MISSING,3.405975284447736,2010,49ers,-0.03,37.50%,Eric Heitmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0021064,31.0,MISSING,0.0,2010,49ers,-0.03,37.50%,Tony Wragge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0018925,35.0,MISSING,0.0,2010,49ers,-0.03,37.50%,Barry Sims,T,100.0,0.0,28.0,70.7,74.8,64.2,2.0,9.0,226.0,100.0,100.0,95.8,2.0,15.0,4.0,392.0,0.0,0.0,391.0,392.0,234.0,234.0,0.0,0.0,158.0,1.0,27714.4,MISSING
00-0026762,23.0,MISSING,0.0,2010,49ers,-0.03,37.50%,Alex Boone,T,100.0,0.0,28.0,74.6,80.6,71.7,0.0,0.0,8.0,100.0,100.0,100.0,0.0,0.0,0.0,17.0,0.0,0.0,17.0,17.0,8.0,8.0,0.0,0.0,9.0,0.0,1268.1999999999998,MISSING
00-0026154,25.0,MISSING,385.6924321499836,2010,Bears,0.02,66.70%,Chris Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026924,25.0,MISSING,47.93833207451981,2010,Bears,0.02,66.70%,Herman Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023596,27.0,MISSING,27.859682188336667,2010,Bears,0.02,66.70%,Frank Omiyale,T,99.5,0.0,6.0,61.4,53.2,72.4,6.0,39.0,623.0,99.0,99.1,94.1,10.0,59.0,14.0,1117.0,0.0,0.0,1014.0,1123.0,661.0,667.0,0.0,85.0,456.0,24.0,68952.2,69.6516583747927
00-0027609,22.0,MISSING,23.74303503009006,2010,Bears,0.02,66.70%,J'Marcus Webb,T,99.9,2.0,6.0,53.1,37.0,71.1,1.0,49.0,510.0,99.8,99.8,92.7,10.0,62.0,12.0,920.0,0.0,0.0,0.0,921.0,532.0,533.0,0.0,915.0,388.0,6.0,48905.1,MISSING
00-0020260,31.0,MISSING,17.74989397005592,2010,Bears,0.02,66.70%,Roberto Garza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026961,25.0,MISSING,14.158619550050847,2010,Bears,0.02,66.70%,Lance Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0009472,33.0,MISSING,11.4371270305992,2010,Bears,0.02,66.70%,Olin Kreutz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0021106,30.0,MISSING,3.215476877364714,2010,Bears,0.02,66.70%,Kevin Shaffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026537,23.0,MISSING,0.0,2010,Bears,0.02,66.70%,Edwin Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026551,24.0,MISSING,0.0,2010,Bears,0.02,66.70%,Johan Asiata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026982,23.0,MISSING,574.8878363614433,2010,Bengals,-0.06,25.00%,Andre Smith,T,100.0,0.0,7.0,50.6,44.6,64.6,3.0,14.0,168.0,100.0,100.0,93.2,4.0,20.0,3.0,281.0,0.0,0.0,0.0,281.0,182.0,182.0,0.0,281.0,99.0,0.0,14218.6,MISSING
00-0024270,28.0,MISSING,145.7746709770495,2010,Bengals,-0.06,25.00%,Andrew Whitworth,T,98.9,0.0,7.0,90.9,81.3,91.4,9.0,14.0,614.0,98.4,98.2,97.6,7.0,26.0,3.0,1081.0,0.0,0.0,1029.0,1093.0,648.0,660.0,0.0,0.0,433.0,64.0,99353.7,MISSING
00-0026252,24.0,MISSING,82.74546773131904,2010,Bengals,-0.06,25.00%,Anthony Collins,T,100.0,0.0,7.0,67.9,79.6,54.4,0.0,3.0,145.0,100.0,100.0,99.0,1.0,3.0,0.0,255.0,0.0,0.0,8.0,255.0,152.0,152.0,0.0,247.0,103.0,0.0,17314.5,MISSING
00-0023514,28.0,MISSING,76.50432862913776,2010,Bengals,-0.06,25.00%,Evan Mathis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0019629,33.0,MISSING,21.902497403051203,2010,Bengals,-0.06,25.00%,Bobbie Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027820,23.0,MISSING,19.33341850220264,2010,Bengals,-0.06,25.00%,Reggie Stephens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0022728,31.0,MISSING,17.311118391085646,2010,Bengals,-0.06,25.00%,Kirk Chambers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024670,27.0,MISSING,0.0,2010,Bengals,-0.06,25.00%,Kyle Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
