Player,Tier,Grade,Ask_M,Value_M,Decision
T.J. Watt,Elite,87.19,16.0,28.0,SIGN
Andrew Van Ginkel,Rotation,60.23,16.0,6.0,PASS
Jonathan Greenard,Starter,73.45,16.0,16.0,SIGN
George Karlaftis,Rotation,67.6,16.0,6.0,PASS
Byron Young,Rotation,62.7,16.0,6.0,PASS
Jared Verse,Elite,90.6,16.0,28.0,SIGN
Travon Walker,Starter,70.29,16.0,16.0,SIGN
Jonathon Cooper,Rotation,66.37,16.0,6.0,PASS
Harold Landry III,Reserve/Poor,57.64,16.0,1.5,PASS
Brian Burns,Starter,72.16,16.0,16.0,SIGN
Greg Rousseau,Elite,83.47,16.0,28.0,SIGN
Danielle Hunter,Starter,72.2,16.0,16.0,SIGN
Yaya Diaby,Starter,74.83,16.0,16.0,SIGN
Anfernee Jennings,Reserve/Poor,59.94,16.0,1.5,PASS
Keion White,Rotation,64.92,16.0,6.0,PASS
Carl Granderson,Rotation,67.83,16.0,6.0,PASS
Trey Hendrickson,Starter,78.46,16.0,16.0,SIGN
Myles Garrett,Elite,91.08,16.0,28.0,SIGN
Josh Sweat,Rotation,67.67,16.0,6.0,PASS
Tuli Tuipulotu,Starter,71.19,16.0,16.0,SIGN
Maxx Crosby,Starter,78.44,16.0,16.0,SIGN
Nik Bonitto,Rotation,66.25,16.0,6.0,PASS
Will McDonald IV,Rotation,62.43,16.0,6.0,PASS
Dorance Armstrong,Rotation,63.18,16.0,6.0,PASS
Dayo Odeyingbo,Rotation,63.26,16.0,6.0,PASS
Chase Young,Starter,75.75,16.0,16.0,SIGN
DeMarcus Walker,Reserve/Poor,52.07,16.0,1.5,PASS
Arden Key,Rotation,64.99,16.0,6.0,PASS
Emmanuel Ogbah,Reserve/Poor,55.36,16.0,1.5,PASS
Nolan Smith,Starter,70.75,16.0,16.0,SIGN
A.J. Epenesa,Reserve/Poor,59.45,16.0,1.5,PASS
Michael Hoecht,Rotation,60.0,16.0,6.0,PASS
Kyle Van Noy,Reserve/Poor,56.5,16.0,1.5,PASS
Micah Parsons,Elite,91.11,16.0,28.0,SIGN
Nick Bosa,Elite,92.25,16.0,28.0,SIGN
Odafe Oweh,Starter,72.23,16.0,16.0,SIGN
Derick Hall,Reserve/Poor,59.52,16.0,1.5,PASS
Rashan Gary,Elite,80.06,16.0,28.0,SIGN
Khalil Mack,Starter,77.04,16.0,16.0,SIGN
Kwity Paye,Rotation,66.14,16.0,6.0,PASS
Matthew Judon,Reserve/Poor,49.46,16.0,1.5,PASS
Za'Darius Smith,Rotation,64.77,16.0,6.0,PASS
Jadeveon Clowney,Rotation,65.48,16.0,6.0,PASS
Will Anderson Jr.,Elite,90.18,16.0,28.0,SIGN
Dante Fowler Jr.,Reserve/Poor,55.29,16.0,1.5,PASS
Anthony Nelson,Reserve/Poor,58.69,16.0,1.5,PASS
Micheal Clemons,Reserve/Poor,57.14,16.0,1.5,PASS
Laiatu Latu,Rotation,66.32,16.0,6.0,PASS
Dre'Mont Jones,Reserve/Poor,52.57,16.0,1.5,PASS
Montez Sweat,Starter,76.09,16.0,16.0,SIGN
Josh Paschal,Rotation,61.51,16.0,6.0,PASS
Boye Mafe,Starter,72.48,16.0,16.0,SIGN
Leonard Floyd,Reserve/Poor,49.3,16.0,1.5,PASS
Zaven Collins,Starter,72.18,16.0,16.0,SIGN
Kayvon Thibodeaux,Rotation,65.73,16.0,6.0,PASS
Alex Highsmith,Elite,82.67,16.0,28.0,SIGN
Mike Danna,Reserve/Poor,58.11,16.0,1.5,PASS
Joseph Ossai,Rotation,60.59,16.0,6.0,PASS
Bud Dupree,Reserve/Poor,50.68,16.0,1.5,PASS
Joe Tryon-Shoyinka,Reserve/Poor,58.86,16.0,1.5,PASS
Arik Armstead,Reserve/Poor,56.79,16.0,1.5,PASS
Cameron Jordan,Reserve/Poor,54.77,16.0,1.5,PASS
Chop Robinson,Starter,72.2,16.0,16.0,SIGN
Tavius Robinson,Reserve/Poor,55.57,16.0,1.5,PASS
Arnold Ebiketie,Rotation,62.4,16.0,6.0,PASS
Kingsley Enagbare,Rotation,61.04,16.0,6.0,PASS
Tyree Wilson,Rotation,64.76,16.0,6.0,PASS
Sam Hubbard,Reserve/Poor,56.57,16.0,1.5,PASS
K'Lavon Chaisson,Rotation,61.61,16.0,6.0,PASS
Joey Bosa,Starter,76.99,16.0,16.0,SIGN
Charles Harris,Reserve/Poor,56.44,16.0,1.5,PASS
Preston Smith,Reserve/Poor,57.36,16.0,1.5,PASS
Isaiah McGuire,Starter,71.98,16.0,16.0,SIGN
Ogbo Okoronkwo,Reserve/Poor,55.86,16.0,1.5,PASS
Lukas Van Ness,Rotation,63.83,16.0,6.0,PASS
D.J. Wonnum,Reserve/Poor,56.71,16.0,1.5,PASS
Sam Okuayinonu,Reserve/Poor,57.53,16.0,1.5,PASS
Clelin Ferrell,Rotation,60.55,16.0,6.0,PASS
Jonah Elliss,Rotation,63.46,16.0,6.0,PASS
Nick Herbig,Starter,72.96,16.0,16.0,SIGN
Derek Barnett,Rotation,66.92,16.0,6.0,PASS
Lorenzo Carter,Reserve/Poor,52.87,16.0,1.5,PASS
Deatrich Wise Jr.,Reserve/Poor,52.23,16.0,1.5,PASS
Charles Snowden,Reserve/Poor,56.32,16.0,1.5,PASS
Carl Lawson,Reserve/Poor,56.6,16.0,1.5,PASS
Haason Reddick,Reserve/Poor,54.08,16.0,1.5,PASS
DJ Johnson,Reserve/Poor,55.17,16.0,1.5,PASS
Azeez Ojulari,Reserve/Poor,59.87,16.0,1.5,PASS
Dawuane Smoot,Reserve/Poor,49.28,16.0,1.5,PASS
Baron Browning,Reserve/Poor,59.99,16.0,1.5,PASS
Darrell Taylor,Reserve/Poor,58.76,16.0,1.5,PASS
Yetur Gross-Matos,Reserve/Poor,59.13,16.0,1.5,PASS
Tyquan Lewis,Reserve/Poor,59.65,16.0,1.5,PASS
Myles Murphy,Reserve/Poor,59.03,16.0,1.5,PASS
Felix Anudike-Uzomah,Reserve/Poor,59.51,16.0,1.5,PASS
Chris Braswell,Rotation,63.02,16.0,6.0,PASS
Payton Turner,Rotation,64.8,16.0,6.0,PASS
Von Miller,Reserve/Poor,56.68,16.0,1.5,PASS
Jalyx Hunt,Rotation,60.04,16.0,6.0,PASS
Brandon Graham,Rotation,66.85,16.0,6.0,PASS
Dallas Turner,Rotation,63.25,16.0,6.0,PASS
James Smith-Williams,Reserve/Poor,51.51,16.0,1.5,PASS
Charles Omenihu,Reserve/Poor,54.36,16.0,1.5,PASS
Bryce Huff,Rotation,66.85,16.0,6.0,PASS
Al-Quadin Muhammad,Reserve/Poor,52.26,16.0,1.5,PASS
David Ojabo,Rotation,61.09,16.0,6.0,PASS
Julian Okwara,Reserve/Poor,58.18,16.0,1.5,PASS
Jaylen Harrell,Reserve/Poor,51.86,16.0,1.5,PASS
Austin Booker,Reserve/Poor,58.52,16.0,1.5,PASS
Aidan Hutchinson,Elite,90.18,16.0,28.0,SIGN
Tyus Bowser,Reserve/Poor,50.29,16.0,1.5,PASS
Dondrea Tillman,Rotation,64.16,16.0,6.0,PASS
Quinton Bell,Reserve/Poor,53.27,16.0,1.5,PASS
Marshawn Kneeland,Reserve/Poor,54.0,16.0,1.5,PASS
Casey Toohill,Reserve/Poor,50.57,16.0,1.5,PASS
Javontae Jean-Baptiste,Reserve/Poor,57.37,16.0,1.5,PASS
Eric Watts,Reserve/Poor,56.59,16.0,1.5,PASS
Jacob Martin,Reserve/Poor,57.65,16.0,1.5,PASS
Cam Gill,Reserve/Poor,51.9,16.0,1.5,PASS
Dylan Horton,Reserve/Poor,56.85,16.0,1.5,PASS
Demone Harris,Reserve/Poor,52.13,16.0,1.5,PASS
Brent Urban,Reserve/Poor,37.62,16.0,1.5,PASS
Xavier Thomas,Reserve/Poor,54.97,16.0,1.5,PASS
