,Player,Team,Position,Cap_Space,year
0,Albert Haynesworth,Commanders,DT,20.8130081300813,2010
1,Tom Brady,Patriots,QB,16.520325203252032,2010
2,DeAngelo Hall,Commanders,CB,16.016260162601625,2010
3,Peyton Manning,Colts,QB,15.663956097560975,2010
4,Champ Bailey,Broncos,CB,15.36178861788618,2010
5,Donovan McNabb,Commanders,QB,15.101626016260164,2010
6,Miles Austin,Cowboys,WR,13.884552845528455,2010
7,Brett Favre,Vikings,QB,13.008130081300814,2010
8,Jason Peters,Eagles,LT,12.424390243902439,2010
9,Gerald McCoy,Buccaneers,DT/DE,12.266260162601625,2010
10,Julius Peppers,Bears,DE,12.018969918699186,2010
11,Corey Webster,Giants,CB,11.25609756097561,2010
12,Dwight Freeney,Colts,OLB/LB,11.239837398373984,2010
13,Kelvin Hayden,Colts,CB,11.219512195121952,2010
14,Matthew Stafford,Lions,QB,10.552845528455284,2010
15,Richard Seymour,Raiders,DT,10.548780487804878,2010
16,Jared Allen,Vikings,DE,10.53930406504065,2010
17,Tony Romo,Cowboys,QB,10.13211300813008,2010
18,Drew Brees,Saints,QB,10.040162601626017,2010
19,Carson Palmer,Bengals,QB,10.0,2010
20,Matt Ryan,Falcons,QB,9.959349593495935,2010
21,Matt Cassel,Chiefs,QB,9.91869918699187,2010
22,Eli Manning,Giants,QB,9.83739837398374,2010
23,Mario Williams,Texans,DE,9.75609756097561,2010
24,Reggie Bush,Saints,RB,9.747967479674797,2010
25,DeMarcus Ware,Cowboys,OLB,9.59349593495935,2010
26,Philip Rivers,Chargers,QB,9.520325203252032,2010
27,Joe Thomas,Browns,LT/T,9.235772357723578,2010
28,Calvin Johnson,Lions,WR,9.231026016260163,2010
29,Jake Long,Dolphins,LT/T,9.227642276422763,2010
30,Vernon Carey,Dolphins,T,9.097560975609756,2010
31,Chris Long,Rams,DE,8.953252032520325,2010
32,Terence Newman,Cowboys,CB,8.94308943089431,2010
33,Nick Collins,Packers,S,8.902439024390244,2010
34,Andre Johnson,Texans,WR,8.843226016260163,2010
35,Derrick Johnson,Chiefs,ILB/LB,8.516260162601625,2010
36,Larry Fitzgerald,Cardinals,WR,8.455284552845528,2010
37,Ben Roethlisberger,Steelers,QB,8.4194162601626,2010
38,Vince Young,Titans,QB,8.097560975609756,2010
39,Asante Samuel,Eagles,CB,8.044715447154472,2010
40,Michael Crabtree,49ers,WR,7.896943089430894,2010
41,Brian Urlacher,Bears,LB,7.845528455284553,2010
42,Will Smith,Saints,OLB/LB,7.829268292682927,2010
43,Clinton Portis,Commanders,RB,7.768780487804879,2010
44,Roy Williams,Cowboys,WR,7.711358536585367,2010
45,Shaun Rogers,Browns,DT,7.649390243902439,2010
46,Darrelle Revis,Jets,CB,7.564159349593496,2010
47,Jahri Evans,Saints,G,7.479674796747967,2010
48,Bart Scott,Jets,LB,7.439024390243902,2010
49,Mark Sanchez,Jets,QB,7.272865853658536,2010
50,Jay Cutler,Bears,QB,7.235772357723577,2010
51,Lee Evans,Bills,WR,7.222221951219512,2010
52,Alex Smith,49ers,QB,7.176152032520325,2010
53,Jeff Backus,Lions,T,7.1326634146341465,2010
54,Steve Smith,Panthers,WR,7.108739837398375,2010
55,Steve Hutchinson,Vikings,G,6.991869918699186,2010
56,John Abraham,Falcons,OLB/LB,6.978319512195122,2010
57,Terrell Suggs,Ravens,OLB,6.926829268292684,2010
58,Jordan Gross,Panthers,LT/T,6.910569105691057,2010
59,Ryan Pickett,Packers,DT,6.859756097560976,2010
60,Aaron Curry,Seahawks,OLB/LB,6.834349593495935,2010
61,Charles Woodson,Packers,SS/S,6.829268292682928,2010
62,Steven Jackson,Rams,RB,6.816260162601625,2010
63,Ed Reed,Ravens,S,6.806039024390244,2010
64,Alan Faneca,Jets,G,6.784552845528455,2010
65,Troy Polamalu,Steelers,S,6.7439024390243905,2010
66,Luis Castillo,Chargers,DE,6.741463414634147,2010
67,Antoine Bethea,Colts,FS/S,6.731707317073171,2010
68,DeMeco Ryans,Texans,ILB,6.707317073170732,2010
69,Nate Clements,49ers,CB,6.639566666666667,2010
70,Chris Hope,Titans,S,6.504066666666667,2010
71,David Garrard,Jaguars,QB,6.504065040650407,2010
72,Marion Barber,Cowboys,RB,6.449593495934959,2010
73,Sean Locklear,Seahawks,T,6.4227642276422765,2010
74,Vernon Davis,49ers,TE,6.407045528455285,2010
75,Eric Steinbach,Browns,G,6.395664227642277,2010
76,Dallas Clark,Colts,TE,6.360433333333333,2010
77,Matt Schaub,Texans,QB,6.341463414634147,2010
78,Roddy White,Falcons,WR,6.341463414634147,2010
79,Reggie Wayne,Colts,WR,6.336043089430894,2010
80,Daniel Graham,Broncos,TE,6.300813008130081,2010
81,Donald Driver,Packers,WR,6.178861788617886,2010
82,Adrian Wilson,Cardinals,S,6.138211382113821,2010
83,Bryant McKinnie,Vikings,LT/T,6.138211382113821,2010
84,Chad Clifton,Packers,T,6.097560975609756,2010
85,Julian Peterson,Lions,LB,6.097560975609756,2010
86,Kerry Collins,Titans,QB,6.097560975609756,2010
87,Tommy Kelly,Raiders,DT,6.002655284552846,2010
88,Lance Briggs,Bears,OLB/LB,5.985095121951219,2010
89,Darren Sproles,Chargers,RB,5.919756097560976,2010
90,Kevin Kolb,Eagles,QB,5.878556910569106,2010
91,Lofa Tatupa,Seahawks,LB,5.867208130081301,2010
92,Jason Brown,Rams,G,5.853658536585367,2010
93,Randy Moss,Patriots,WR,5.777139837398374,2010
94,London Fletcher,Commanders,ILB/LB,5.772357723577236,2010
95,Tramon Williams,Packers,CB,5.751219512195123,2010
96,Chad Johnson,Bengals,WR,5.731707317073171,2010
97,Marcus Trufant,Seahawks,CB,5.718156910569105,2010
98,Calvin Pace,Jets,OLB/LB,5.70189674796748,2010
99,Aubrayo Franklin,49ers,DT,5.6934959349593495,2010
100,A.J. Hawk,Packers,OLB/LB,5.686991869918699,2010
101,Kellen Winslow,Buccaneers,TE,5.589430894308943,2010
