Year,Team,Net EPA
2010,Patriots,0.22
2010,Chargers,0.24
2010,Texans,-0.04
2010,Eagles,0.01
2010,Colts,0.06
2010,Packers,0.18
2010,Steelers,0.18
2010,Saints,0.11
2010,Falcons,0.1
2010,Buccaneers,0.05
2010,Chiefs,0.05
2010,Cowboys,0
2010,Jaguars,-0.1
2010,Broncos,-0.13
2010,Ravens,0.06
2010,Jets,0.08
2010,Giants,0.09
2010,Raiders,0.02
2010,Lions,-0.01
2010,Titans,-0.03
2010,Bengals,-0.06
2010,49ers,-0.03
2010,Dolphins,-0.07
2010,Seahawks,-0.13
2010,Commanders,-0.12
2010,Browns,-0.12
2010,Bears,0.02
2010,Rams,-0.04
2010,Vikings,-0.07
2010,Bills,-0.19
2010,Cardinals,-0.21
2010,Panthers,-0.21
2011,Cardinals,-0.05
2011,Bears,-0.07
2011,Texans ,0.17
2011,Broncos,-0.09
2011,49ers,0.12
2011,Seahawks,0
2011,Patriots,0.14
2011,Falcons,0.08
2011,Packers,0.18
2011,Bengals,0
2011,Steelers,0.13
2011,Chargers,0.04
2011,Ravens,0.15
2011,Jets,0.01
2011,Rams,-0.23
2011,Browns,-0.08
2011,Vikings,-0.1
2011,Panthers,0.02
2011,Dolphins,-0.01
2011,Lions,0.15
2011,Buccaneers,-0.24
2011,Commanders,-0.1
2011,Cowboys,0.07
2011,Giants,-0.02
2011,Titans,-0.02
2011,Saints,0.21
2011,Eagles,0.11
2011,Colts,-0.19
2011,Raiders,-0.05
2011,Jaguars,-0.14
2011,Chiefs ,-0.1
2011,Bills,-0.06
2012,Cardinals,-0.15
2012,Bears,0.09
2012,Texans ,0.17
2012,Broncos,0.19
2012,49ers,0.19
2012,Seahawks,0.18
2012,Patriots,0.22
2012,Falcons,0.12
2012,Packers,0.1
2012,Bengals,0.06
2012,Steelers,0.05
2012,Chargers,-0.02
2012,Ravens,0.02
2012,Jets,-0.11
2012,Rams,-0.03
2012,Browns,-0.06
2012,Vikings,-0.01
2012,Panthers,0.05
2012,Dolphins,-0.08
2012,Lions,-0.03
2012,Buccaneers,0.01
2012,Commanders,0.09
2012,Cowboys,0
2012,Giants,0.02
2012,Titans,-0.15
2012,Saints,-0.02
2012,Eagles,-0.16
2012,Colts,-0.08
2012,Raiders,-0.12
2012,Jaguars,-0.19
2012,Chiefs ,-0.26
2012,Bills,-0.09
2013,Cardinals,0.07
