Pick,Value
1,1000
2,717.17
3,514.33
4,490.52
5,467.81
6,446.15
7,425.5
8,405.8
9,387.01
10,369.09
11,357.62
12,346.51
13,335.74
14,325.31
15,315.2
16,305.41
17,295.92
18,286.72
19,277.81
20,269.18
21,260.82
22,252.71
23,244.86
24,237.25
25,229.88
26,222.74
27,215.81
28,209.11
29,202.61
30,196.31
31,190.21
32,184.3
33,179.54
34,174.89
35,170.37
36,165.97
37,161.67
38,157.49
39,153.42
40,149.45
41,145.59
42,141.82
43,138.15
44,134.58
45,131.1
46,127.71
47,124.41
48,121.19
49,118.06
50,115
51,112.03
52,109.13
53,106.31
54,103.56
55,100.88
56,98.27
57,95.73
58,93.26
59,90.84
60,88.49
61,86.21
62,83.98
63,81.81
64,79.69
65,77.95
66,76.25
67,74.59
68,72.97
69,71.38
70,69.82
71,68.3
72,66.81
73,65.36
74,63.93
75,62.54
76,61.18
77,59.85
78,58.54
79,57.27
80,56.02
81,54.8
82,53.6
83,52.44
84,51.29
85,50.18
86,49.08
87,48.01
88,46.97
89,45.94
90,44.94
91,43.96
92,43.01
93,42.07
94,41.15
95,40.26
96,39.38
97,38.52
98,37.68
99,36.86
100,36.06
101,35.26
102,34.49
103,33.73
104,32.98
105,32.26
106,31.55
107,30.85
108,30.17
109,29.51
110,28.86
111,28.22
112,27.6
113,27
114,26.4
115,25.82
116,25.25
117,24.7
118,24.15
119,23.62
120,23.1
121,22.59
122,22.09
123,21.61
124,21.13
125,20.67
126,20.21
127,19.77
128,19.33
129,18.91
130,18.49
131,18.08
132,17.68
133,17.29
134,16.91
135,16.54
136,16.18
137,15.82
138,15.47
139,15.13
140,14.8
141,14.47
142,14.15
143,13.84
144,13.54
145,13.24
146,12.95
147,12.66
148,12.38
149,12.11
150,11.85
151,11.58
152,11.33
153,11.08
154,10.84
155,10.6
156,10.36
157,10.14
158,9.91
159,9.69
160,9.48
161,9.27
162,9.07
163,8.87
164,8.67
165,8.48
166,8.3
167,8.11
168,7.93
169,7.76
170,7.59
171,7.42
172,7.26
173,7.1
174,6.94
175,6.79
176,6.64
177,6.49
178,6.35
179,6.21
180,6.07
181,5.94
182,5.81
183,5.68
184,5.56
185,5.43
186,5.31
187,5.2
188,5.08
189,4.97
190,4.86
191,4.75
192,4.65
193,4.55
194,4.45
195,4.35
196,4.25
197,4.16
198,4.07
199,3.98
200,3.89
201,3.81
202,3.72
203,3.64
204,3.56
205,3.48
206,3.4
207,3.33
208,3.26
209,3.18
210,3.11
211,3.05
212,2.98
213,2.91
214,2.85
215,2.79
216,2.73
217,2.67
218,2.61
219,2.55
220,2.49
221,2.44
222,2.38
223,2.33
224,2.28
225,2.23
226,2.18
227,2.13
228,2.09
229,2.04
230,2
231,1.95
232,1.91
233,1.87
234,1.83
235,1.79
236,1.75
237,1.71
238,1.67
239,1.63
240,1.6
241,1.56
242,1.53
243,1.49
244,1.46
245,1.43
246,1.4
247,1.37
248,1.34
249,1.31
250,1.28
251,1.25
252,1.22
253,1.2
254,1.17
255,1.14
256,1.12
257,1.12
258,1.12
259,1.12
260,1.12
261,1.12
262,1.12
