Team,Win %,Year
Patriots,82.40%,2010
Falcons,76.50%,2010
Steelers,73.70%,2010
Ravens,72.20%,2010
Packers,70.00%,2010
Jets,68.40%,2010
Bears,66.70%,2010
Saints,64.70%,2010
Giants,62.50%,2010
Buccaneers,62.50%,2010
Colts,58.80%,2010
Chiefs,58.80%,2010
Eagles,58.80%,2010
Chargers,56.30%,2010
Jaguars,50.00%,2010
Raiders,50.00%,2010
Seahawks,44.40%,2010
Rams,43.80%,2010
Dolphins,43.80%,2010
Vikings,37.50%,2010
Lions,37.50%,2010
Texans,37.50%,2010
49ers,37.50%,2010
Cowboys,37.50%,2010
Commanders,37.50%,2010
Titans,37.50%,2010
Browns,31.30%,2010
Cardinals,31.30%,2010
Bengals,25.00%,2010
Broncos,25.00%,2010
Bills,25.00%,2010
Panthers,12.50%,2010
Packers,88.20%,2011
Patriots,79.00%,2011
Saints,77.80%,2011
49ers,77.80%,2011
Ravens,72.20%,2011
Steelers,70.60%,2011
Giants,65.00%,2011
Texans,61.10%,2011
Lions,58.80%,2011
Falcons,58.80%,2011
Titans,56.30%,2011
Bengals,52.90%,2011
Bears,50.00%,2011
Raiders,50.00%,2011
Broncos,50.00%,2011
Chargers,50.00%,2011
Jets,50.00%,2011
Eagles,50.00%,2011
Cardinals,50.00%,2011
Cowboys,50.00%,2011
Chiefs,43.80%,2011
Seahawks,43.80%,2011
Bills,37.50%,2011
Dolphins,37.50%,2011
Panthers,37.50%,2011
Commanders,31.30%,2011
Jaguars,31.30%,2011
Browns,25.00%,2011
Buccaneers,25.00%,2011
Vikings,18.80%,2011
Colts,12.50%,2011
Rams,12.50%,2011
Falcons,77.80%,2012
Broncos,76.50%,2012
Texans,72.20%,2012
Patriots,72.20%,2012
49ers,72.20%,2012
Ravens,70.00%,2012
Packers,66.70%,2012
Seahawks,66.70%,2012
Colts,64.70%,2012
Bears,62.50%,2012
Bengals,58.80%,2012
Vikings,58.80%,2012
Commanders,58.80%,2012
Giants,56.30%,2012
Cowboys,50.00%,2012
Steelers,50.00%,2012
Rams,46.70%,2012
Buccaneers,43.80%,2012
Chargers,43.80%,2012
Dolphins,43.80%,2012
Saints,43.80%,2012
Panthers,43.80%,2012
Titans,37.50%,2012
Jets,37.50%,2012
Bills,37.50%,2012
Cardinals,31.30%,2012
Browns,31.30%,2012
Lions,25.00%,2012
Raiders,25.00%,2012
Eagles,25.00%,2012
Jaguars,12.50%,2012
Chiefs,12.50%,2012
Seahawks,84.20%,2013
Broncos,79.00%,2013
49ers,73.70%,2013
Patriots,72.20%,2013
Panthers,70.60%,2013
Colts,66.70%,2013
Saints,66.70%,2013
Chiefs,64.70%,2013
Bengals,64.70%,2013
Cardinals,62.50%,2013
Eagles,58.80%,2013
Chargers,55.60%,2013
Cowboys,50.00%,2013
Ravens,50.00%,2013
Packers,50.00%,2013
Bears,50.00%,2013
Jets,50.00%,2013
Dolphins,50.00%,2013
Steelers,50.00%,2013
Giants,43.80%,2013
Lions,43.80%,2013
Titans,43.80%,2013
Rams,43.80%,2013
Bills,37.50%,2013
Vikings,33.30%,2013
Jaguars,25.00%,2013
Buccaneers,25.00%,2013
Falcons,25.00%,2013
Raiders,25.00%,2013
Browns,25.00%,2013
Commanders,18.80%,2013
Texans,12.50%,2013
Patriots,79.00%,2014
Seahawks,73.70%,2014
Cowboys,72.20%,2014
Packers,72.20%,2014
Broncos,70.60%,2014
Colts,68.40%,2014
Cardinals,64.70%,2014
