Cowboys,0.706,6919,Average O-Line,Top D-Line,40,11,104.8,127,1103,358,473,15,2119,124.6,43.8,32.5,4.9,16.7,9.9,5.5,7.1,4.5
Buccaneers,0.765,6901,Worse O-Line,Average D-Line,43,12,101.6,97,874,353,385,18,1672,98.4,44.3,33.5,3.1,14.7,9.8,5.2,6.9,4.3
Bills,0.647,6493,Average O-Line,Top D-Line,36,16,91.3,113,980,289,461,20,2209,129.9,45.2,28,4,14.5,11.3,4.6,6.3,4.8
Chiefs,0.706,6746,Top O-Line,Average D-Line,37,13,98.1,111,925,364,431,16,1955,115,48.2,37.3,4,16,13.7,5.9,6.8,4.5
Chargers,0.529,6634,Average O-Line,Average D-Line,38,15,97.4,116,1033,459,423,18,1834,107.9,45.7,45.3,4.4,11.2,12,5.6,6.8,4.3
Patriots,0.588,6008,Average O-Line,Average D-Line,24,13,95.5,95,854,303,489,24,2151,126.5,48,29.4,5,16.9,12.6,5.1,6.9,4.4
Bengals,0.588,6145,Average O-Line,Worse D-Line,36,14,106.9,72,620,376,436,16,1742,102.5,42.6,33.9,9,11.1,10,5.5,7.2,4
Rams,0.706,6325,Average O-Line,Top D-Line,41,18,101.6,76,637,372,420,10,1683,99,45.9,35.9,4.9,13.3,12.2,5.2,7.3,4
Colts,0.529,5901,Average O-Line,Average D-Line,27,8,93.5,76,688,365,499,22,2540,149.4,43.3,35.4,5.8,17.1,8.9,5.6,6.1,5.1
Packers,0.765,6215,Top O-Line,Average D-Line,39,7,107.4,69,678,371,446,13,1900,111.8,44.5,36.6,5.3,14,6.4,5.4,6.9,4.3
Cardinals,0.647,6352,Average O-Line,Average D-Line,27,11,100.6,114,990,366,496,23,2076,122.1,44.7,35.6,6.2,15.3,7.8,5.4,6.8,4.2
Eagles,0.529,6119,Top O-Line,Top D-Line,20,10,89.2,107,842,385,550,25,2715,159.7,43.4,37.2,5.9,8.9,9.2,5.2,6.5,4.9
49ers,0.588,6387,Average O-Line,Top D-Line,26,14,99.2,102,1066,365,499,22,2166,127.4,41.2,34.4,6,9.3,11.5,5.1,7.7,4.3
Vikings,0.471,6168,Average O-Line,Worse D-Line,34,7,101.6,111,1043,426,449,10,1930,113.5,39.3,40.2,4.7,11.9,6.6,5.7,6.7,4.3
Titans,0.706,5822,Worse O-Line,Average D-Line,22,14,90,103,973,354,551,23,2404,141.4,38.9,37.1,8.1,10.8,13,5.4,5.9,4.4
Seahawks,0.412,5506,Average O-Line,Average D-Line,30,7,103.1,97,803,366,413,18,2074,122,34.8,35.4,8.5,8.5,7,5.4,6.3,5
Ravens,0.471,6440,Top O-Line,Average D-Line,21,18,84.4,102,852,392,517,18,2479,145.8,38.5,34.2,8.5,7.9,13.3,6,5.9,4.8
Raiders,0.588,6184,Worse O-Line,Top D-Line,23,14,93.8,124,1104,439,414,14,1617,95.1,41,41.6,6,7.3,12.8,5.2,6.8,3.9
Saints,0.529,5177,Average O-Line,Average D-Line,29,13,87.4,98,811,335,510,12,1991,117.1,33.7,32.3,6.8,12.8,8.7,5.1,5.9,3.9
Browns,0.471,5791,Top O-Line,Average D-Line,21,14,84.6,112,1035,371,485,20,2471,145.4,32.2,37.4,8.6,9.9,12.4,5,5.8,5.1
Steelers,0.559,5361,Worse O-Line,Average D-Line,23,11,85.3,106,831,398,411,10,1583,93.1,34.7,38.7,5.4,10.8,9.5,5.5,5.4,3.9
Dolphins,0.529,5219,Average O-Line,Top D-Line,21,14,85.4,105,825,373,442,12,1568,92.2,30.1,36.3,6.1,13,12.4,5.3,5.6,3.5
Broncos,0.412,5618,Average O-Line,Worse D-Line,20,9,91.7,83,711,322,455,16,2025,119.1,36.9,32.7,6.9,10.7,9.5,5.3,6.2,4.5
Commanders,0.412,5502,Top O-Line,Average D-Line,21,15,85.8,82,743,434,477,13,2061,121.2,34.6,42.4,7.3,10.7,13.4,5.7,5.8,4.3
Lions,0.206,5484,Worse O-Line,Worse D-Line,23,14,88.1,105,824,467,427,12,1886,110.9,34.3,47.8,5.7,10.6,12.9,5.9,5.7,4.4
Falcons,0.412,5164,Worse O-Line,Worse D-Line,20,15,86.6,92,753,459,393,11,1451,85.4,32.8,44.7,6.5,11.2,14.7,5.6,6.1,3.7
Bears,0.353,5225,Average O-Line,Average D-Line,16,20,75.5,106,914,407,475,14,2018,118.7,31.5,40.4,9.7,8.4,15.2,5.3,5.3,4.2
Jets,0.235,5208,Average O-Line,Average D-Line,20,20,76,103,860,504,380,14,1667,98.1,29.4,48.9,8.1,7.4,14.4,5.9,5.4,4.4
Panthers,0.294,5081,Worse O-Line,Top D-Line,14,21,68.5,107,864,404,455,17,1842,108.4,29.2,37.6,8,8.1,14.9,5.1,5,4
Texans,0.235,4727,Worse O-Line,Average D-Line,21,15,85.2,114,978,452,420,8,1422,83.6,26.6,42.9,7.5,12.2,11.2,5.9,5.6,3.4
Giants,0.235,4884,Average O-Line,Worse D-Line,15,20,70.1,88,674,416,419,8,1688,99.3,27.5,41.3,6,12,15.9,5.3,5.1,4
Jaguars,0.176,5191,Worse O-Line,Worse D-Line,12,17,72.1,104,856,457,392,13,1755,103.2,26.4,45.3,5,5.2,15.7,5.6,5.4,4.5
