Unnamed: 0_x,season,team,position,player_name,player_id,years_exp,entry_year,rookie_year,draft_club,age,pick,pff,stuart,johnson,hill,otc,adjusted_value,Year,Team,Net EPA,Win %,merge_player_x,fuzzy_matched_player,final_player_name,Unnamed: 0_y,Player,Position,Cap_Space,year,merge_player_y
7,2010,49ers,CB,William James,00-0020384,9.0,2001.0,2001.0,Giants,31.0,78,0.251,6.9,200.0,58.54,706.0,23.365829254730897,2010,49ers,-0.03,37.50%,william james,william hayes,william hayes,,,,,,
19,2010,49ers,DL,Demetric Evans,00-0020055,9.0,2001.0,2001.0,MISSING,30.0,0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010,49ers,-0.03,37.50%,demetric evans,,demetric evans,,,,,,
28,2010,49ers,LB,Alex Joseph,00-0027433,0.0,2010.0,2010.0,MISSING,22.0,0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010,49ers,-0.03,37.50%,alex joseph,karl joseph,karl joseph,,,,,,
29,2010,49ers,LB,Keaton Kristick,00-0027377,0.0,2010.0,2010.0,MISSING,22.0,0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010,49ers,-0.03,37.50%,keaton kristick,easton stick,easton stick,,,,,,
30,2010,49ers,LB,Diyral Briggs,00-0026763,1.0,2009.0,2009.0,MISSING,24.0,0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010,49ers,-0.03,37.50%,diyral briggs,,diyral briggs,,,,,,
37,2010,49ers,OL,Eric Heitmann,00-0021341,8.0,2002.0,2002.0,49ers,30.0,239,0.05,0.0,0.0,1.63,116.0,3.405975284447736,2010,49ers,-0.03,37.50%,eric heitmann,eric herman,eric herman,,,,,,
39,2010,49ers,OL,Barry Sims,00-0018925,11.0,1999.0,1999.0,MISSING,35.0,0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010,49ers,-0.03,37.50%,barry sims,,barry sims,,,,,,
46,2010,49ers,RB,Brian Westbrook,00-0021216,8.0,2002.0,2002.0,Eagles,30.0,91,0.217,5.9,136.0,43.96,625.0,26.623541648784418,2010,49ers,-0.03,37.50%,brian westbrook,tevin westbrook,tevin westbrook,,,,,,
48,2010,49ers,RB,DeShawn Wynn,00-0025615,3.0,2007.0,2007.0,Packers,26.0,228,0.054,0.0,0.0,2.09,141.0,14.322548694496763,2010,49ers,-0.03,37.50%,deshawn wynn,deshawn wynn,deshawn wynn,,,,,,
58,2010,49ers,WR,Dominique Zeigler,00-0024687,3.0,2007.0,2007.0,MISSING,25.0,0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010,49ers,-0.03,37.50%,dominique zeigler,dominique easley,dominique easley,,,,,,
75,2010,Bears,DL,Charles Grant,00-0021156,8.0,2002.0,2002.0,Saints,31.0,25,0.557,14.1,720.0,229.88,1305.0,72.80967274368992,2010,Bears,0.02,66.70%,charles grant,charles gaines,charles gaines,,,,,,
77,2010,Bears,DL,Mark Anderson,00-0024373,4.0,2006.0,2006.0,Bears,27.0,159,0.11,2.3,28.0,9.69,331.0,39.24683042562679,2010,Bears,0.02,66.70%,mark anderson,mark anderson,mark anderson,,,,,,
79,2010,Bears,DL,Barry Turner,00-0027371,0.0,2010.0,2010.0,MISSING,23.0,0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010,Bears,0.02,66.70%,barry turner,,barry turner,,,,,,
84,2010,Bears,LB,Hunter Hillenmeyer,00-0021983,7.0,2003.0,2003.0,Packers,29.0,166,0.102,2.0,25.0,8.3,308.0,14.551633939754648,2010,Bears,0.02,66.70%,hunter hillenmeyer,,hunter hillenmeyer,,,,,,
86,2010,Bears,LB,Brian Iwuh,00-0024100,4.0,2006.0,2006.0,MISSING,26.0,0,MISSING,MISSING,MISSING,MISSING,MISSING,0.0,2010,Bears,0.02,66.70%,brian iwuh,,brian iwuh,,,,,,
89,2010,Bears,OL,Herman Johnson,00-0026924,1.0,2009.0,2009.0,Cardinals,25.0,167,0.101,2.0,25.0,8.11,305.0,47.93833207451981,2010,Bears,0.02,66.70%,herman johnson,jermaine johnson,jermaine johnson,,,,,,
94,2010,Bears,OL,Olin Kreutz,00-0009472,12.0,1998.0,1998.0,Bears,33.0,64,0.306,8.1,270.0,76.69,810.0,11.4371270305992,2010,Bears,0.02,66.70%,olin kreutz,,olin kreutz,,,,,,
