player,grade,model_grade,stats_grade,snaps,primary_team,teams,rank_overall,tier,rank_in_tier,position_key,position_label,season_year
Lamar Jackson,85.55,89.15,80.59,635.0,Ravens,Ravens,1,Elite,1,QB,Quarterback,2024
Joe Burrow,83.48,89.92,76.58,775.0,Bengals,Bengals,2,Elite,2,QB,Quarterback,2024
Josh Allen,80.96,85.33,74.08,686.0,Bills,Bills,3,Elite,3,QB,Quarterback,2024
Jared Goff,80.83,78.41,78.6,648.0,Lions,Lions,4,Elite,4,QB,Quarterback,2024
Justin Herbert,80.04,87.09,72.46,662.0,Chargers,Chargers,5,Elite,5,QB,Quarterback,2024
Baker Mayfield,79.96,79.34,76.87,721.0,Buccaneers,Buccaneers,6,Good,1,QB,Quarterback,2024
Geno Smith,78.73,81.34,73.43,704.0,Seahawks,Seahawks,7,Good,2,QB,Quarterback,2024
Patrick Mahomes,78.61,82.91,71.58,776.0,Chiefs,Chiefs,8,Good,3,QB,Quarterback,2024
Brock Purdy,78.36,77.54,77.92,567.0,49ers,49ers,9,Good,4,QB,Quarterback,2024
Jayden Daniels,77.27,84.7,74.56,781.0,Commanders,Commanders,10,Good,5,QB,Quarterback,2024
Tua Tagovailoa,76.37,76.11,76.46,460.0,Dolphins,Dolphins,11,Good,6,QB,Quarterback,2024
C.J. Stroud,76.18,78.24,70.84,742.0,Texans,Texans,12,Good,7,QB,Quarterback,2024
Jalen Hurts,76.09,74.54,75.22,558.0,Eagles,Eagles,13,Good,8,QB,Quarterback,2024
Matthew Stafford,75.41,76.21,72.07,667.0,Rams,Rams,14,Good,9,QB,Quarterback,2024
Sam Darnold,75.12,76.79,75.22,725.0,Vikings,Vikings,15,Good,10,QB,Quarterback,2024
Jordan Love,74.14,76.76,72.38,528.0,Packers,Packers,16,Good,11,QB,Quarterback,2024
Derek Carr,73.24,76.93,73.05,319.0,Saints,Saints,17,Starter,1,QB,Quarterback,2024
Kyler Murray,73.24,75.31,70.96,656.0,Cardinals,Cardinals,18,Starter,2,QB,Quarterback,2024
Kirk Cousins,73.06,74.5,72.67,521.0,Falcons,Falcons,19,Starter,3,QB,Quarterback,2024
Russell Wilson,72.2,73.38,71.88,444.0,Steelers,Steelers,20,Starter,4,QB,Quarterback,2024
Dak Prescott,71.8,73.35,72.66,344.0,Cowboys,Cowboys,21,Starter,5,QB,Quarterback,2024
Aaron Rodgers,70.98,76.21,67.44,684.0,Jets,Jets,22,Starter,6,QB,Quarterback,2024
Bo Nix,70.09,73.8,69.08,712.0,Broncos,Broncos,23,Starter,7,QB,Quarterback,2024
Trevor Lawrence,69.56,73.19,68.53,332.0,Jaguars,Jaguars,24,Starter,8,QB,Quarterback,2024
Caleb Williams,65.11,62.9,65.14,741.0,Bears,Bears,25,Starter,9,QB,Quarterback,2024
Joe Flacco,64.08,67.59,68.99,290.0,Colts,Colts,26,Starter,10,QB,Quarterback,2024
Bryce Young,63.14,66.61,60.48,477.0,Panthers,Panthers,27,Starter,11,QB,Quarterback,2024
Justin Fields,62.54,62.7,67.53,215.0,Steelers,Steelers,28,Starter,12,QB,Quarterback,2024
Drake Maye,62.53,64.25,67.77,461.0,Patriots,Patriots,29,Starter,13,QB,Quarterback,2024
Andy Dalton,62.1,68.66,67.14,185.0,Panthers,Panthers,30,Starter,14,QB,Quarterback,2024
Daniel Jones,61.97,65.56,62.73,418.0,Vikings,Vikings,31,Rotation/backup,1,QB,Quarterback,2024
Gardner Minshew,61.49,60.92,64.84,370.0,Raiders,Raiders,32,Rotation/backup,2,QB,Quarterback,2024
Michael Penix Jr.,61.44,72.45,65.36,120.0,Falcons,Falcons,33,Rotation/backup,3,QB,Quarterback,2024
Jameis Winston,61.26,67.75,64.9,347.0,Browns,Browns,34,Rotation/backup,4,QB,Quarterback,2024
Aidan O'Connell,60.18,60.34,65.27,276.0,Raiders,Raiders,35,Rotation/backup,5,QB,Quarterback,2024
Mason Rudolph,59.9,61.35,66.03,276.0,Titans,Titans,36,Rotation/backup,6,QB,Quarterback,2024
Will Levis,59.85,57.0,65.33,384.0,Titans,Titans,37,Rotation/backup,7,QB,Quarterback,2024
Mac Jones,59.68,60.22,63.23,309.0,Jaguars,Jaguars,38,Rotation/backup,8,QB,Quarterback,2024
Tyler Huntley,58.77,60.82,63.22,182.0,Dolphins,Dolphins,39,Rotation/backup,9,QB,Quarterback,2024
Cooper Rush,58.43,59.51,62.2,352.0,Cowboys,Cowboys,40,Rotation/backup,10,QB,Quarterback,2024
Deshaun Watson,58.4,62.52,60.9,290.0,Browns,Browns,41,Rotation/backup,11,QB,Quarterback,2024
Anthony Richardson,58.3,59.58,60.23,317.0,Colts,Colts,42,Rotation/backup,12,QB,Quarterback,2024
Desmond Ridder,58.02,56.68,65.43,105.0,Raiders,Raiders,43,Rotation/backup,13,QB,Quarterback,2024
Jacoby Brissett,57.9,62.51,61.34,200.0,Patriots,Patriots,44,Rotation/backup,14,QB,Quarterback,2024
Drew Lock,56.54,54.03,59.51,216.0,Giants,Giants,45,Rotation/backup,15,QB,Quarterback,2024
Spencer Rattler,56.44,52.72,57.35,284.0,Saints,Saints,46,Rotation/backup,16,QB,Quarterback,2024
Dorian Thompson-Robinson,54.78,51.21,54.87,142.0,Browns,Browns,47,Rotation/backup,17,QB,Quarterback,2024
