No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
11,Brandon Aiyuk,24,WR,17,17,200,6-0,Arizona St.,3/17/1998,2,11,San Francisco 49ers / 1st / 25th pick / 2020,AiyuBr00
51,Azeez Al-Shaair,25,LB,12,9,228,6-2,Florida Atlantic,8/4/1997,3,5,,AlShAz00
91,Arik Armstead,29,DL,9,9,290,6-7,Oregon,11/15/1993,7,4,San Francisco 49ers / 1st / 17th pick / 2015,ArmsAr01
65,Aaron Banks,25,OL,16,16,325,6-5,Notre Dame,9/3/1997,1,7,San Francisco 49ers / 2nd / 48th pick / 2021,BankAa00
97,Nick Bosa,25,DE,16,16,266,6-4,Ohio St.,10/23/1997,3,18,San Francisco 49ers / 1st / 2nd pick / 2019,BosaNi00
64,Jake Brendel,30,OL,17,17,299,6-4,UCLA,9/10/1992,6,8,,BrenJa01
60,Daniel Brunskill,28,OL,14,2,300,6-5,San Diego St.,1/27/1994,3,2,,BrunDa00
74,Spencer Burford,23,OL,16,16,295,6-5,Texas-San Antonio,7/19/1999,Rook,7,San Francisco 49ers / 4th / 134th pick / 2022,BurfSp00
48,Oren Burks,27,LB,17,3,233,6-3,Vanderbilt,3/21/1995,4,2,Green Bay Packers / 3rd / 88th pick / 2018,BurkOr00
28,Tevin Coleman,29,RB,5,0,210,6-1,Indiana,4/16/1993,7,1,Atlanta Falcons / 3rd / 73rd pick / 2015,ColeTe01
32,Tyrion Davis-Price,22,RB,6,0,232,6-1,LSU,10/23/2000,Rook,1,San Francisco 49ers / 3rd / 93rd pick / 2022,DaviTy03
82,Ross Dwelley,27,TE,12,0,235,6-5,San Diego,1/26/1995,4,1,,DwelRo00
50,Michael Dwumfour,24,DL,2,0,296,6-1,MichiganRutgers,1/1/1998,1,0,,DwumMi00
56,Samson Ebukam,27,DE,15,15,245,6-3,East. Washington,5/9/1995,5,7,Los Angeles Rams / 4th / 125th pick / 2017,EbukSa00
45,Demetrius Flannigan-Fowles,26,LB,17,0,223,6-2,Arizona,9/4/1996,2,1,,FlanDe00
10,Jimmy Garoppolo,31,QB,11,10,225,6-2,East. Illinois,11/2/1991,8,10,New England Patriots / 2nd / 62nd pick / 2014,GaroJi00
31,Tashaun Gipson,32,S,17,17,207,6-1,Wyoming,8/7/1990,10,7,,GipsTa00
90,Kevin Givens,25,DT,13,11,285,6-1,Penn St.,3/1/1997,3,5,,GiveKe01
9,Robbie Gould,40,K,17,0,190,6-0,Penn St.,12/6/1982,17,3,,gouldrob01
6,Danny Gray,23,WR,13,0,200,6-0,Blinn College (TX)SMU,4/1/1999,Rook,0,San Francisco 49ers / 3rd / 105th pick / 2022,GrayDa02
57,Dre Greenlaw,25,LB,15,15,230,6-0,Arkansas,5/27/1997,3,8,San Francisco 49ers / 5th / 148th pick / 2019,GreeDr00
61,Blake Hance,26,OL,7,0,310,6-6,Northwestern,1/11/1996,1,1,,HancBl00
29,Talanoa Hufanga,22,S,17,17,200,6-0,USC,2/1/2000,1,13,San Francisco 49ers / 5th / 180th pick / 2021,HufaTa00
92,Kerry Hyder,31,DE,16,1,275,6-2,Texas Tech,5/2/1991,7,2,,HydeKe01
95,Drake Jackson,21,DE,15,0,273,6-4,USC,4/12/2001,Rook,2,San Francisco 49ers / 2nd / 61st pick / 2022,JackDr01
20,Jackrabbit Jenkins,34,CB,2,0,190,5-10,North AlabamaFlorida,10/29/1988,10,0,St. Louis Rams / 2nd / 39th pick / 2012,JenkJa03
