No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
44,Matthew Adams,27,LB,10,3,229,Jun-00,Houston,12/12/95,4,2,Indianapolis Colts / 7th / 221st pick / 2018
47,Chase Allen,25,TE,1,0,250,,Iowa St.,7/9/97,Rook,0,
10,Michael Badgley,27,K,1,0,183,10-May,Miami (FL),7/28/95,4,1,
90,Angelo Blackson,30,DL,15,4,315,4-Jun,Auburn,11/14/92,7,2,Tennessee Titans / 4th / 100th pick / 2015
39,Josh Blackwell,23,DB,16,1,180,11-May,Duke,4/5/99,Rook,1,
35,Khari Blasingame,26,FB,16,6,233,Jun-00,Vanderbilt,7/1/96,3,0,
20,Breon Borders,27,DB,1,0,189,Jun-00,Duke,7/22/95,5,0,
75,Larry Borom,23,OL,13,9,333,5-Jun,Missouri,3/30/99,1,5,Chicago Bears / 5th / 151st pick / 2021
17,Tim Boyle,28,QB,1,0,233,4-Jun,"Connecticut,East. Kentucky",10/3/94,3,0,
9,Jaquan Brisker,23,DB,15,15,200,1-Jun,"Lackawanna,Penn St.",4/20/99,Rook,4,Chicago Bears / 2nd / 48th pick / 2022
94,Andrew Brown,27,DT,5,0,290,3-Jun,Virginia,12/30/95,3,0,Cincinnati Bengals / 5th / 158th pick / 2018
69,Ja'Tyre Carter,23,G,3,0,311,3-Jun,Southern,1/15/99,Rook,0,Chicago Bears / 7th / 226th pick / 2022
97,Taco Charlton,28,DL,5,0,270,6-Jun,Michigan,11/7/94,5,0,Dallas Cowboys / 1st / 28th pick / 2017
10,Chase Claypool,24,WR,7,3,238,4-Jun,Notre Dame,7/7/98,2,2,Pittsburgh Steelers / 2nd / 49th pick / 2020
23,Adrian Colbert,29,DB,2,0,205,2-Jun,Miami (FL),10/6/93,5,0,San Francisco 49ers / 7th / 229th pick / 2017
29,Dane Cruikshank,27,DB,8,0,209,1-Jun,Arizona,4/27/95,4,0,Tennessee Titans / 5th / 152nd pick / 2018
25,Trestan Ebner,23,RB,17,0,215,11-May,Baylor,1/2/99,Rook,0,Chicago Bears / 6th / 203rd pick / 2022
60,Dieter Eiselen,26,OL,11,0,320,4-Jun,Yale,6/10/96,2,1,
21,Darrynton Evans,24,RB,6,0,203,10-May,Appalachian St.,7/9/98,2,1,Tennessee Titans / 3rd / 93rd pick / 2020
1,Justin Fields,23,QB,15,15,228,3-Jun,"Georgia,Ohio St.",3/5/99,1,16,Chicago Bears / 1st / 11th pick / 2021
43,DeMarquis Gates,26,LB,3,0,221,2-Jun,Mississippi,3/7/96,Rook,0,
16,Trenton Gill,23,P,17,0,219,4-Jun,North Carolina St.,1/1/99,Rook,2,Chicago Bears / 7th / 255th pick / 2022
99,Trevis Gipson,25,DL,17,10,263,4-Jun,Tulsa,6/13/97,2,4,Chicago Bears / 5th / 155th pick / 2020
6,Kyler Gordon,23,DB,14,14,190,Jun-00,Washington,12/17/99,Rook,4,Chicago Bears / 2nd / 39th pick / 2022
98,Gerri Green,27,DL,1,0,252,4-Jun,Mississippi St.,9/14/95,Rook,0,Indianapolis Colts / 6th / 199th pick / 2019
84,Ryan Griffin,32,TE,15,0,255,6-Jun,Connecticut,1/11/90,9,0,Houston Texans / 6th / 201st pick / 2013
30,Harrison Hand,24,DB,4,1,185,11-May,"Baylor,Temple",11/12/98,2,0,Minnesota Vikings / 5th / 169th pick / 2020
8,N'Keal Harry,25,WR,7,0,225,4-Jun,Arizona St.,12/17/97,3,1,New England Patriots / 1st / 32nd pick / 2019
24,Khalil Herbert,24,RB,13,1,212,9-May,"Kansas,Virginia Tech",4/21/98,1,5,Chicago Bears / 6th / 217th pick / 2021
37,Elijah Hicks,23,DB,15,2,200,11-May,California,10/16/99,Rook,1,Chicago Bears / 7th / 254th pick / 2022
95,Jalyn Holmes,26,DL,1,0,283,5-Jun,Ohio St.,1/25/96,4,0,Minnesota Vikings / 4th / 102nd pick / 2018
36,DeAndre Houston-Carson,29,DB,17,6,202,Jun-00,William & Mary,4/13/93,6,2,Chicago Bears / 6th / 185th pick / 2016
4,Eddie Jackson,29,DB,12,12,206,Jun-00,Alabama,12/10/93,5,4,Chicago Bears / 4th / 112th pick / 2017
