No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
77,Hakeem Adeniji,25,T,15,1,300,5-Jun,Kansas,12/8/97,2,2,Cincinnati Bengals / 6th / 180th pick / 2020
48,Cal Adomitis,24,LS,15,0,250,,Pittsburgh,7/9/98,Rook,1,
8,Brandon Allen,30,QB,1,0,209,2-Jun,Arkansas,9/5/92,3,0,Jacksonville Jaguars / 6th / 201st pick / 2016
20,Eli Apple,27,CB,15,15,199,1-Jun,Ohio St.,8/9/95,6,6,New York Giants / 1st / 10th pick / 2016
86,Devin Asiasi,25,TE,12,0,257,3-Jun,"Michigan,UCLA",8/14/97,2,0,New England Patriots / 3rd / 91st pick / 2020
22,Chidobe Awuzie,27,CB,8,8,202,Jun-00,Colorado,5/24/95,5,3,Dallas Cowboys / 2nd / 60th pick / 2017
49,Joe Bachie,24,LB,10,0,235,2-Jun,Michigan St.,2/26/98,2,1,
51,Markus Bailey,25,LB,16,1,235,Jun-00,Purdue,3/7/97,2,2,Cincinnati Bengals / 7th / 215th pick / 2020
30,Jessie Bates III,25,S,16,16,200,1-Jun,Wake Forest,2/26/97,4,8,Cincinnati Bengals / 2nd / 54th pick / 2018
24,Vonn Bell,28,S,16,16,205,11-May,Ohio St.,12/12/94,6,8,New Orleans Saints / 2nd / 61st pick / 2016
83,Tyler Boyd,28,WR,16,14,203,2-Jun,Pittsburgh,11/15/94,6,8,Cincinnati Bengals / 2nd / 55th pick / 2016
9,Joe Burrow,26,QB,16,16,221,4-Jun,"Ohio St.,LSU",12/10/96,2,17,Cincinnati Bengals / 1st / 1st pick / 2020
65,Alex Cappa,27,G,16,16,305,6-Jun,Humboldt St.,1/27/95,4,9,Tampa Bay Buccaneers / 3rd / 94th pick / 2018
79,Jackson Carman,22,G,3,0,330,5-Jun,Clemson,1/22/00,1,0,Cincinnati Bengals / 2nd / 46th pick / 2021
95,Zachary Carter,23,DT,16,9,277,4-Jun,Florida,4/7/99,Rook,5,Cincinnati Bengals / 3rd / 95th pick / 2022
1,Ja'Marr Chase,22,WR,12,12,201,Jun-00,LSU,3/1/00,1,11,Cincinnati Bengals / 1st / 5th pick / 2021
4,Drue Chrisman,25,P,7,0,222,3-Jun,Ohio St.,6/30/97,Rook,1,
71,La'el Collins,29,T,15,15,320,4-Jun,LSU,7/26/93,7,10,
72,Domenique Davis,26,DT,2,0,315,3-Jun,"Shaw,North Carolina–Pembroke",2/28/96,Rook,0,
35,Jalen Davis,26,CB,13,0,185,10-May,Utah St.,2/2/96,4,1,
59,Akeem Davis-Gaither,25,LB,16,1,215,2-Jun,Appalachian St.,9/21/97,2,2,Cincinnati Bengals / 4th / 107th pick / 2020
25,Chris Evans,25,RB,12,0,219,11-May,Michigan,10/5/97,1,0,Cincinnati Bengals / 6th / 202nd pick / 2021
33,Tre Flowers,27,CB,15,0,203,3-Jun,Oklahoma St.,6/2/95,4,2,Seattle Seahawks / 5th / 146th pick / 2018
42,Allan George,23,CB,4,0,191,11-May,Vanderbilt,7/16/99,Rook,0,
93,Jeff Gunter,23,DE,10,0,263,4-Jun,"North Carolina St.,Coastal Carolina",5/31/99,Rook,1,Cincinnati Bengals / 7th / 252nd pick / 2022
46,Clark Harris,38,LS,1,0,250,5-Jun,Rutgers,7/10/84,14,0,Green Bay Packers / 7th / 243rd pick / 2007
91,Trey Hendrickson,28,DE,15,15,270,4-Jun,Florida Atlantic,12/5/94,5,12,New Orleans Saints / 3rd / 103rd pick / 2017
85,Tee Higgins,23,WR,16,14,215,4-Jun,Clemson,1/18/99,2,10,Cincinnati Bengals / 2nd / 33rd pick / 2020
92,B.J. Hill,27,DT,16,16,303,3-Jun,North Carolina St.,4/20/95,4,9,New York Giants / 3rd / 69th pick / 2018
23,Daxton Hill,22,S,15,2,192,Jun-00,Michigan,9/29/00,Rook,2,Cincinnati Bengals / 1st / 31st pick / 2022
63,Trey Hill,22,C,11,0,320,4-Jun,Georgia,1/23/00,1,1,Cincinnati Bengals / 6th / 190th pick / 2021
21,Mike Hilton,28,CB,14,4,184,9-May,Mississippi,3/9/94,5,3,
94,Sam Hubbard,27,DE,15,15,265,5-Jun,Ohio St.,6/29/95,4,8,Cincinnati Bengals / 3rd / 77th pick / 2018
10,Kevin Huber,37,P,9,0,210,1-Jun,Cincinnati,7/16/85,13,1,Cincinnati Bengals / 5th / 142nd pick / 2009
88,Hayden Hurst,29,TE,13,13,260,4-Jun,South Carolina,8/24/93,4,4,Baltimore Ravens / 1st / 25th pick / 2018
16,Trenton Irwin,27,WR,9,2,207,2-Jun,Stanford,12/10/95,3,2,
44,Clay Johnston,26,LB,16,0,225,1-Jun,Baylor,8/8/96,2,1,Los Angeles Rams / 7th / 234th pick / 2020
47,Keandre Jones,25,LB,1,0,220,3-Jun,"Ohio St.,Maryland",9/24/97,2,0,
