No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
17,Josh Allen,26,QB,16,16,237,5-Jun,"Reedley,Wyoming",5/21/96,4,20,Buffalo Bills / 1st / 7th pick / 2018
51,Eli Ankou,28,DT,0,0,325,3-Jun,UCLA,6/8/94,5,0,
55,Boogie Basham,25,DE,15,0,281,3-Jun,Wake Forest,12/16/97,1,2,Buffalo Bills / 2nd / 61st pick / 2021
2,Tyler Bass,25,K,16,0,183,10-May,Georgia Southern,2/14/97,2,3,Buffalo Bills / 6th / 188th pick / 2020
71,Ryan Bates,25,OL,15,15,302,4-Jun,Penn St.,2/14/97,3,8,
11,Cole Beasley,33,WR,2,1,174,8-May,SMU,4/26/89,10,0,
47,Christian Benford,22,CB,9,5,205,1-Jun,Villanova,9/21/00,Rook,2,Buffalo Bills / 6th / 185th pick / 2022
43,Terrel Bernard,23,LB,16,1,222,1-Jun,Baylor,5/7/99,Rook,2,Buffalo Bills / 3rd / 89th pick / 2022
65,Ike Boettger,28,G,1,0,313,6-Jun,Iowa,10/5/94,4,0,
98,C.J. Brewer,25,DT,2,0,290,2-Jun,Coastal Carolina,11/22/97,Rook,0,
15,John Brown,32,WR,3,0,178,11-May,Pittsburg St.,4/3/90,8,0,Arizona Cardinals / 3rd / 91st pick / 2014
79,Spencer Brown,24,T,14,14,311,9-Jun,Northern Iowa,2/28/98,1,9,Buffalo Bills / 3rd / 93rd pick / 2021
90,Brandin Bryant,29,DT,4,0,294,3-Jun,Florida Atlantic,9/16/93,3,0,
28,James Cook,23,RB,16,0,190,11-May,Georgia,9/25/99,Rook,5,Buffalo Bills / 2nd / 63rd pick / 2022
80,Jamison Crowder,29,WR,4,0,177,9-May,Duke,6/17/93,7,1,Washington Redskins / 4th / 105th pick / 2015
13,Gabriel Davis,23,WR,15,15,210,2-Jun,Central Florida,4/1/99,2,9,Buffalo Bills / 4th / 128th pick / 2020
73,Dion Dawkins,28,T,15,15,320,5-Jun,Temple,4/26/94,5,12,Buffalo Bills / 2nd / 63rd pick / 2017
14,Stefon Diggs,29,WR,16,16,191,Jun-00,Maryland,11/29/93,7,15,Minnesota Vikings / 5th / 146th pick / 2015
53,Tyrel Dodson,24,LB,16,3,237,Jun-00,Texas A&M,6/25/98,2,3,
72,Tommy Doyle,24,T,1,0,320,8-Jun,Miami (OH),5/6/98,1,0,Buffalo Bills / 5th / 161st pick / 2021
49,Tremaine Edmunds,24,LB,13,13,250,5-Jun,Virginia Tech,5/2/98,4,7,Buffalo Bills / 1st / 16th pick / 2018
24,Kaiir Elam,21,CB,13,6,195,2-Jun,Florida,5/5/01,Rook,3,Buffalo Bills / 1st / 23rd pick / 2022
94,Prince Emili,24,DT,2,0,300,2-Jun,Pennsylvania,9/18/98,Rook,0,
57,A.J. Epenesa,24,DE,15,2,260,6-Jun,Iowa,9/15/98,2,3,Buffalo Bills / 2nd / 54th pick / 2020
69,Reid Ferguson,28,LS,16,0,235,2-Jun,LSU,3/24/94,5,1,
87,Tanner Gentry,28,WR,3,0,193,1-Jun,Wyoming,12/18/94,5,0,
42,Joe Giles-Harris,25,LB,1,0,234,2-Jun,Duke,4/1/97,3,0,
41,Reggie Gilliam,25,FB,15,4,244,Jun-00,Toledo,8/20/97,2,1,
3,Damar Hamlin,24,S,15,13,200,Jun-00,Pittsburgh,3/24/98,1,5,Buffalo Bills / 6th / 212th pick / 2021
68,Bobby Hart,28,T,15,0,310,5-Jun,Florida St.,8/21/94,7,1,New York Giants / 7th / 226th pick / 2015
20,Nyheim Hines,26,RB,9,1,196,9-May,North Carolina St.,11/12/96,4,3,Indianapolis Colts / 4th / 104th pick / 2018
