No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
59,Dakota Allen,27,LB,2,0,232,1-Jun,"Texas Tech,East Mississippi CC",11/2/95,3,0,Los Angeles Rams / 7th / 251st pick / 2019
76,Calvin Anderson,26,T,14,7,300,5-Jun,"Rice,Texas",3/25/96,2,3,
36,Tyler Badie,22,RB,1,0,194,8-May,Missouri,2/7/00,Rook,0,Baltimore Ravens / 6th / 196th pick / 2022
75,Quinn Bailey,27,T,8,1,323,6-Jun,Arizona St.,10/18/95,3,1,
34,Essang Bassey,24,CB,14,0,190,10-May,Wake Forest,8/12/98,2,1,
83,Andrew Beck,26,FB,13,4,255,3-Jun,Texas,5/15/96,3,0,
46,Jacob Bobenmoyer,25,LS,13,0,235,2-Jun,Northern Colorado,5/28/97,2,1,
72,Garett Bolles,30,T,5,5,300,5-Jun,"Snow College (UT),Utah",5/27/92,5,2,Denver Broncos / 1st / 20th pick / 2017
42,Nik Bonitto,23,OLB,15,1,240,3-Jun,Oklahoma,9/26/99,Rook,2,Denver Broncos / 2nd / 64th pick / 2022
26,Mike Boone,27,RB,9,0,205,10-May,Cincinnati,7/30/95,4,1,
56,Baron Browning,23,OLB,14,8,240,3-Jun,Ohio St.,2/19/99,1,6,Denver Broncos / 3rd / 105th pick / 2021
55,Bradley Chubb,26,OLB,8,8,275,4-Jun,North Carolina St.,6/24/96,4,4,Denver Broncos / 1st / 5th pick / 2018
16,Tyrie Cleveland,25,WR,6,0,209,2-Jun,Florida,9/20/97,2,0,Denver Broncos / 7th / 252nd pick / 2020
69,Tom Compton,33,OL,1,0,315,6-Jun,South Dakota,5/10/89,9,0,Washington Redskins / 6th / 193rd pick / 2012
53,Jonathon Cooper,24,OLB,14,9,254,3-Jun,Ohio St.,1/8/98,1,5,Denver Broncos / 7th / 239th pick / 2021
79,Lloyd Cushenberry III,25,C,8,8,312,3-Jun,LSU,11/22/97,2,3,Denver Broncos / 3rd / 83rd pick / 2020
21,Ronald Darby,28,CB,5,5,193,11-May,Florida St.,1/2/94,7,2,Buffalo Bills / 2nd / 50th pick / 2015
67,Christian DiLauro,28,T,3,0,300,6-Jun,Illinois,11/11/94,1,0,
80,Greg Dulcich,22,TE,10,6,245,3-Jun,UCLA,3/26/00,Rook,3,Denver Broncos / 3rd / 80th pick / 2022
19,Chase Edmonds,26,RB,5,1,210,9-May,Fordham,4/13/96,4,1,Arizona Cardinals / 4th / 134th pick / 2018
73,Cameron Fleming,30,T,15,15,325,6-Jun,Stanford,9/3/92,8,6,New England Patriots / 4th / 140th pick / 2014
48,Mitchell Fraboni,26,LS,4,0,223,2-Jun,Arizona St.,10/28/96,Rook,0,
71,Elijah Garcia,24,DL,2,0,302,5-Jun,Rice,3/11/98,Rook,0,
61,Graham Glasgow,30,G,17,13,310,6-Jun,Michigan,7/19/92,6,4,Detroit Lions / 3rd / 95th pick / 2016
25,Melvin Gordon,29,RB,10,6,215,1-Jun,Wisconsin,4/13/93,7,3,San Diego Chargers / 1st / 15th pick / 2015
5,Randy Gregory,30,OLB,6,3,255,5-Jun,"Arizona Western,Nebraska",11/23/92,7,2,Dallas Cowboys / 2nd / 60th pick / 2015
50,Jonas Griffith,25,LB,9,8,250,4-Jun,Indiana St.,1/27/97,1,4,
1,KJ Hamler,23,WR,7,0,178,9-May,Penn St.,7/8/99,2,1,Denver Broncos / 2nd / 46th pick / 2020
41,Anthony Harris,31,S,3,0,202,1-Jun,Virginia,10/9/91,7,0,
92,Jonathan Harris,26,DL,8,4,295,5-Jun,Lindenwood,8/4/96,3,2,
91,Matt Henningsen,23,DE,17,0,291,3-Jun,Wisconsin,5/1/99,Rook,1,Denver Broncos / 6th / 206th pick / 2022
29,Faion Hicks,25,CB,2,0,192,10-May,Wisconsin,9/17/97,Rook,0,Denver Broncos / 7th / 232nd pick / 2022
9,Kendall Hinton,25,WR,12,5,195,Jun-00,Wake Forest,2/19/97,2,2,
22,Kareem Jackson,34,S,17,17,183,10-May,Alabama,4/10/88,12,6,Houston Texans / 1st / 20th pick / 2010
25,Lamar Jackson,24,CB,3,0,215,3-Jun,Nebraska,4/13/98,2,0,
10,Jerry Jeudy,23,WR,15,14,193,1-Jun,Alabama,4/24/99,2,7,Denver Broncos / 1st / 15th pick / 2020
47,Josey Jewell,28,LB,13,13,236,1-Jun,Iowa,12/25/94,4,8,Denver Broncos / 4th / 106th pick / 2018
89,Brandon Johnson,24,WR,7,1,195,2-Jun,"Tennessee,Central Florida",7/26/98,Rook,0,
97,D.J. Jones,27,DT,15,15,305,Jun-00,"East Mississippi CC,Mississippi",1/19/95,5,8,San Francisco 49ers / 6th / 198th pick / 2017
93,Dre'Mont Jones,25,DE,13,13,281,3-Jun,Ohio St.,1/5/97,3,7,Denver Broncos / 3rd / 71st pick / 2019
61,Jonathan Kongbo,26,OLB,3,0,265,4-Jun,"Wyoming,Arizona Western,Tennessee",3/19/96,Rook,0,
43,Harvey Langi,30,LB,3,0,250,2-Jun,BYU,9/24/92,5,0,
37,P.J. Locke,25,S,16,0,202,10-May,Texas,2/12/97,2,1,
37,Marlon Mack,26,RB,6,0,210,Jun-00,South Florida,3/7/96,5,1,Indianapolis Colts / 4th / 143rd pick / 2017
54,Jacob Martin,27,OLB,5,0,242,2-Jun,Temple,12/11/95,4,0,Seattle Seahawks / 6th / 186th pick / 2018
27,Damarri Mathis,23,CB,16,11,195,11-May,Pittsburgh,4/12/99,Rook,4,Denver Broncos / 4th / 115th pick / 2022
8,Brandon McManus,31,K,17,0,201,3-Jun,Temple,7/25/91,8,2,
35,Ja'Quan McMillian,22,CB,1,1,183,,East Carolina,6/4/00,Rook,0,
77,Quinn Meinerz,24,OL,13,13,320,3-Jun,Wisconsin–Whitewater,11/15/98,1,4,Denver Broncos / 3rd / 98th pick / 2021
28,Latavius Murray,32,RB,12,7,230,3-Jun,Central Florida,1/18/90,8,4,Oakland Raiders / 6th / 181st pick / 2013
52,Netane Muti,23,G,1,0,315,3-Jun,Fresno St.,3/27/99,2,0,Denver Broncos / 6th / 181st pick / 2020
13,Michael Ojemudia,25,CB,3,0,200,1-Jun,Iowa,9/12/97,2,0,Denver Broncos / 3rd / 77th pick / 2020
85,Albert Okwuegbunam,24,TE,8,1,258,5-Jun,Missouri,4/25/98,2,1,Denver Broncos / 4th / 118th pick / 2020
36,Devine Ozigbo,26,RB,4,0,225,Jun-00,Nebraska,10/2/96,3,0,
94,Aaron Patrick,26,OLB,5,0,245,4-Jun,East. Kentucky,12/21/96,1,0,
20,Darius Phillips,27,CB,9,0,190,10-May,Western Michigan,6/26/95,4,0,Cincinnati Bengals / 5th / 170th pick / 2018
98,Mike Purcell,31,DL,17,4,328,3-Jun,Wyoming,4/20/91,8,4,
52,Wyatt Ray,26,OLB,3,0,250,3-Jun,Boston Col.,10/24/96,2,0,
66,Dalton Risner,27,G,15,15,312,5-Jun,Kansas St.,7/13/95,3,5,Denver Broncos / 2nd / 41st pick / 2019
4,Brett Rypien,26,QB,4,2,202,2-Jun,Boise St.,7/9/96,2,1,
82,Eric Saubert,28,TE,17,6,253,5-Jun,Drake,5/1/94,5,1,Atlanta Falcons / 5th / 174th pick / 2017
31,Justin Simmons,29,S,12,12,202,2-Jun,Boston Col.,11/19/93,6,9,Denver Broncos / 3rd / 98th pick / 2016
49,Alex Singleton,29,LB,17,12,240,2-Jun,Montana St.,12/7/93,3,6,
30,Caden Sterns,23,S,5,3,207,1-Jun,Texas,11/2/99,1,1,Denver Broncos / 5th / 152nd pick / 2021
40,Justin Strnad,26,LB,17,0,238,3-Jun,Wake Forest,8/21/96,1,1,Denver Broncos / 5th / 178th pick / 2020
2,Patrick Surtain II,22,CB,17,17,202,2-Jun,Alabama,4/14/00,1,14,Denver Broncos / 1st / 9th pick / 2021
