No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
56,Dakota Allen,27,LB,4,0,232,1-Jun,"Texas Tech,East Mississippi CC",11/2/95,3,0,Los Angeles Rams / 7th / 251st pick / 2019
17,Daylen Baldwin,23,WR,1,0,212,2-Jun,"Morgan St.,Jackson St.,Michigan",11/24/99,Rook,0,
37,D'Anthony Bell,26,S,16,2,211,1-Jun,"Iowa Central,Butler (KS),West Florida",10/17/96,Rook,1,
18,David Bell,22,WR,16,3,205,2-Jun,Purdue,12/14/00,Rook,2,Cleveland Browns / 3rd / 99th pick / 2022
75,Joel Bitonio,31,G,17,17,320,4-Jun,Nevada,10/11/91,8,12,Cleveland Browns / 2nd / 35th pick / 2014
13,Corey Bojorquez,26,P,17,0,217,Jun-00,"Cerritos (CA),New Mexico",9/13/96,4,3,
7,Jacoby Brissett,30,QB,16,11,235,4-Jun,"Florida,North Carolina St.",12/11/92,6,10,New England Patriots / 3rd / 91st pick / 2016
37,Mike Brown,23,DB,3,0,222,,Miami (OH),4/7/99,Rook,0,
84,Pharaoh Brown,28,TE,13,5,258,6-Jun,Oregon,5/4/94,5,0,
99,Taven Bryan,26,DT,16,16,291,5-Jun,Florida,3/11/96,4,6,Jacksonville Jaguars / 1st / 29th pick / 2018
88,Harrison Bryant,24,TE,17,9,230,5-Jun,Florida Atlantic,4/23/98,2,2,Cleveland Browns / 4th / 115th pick / 2020
40,Jermaine Carter Jr.,27,LB,7,1,225,1-Jun,Maryland,1/14/95,4,1,Carolina Panthers / 5th / 161st pick / 2018
24,Nick Chubb,27,RB,17,17,227,11-May,Georgia,12/27/95,4,12,Cleveland Browns / 2nd / 35th pick / 2018
90,Jadeveon Clowney,29,DE,12,10,255,5-Jun,South Carolina,2/14/93,8,4,Houston Texans / 1st / 1st pick / 2014
78,Jack Conklin,28,T,14,14,308,6-Jun,Michigan St.,8/17/94,6,6,Tennessee Titans / 1st / 8th pick / 2016
2,Amari Cooper,28,WR,17,17,210,1-Jun,Alabama,6/17/94,7,11,Oakland Raiders / 1st / 4th pick / 2015
1,Jaelon Darden,23,WR,2,0,174,8-May,North Texas,1/14/99,1,0,Tampa Bay Buccaneers / 4th / 129th pick / 2021
53,Tae Davis,26,LB,5,0,224,1-Jun,Chattanooga,8/14/96,4,0,
22,Grant Delpit,24,S,17,16,208,3-Jun,LSU,9/20/98,1,6,Cleveland Browns / 2nd / 44th pick / 2020
68,Michael Dunn,28,G,8,2,315,5-Jun,Maryland,8/28/94,2,1,
96,Jordan Elliott,25,DT,17,17,303,4-Jun,"Texas,Missouri",11/23/97,2,7,Cleveland Browns / 3rd / 88th pick / 2020
23,Martin Emerson,22,CB,17,6,195,2-Jun,Mississippi St.,9/27/00,Rook,2,Cleveland Browns / 3rd / 68th pick / 2022
25,Demetric Felton,24,RB,8,2,189,9-May,UCLA,7/16/98,1,0,Cleveland Browns / 6th / 211th pick / 2021
42,Tony Fields,23,LB,17,6,222,Jun-00,"Arizona,West Virginia",6/18/99,1,4,Cleveland Browns / 5th / 153rd pick / 2021
70,Drew Forbes,25,G,9,0,305,5-Jun,SE Missouri St.,1/18/97,3,1,Cleveland Browns / 6th / 189th pick / 2019
34,Jerome Ford,23,RB,13,0,220,11-May,"Alabama,Cincinnati",12/9/99,Rook,0,Cleveland Browns / 5th / 156th pick / 2022
86,Miller Forristall,24,TE,4,0,244,5-Jun,Alabama,3/11/98,1,0,
72,Hjalte Froholdt,26,G,17,6,310,5-Jun,Arkansas,8/20/96,2,3,New England Patriots / 4th / 118th pick / 2019
95,Myles Garrett,27,DE,16,15,272,4-Jun,Texas A&M,12/29/95,5,13,Cleveland Browns / 1st / 1st pick / 2017
27,Thomas Graham,23,CB,7,0,193,11-May,Oregon,6/26/99,1,0,Chicago Bears / 6th / 228th pick / 2021
38,A.J. Green,24,CB,17,1,198,2-Jun,Oklahoma St.,6/9/98,2,1,
59,Joe Haeg,29,T,1,0,298,6-Jun,North Dakota St.,3/11/93,6,0,Indianapolis Colts / 5th / 155th pick / 2016
33,Ronnie Harrison,25,S,16,5,214,3-Jun,Alabama,4/18/97,4,2,Jacksonville Jaguars / 3rd / 93rd pick / 2018
74,Chris Hubbard,31,T,4,1,295,4-Jun,Ala-Birmingham,4/23/91,8,1,
66,James Hudson,23,T,17,3,313,5-Jun,"Michigan,Cincinnati",5/13/99,1,2,Cleveland Browns / 4th / 110th pick / 2021
47,Charley Hughlett,32,LS,17,0,248,4-Jun,Central Florida,5/16/90,7,1,
27,Kareem Hunt,27,RB,17,0,216,11-May,Toledo,8/6/95,5,5,Kansas City Chiefs / 3rd / 86th pick / 2017
49,Storey Jackson,24,LB,1,0,225,2-Jun,"Hutchinson (KS),Prairie View A&M,Liberty",4/8/98,Rook,0,
81,Jesse James,28,TE,2,0,251,7-Jun,Penn St.,6/4/94,7,0,Pittsburgh Steelers / 5th / 160th pick / 2015
30,D'Ernest Johnson,26,RB,15,0,208,10-May,South Florida,2/27/96,3,0,
43,John Johnson,27,S,17,17,209,Jun-00,Boston Col.,12/19/95,5,6,Los Angeles Rams / 3rd / 91st pick / 2017
54,Deion Jones,28,MLB,11,5,227,1-Jun,LSU,11/4/94,6,3,Atlanta Falcons / 2nd / 52nd pick / 2016
92,Sam Kamara,25,LB,1,0,272,Jun-00,Stony Brook,12/21/97,1,0,
41,John Kelly,26,RB,1,0,205,10-May,Tennessee,10/4/96,4,0,Los Angeles Rams / 6th / 176th pick / 2018
51,Jordan Kunaszyk,26,LB,15,2,235,3-Jun,California,10/15/96,3,2,
39,Richard LeCounte,24,S,1,0,196,11-May,Georgia,9/11/98,1,0,Cleveland Browns / 5th / 169th pick / 2021
29,Herb Miller,25,CB,4,0,190,2-Jun,Florida Atlantic,11/11/97,2,0,
20,Greg Newsome II,22,CB,15,15,192,Jun-00,Northwestern,5/18/00,1,4,Cleveland Browns / 1st / 26th pick / 2021
85,David Njoku,26,TE,14,14,246,4-Jun,Miami (FL),7/10/96,5,6,Cleveland Browns / 1st / 29th pick / 2017
28,Jeremiah Owusu-Koramoah,23,LB,11,10,221,2-Jun,Notre Dame,11/4/99,1,4,Cleveland Browns / 2nd / 52nd pick / 2021
11,Donovan Peoples-Jones,23,WR,17,14,204,2-Jun,Michigan,2/19/99,2,9,Cleveland Browns / 6th / 187th pick / 2020
64,Roderick Perry,25,DT,2,0,300,2-Jun,"South Carolina St.,Illinois",12/3/97,Rook,0,
50,Jacob Phillips,23,LB,7,4,233,4-Jun,LSU,4/1/99,2,2,Cleveland Browns / 3rd / 97th pick / 2020
55,Ethan Pocic,27,C,13,13,320,6-Jun,LSU,8/5/95,5,5,Seattle Seahawks / 2nd / 58th pick / 2017
19,Reggie Ragland,29,LB,4,2,252,2-Jun,Alabama,9/23/93,5,1,Buffalo Bills / 2nd / 41st pick / 2016
98,Isaac Rochell,27,DE,6,1,280,3-Jun,Notre Dame,4/22/95,5,1,Los Angeles Chargers / 7th / 225th pick / 2017
80,Chester Rogers,28,WR,3,0,184,Jun-00,Grambling St.,1/12/94,6,0,
10,Anthony Schwartz,22,WR,11,1,186,Jun-00,Auburn,9/5/00,1,1,Cleveland Browns / 3rd / 91st pick / 2021
57,Ben Stille,25,DT,6,1,295,5-Jun,Nebraska,11/12/97,Rook,1,
44,Sione Takitaki,27,LB,12,8,238,1-Jun,BYU,6/8/95,3,3,Cleveland Browns / 3rd / 80th pick / 2019
77,Wyatt Teller,28,G,15,15,314,4-Jun,Virginia Tech,11/21/94,4,7,Buffalo Bills / 5th / 166th pick / 2018
58,Isaiah Thomas,24,DE,10,0,266,5-Jun,Oklahoma,12/3/98,Rook,1,Cleveland Browns / 7th / 223rd pick / 2022
93,Tommy Togiai,23,DT,12,2,296,2-Jun,Ohio St.,9/19/99,1,2,Cleveland Browns / 4th / 132nd pick / 2021
5,Anthony Walker,27,LB,3,3,235,1-Jun,Northwestern,8/8/95,5,1,Indianapolis Colts / 5th / 161st pick / 2017
21,Denzel Ward,25,CB,14,14,190,11-May,Ohio St.,4/28/97,4,6,Cleveland Browns / 1st / 4th pick / 2018
4,Deshaun Watson,27,QB,6,6,215,2-Jun,Clemson,9/14/95,5,4,Houston Texans / 1st / 12th pick / 2017
26,Greedy Williams,25,CB,11,1,185,2-Jun,LSU,12/3/97,3,1,Cleveland Browns / 2nd / 46th pick / 2019
71,Jedrick Wills Jr.,23,T,17,17,307,4-Jun,Alabama,5/17/99,2,8,Cleveland Browns / 1st / 10th pick / 2020
97,Perrion Winfrey,22,DT,13,0,292,4-Jun,"Iowa Western,Oklahoma",8/15/00,Rook,1,Cleveland Browns / 4th / 108th pick / 2022
69,Chase Winovich,27,DE,8,2,250,3-Jun,Michigan,4/19/95,3,1,New England Patriots / 3rd / 77th pick / 2019
12,Michael Woods II,22,WR,10,0,198,1-Jun,"Arkansas,Oklahoma",3/19/00,Rook,0,Cleveland Browns / 6th / 202nd pick / 2022
94,Alex Wright,22,DE,17,5,267,5-Jun,Ala-Birmingham,9/5/00,Rook,3,Cleveland Browns / 3rd / 78th pick / 2022
3,Cade York,21,K,17,0,198,1-Jun,LSU,1/27/01,Rook,1,Cleveland Browns / 4th / 124th pick / 2022
,Team Total,25.5,,17,,241,6-2.3,,,2.9,,
