No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
94,Zach Allen,25,DE,13,13,281,6-4,Boston Col.,8/20/1997,3,5,Arizona Cardinals / 3rd / 65th pick / 2019,AlleZa01
15,Matt Ammendola,26,K,2,0,195,5-9,Oklahoma St.,12/11/1996,1,0,,AmmeMa00
89,Stephen Anderson,29,TE,16,0,230,6-3,California,1/30/1993,6,0,,AndeSt01
82,Andre Baccellia,25,WR,8,0,175,5-10,Washington,1/7/1997,Rook,0,,BaccAn00
3,Budda Baker,26,S,15,15,195,5-10,Washington,1/10/1996,5,7,Arizona Cardinals / 2nd / 36th pick / 2017,BakeBu00
31,Chris Banjo,32,S,13,1,207,5-10,SMU,2/26/1990,9,1,,BanjCh00
69,Eric Banks,24,DL,1,0,270,6-5,Texas-San Antonio,1/30/1998,1,0,,BankEr00
68,Kelvin Beachum,33,OL,17,17,308,6-3,SMU,6/8/1989,10,7,Pittsburgh Steelers / 7th / 248th pick / 2012,BeacKe00
26,Eno Benjamin,23,RB,10,3,207,5-9,Arizona St.,4/13/1999,1,3,Arizona Cardinals / 7th / 222nd pick / 2020,BenjEn00
15,Rodrigo Blankenship,25,K,2,0,184,6-1,Georgia,1/29/1997,2,0,,BlanRo03
17,David Blough,27,QB,2,2,205,6-1,Purdue,7/31/1995,3,1,,BlouDa00
48,Hunter Bradley,28,LS,2,0,241,6-3,Mississippi St.,5/21/1994,4,0,Green Bay Packers / 7th / 239th pick / 2018,BradHu00
46,Aaron Brewer,32,LS,15,0,232,6-5,San Diego St.,7/5/1990,10,1,,BrewAa00
2,Marquise Brown,25,WR,12,10,180,5-9,College of the Canyons (CA)Oklahoma,6/4/1997,3,6,Baltimore Ravens / 1st / 25th pick / 2019,BrowMa04
3,Robbie Chosen,29,WR,10,2,190,6-3,Temple,5/9/1993,6,1,,AndeRo04
23,Corey Clement,28,RB,9,1,220,5-10,Wisconsin,11/2/1994,5,1,,ClemCo00
25,Zaven Collins,23,LB,16,16,260,6-4,Tulsa,5/19/1999,1,6,Arizona Cardinals / 1st / 16th pick / 2021,CollZa00
6,James Conner,27,RB,13,13,233,6-1,Pittsburgh,5/5/1995,5,7,Pittsburgh Steelers / 3rd / 105th pick / 2017,ConnJa00
15,Pharoh Cooper,27,WR,5,1,208,5-11,South Carolina,3/7/1995,6,0,Los Angeles Rams / 4th / 117th pick / 2016,CoopPh00
65,Rashaad Coward,28,OL,4,3,319,6-5,Old Dominion,11/6/1994,5,1,,CowaRa00
66,Wyatt Davis,23,OL,1,0,315,6-4,Ohio St.,2/17/1999,1,0,Minnesota Vikings / 3rd / 86th pick / 2021,DaviWy00
52,Victor Dimukeje,23,OLB,14,2,265,6-2,Duke,11/18/1999,1,1,Arizona Cardinals / 6th / 210th pick / 2021,DimuVi00
91,Michael Dogbe,26,DE,13,4,295,6-3,Temple,5/5/1996,3,2,Arizona Cardinals / 7th / 249th pick / 2019,DogbMi00
83,Greg Dortch,24,WR,16,4,173,5-7,Wake Forest,5/29/1998,3,4,,DortGr01
86,Zach Ertz,32,TE,10,10,250,6-5,Stanford,11/10/1990,9,3,Philadelphia Eagles / 2nd / 35th pick / 2013,ErtzZa00
72,Cody Ford,26,OL,11,3,329,6-3,Oklahoma,12/28/1996,3,2,Buffalo Bills / 2nd / 38th pick / 2019,FordCo00
