No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
73,Nick Allegretti,26,G,17,3,315,4-Jun,Illinois,4/21/96,3,3,Kansas City Chiefs / 7th / 216th pick / 2019
32,Ugo Amadi,25,S,1,0,201,9-May,Oregon,5/16/97,3,0,Seattle Seahawks / 4th / 132nd pick / 2019
19,Matt Ammendola,26,K,2,0,195,9-May,Oklahoma St.,12/11/96,1,0,
39,Zayne Anderson,25,DB,3,0,205,2-Jun,BYU,1/3/97,1,0,
81,Blake Bell,31,TE,3,1,260,6-Jun,Oklahoma,8/7/91,7,0,San Francisco 49ers / 4th / 117th pick / 2015
32,Nick Bolton,22,LB,17,17,237,11-May,Missouri,3/10/00,1,7,Kansas City Chiefs / 2nd / 58th pick / 2021
2,Dicaprio Bootle,25,DB,4,0,195,10-May,Nebraska,9/17/97,1,0,
57,Orlando Brown Jr.,26,T,17,17,363,8-Jun,Oklahoma,5/2/96,4,13,Baltimore Ravens / 3rd / 83rd pick / 2018
45,Michael Burton,30,FB,17,0,243,Jun-00,Rutgers,2/1/92,7,0,Detroit Lions / 5th / 168th pick / 2015
26,Deon Bush,29,DB,16,0,187,Jun-00,Miami (FL),8/14/93,6,1,Chicago Bears / 4th / 124th pick / 2016
7,Harrison Butker,27,K,13,0,196,4-Jun,Georgia Tech,7/14/95,5,1,Carolina Panthers / 7th / 233rd pick / 2017
54,Leo Chenal,22,LB,17,8,255,2-Jun,Wisconsin,10/26/00,Rook,4,Kansas City Chiefs / 3rd / 103rd pick / 2022
74,Geron Christian,26,T,10,0,315,6-Jun,Louisville,9/10/96,4,1,Washington Redskins / 3rd / 74th pick / 2018
48,Cole Christiansen,25,LB,1,0,230,1-Jun,Army,7/30/97,2,0,
55,Frank Clark,29,DE,15,15,261,3-Jun,Michigan,6/14/93,7,6,Seattle Seahawks / 2nd / 63rd pick / 2015
43,Jack Cochrane,23,LB,15,0,230,3-Jun,South Dakota,2/9/99,Rook,1,
6,Bryan Cook,23,S,16,1,210,1-Jun,"Howard,Cincinnati",9/7/99,Rook,1,Kansas City Chiefs / 2nd / 62nd pick / 2022
51,Michael Danna,25,DE,13,0,255,2-Jun,"Central Michigan,Michigan",12/4/97,2,1,Kansas City Chiefs / 5th / 177th pick / 2020
8,Carlos Dunlap,33,DE,17,2,285,6-Jun,Florida,2/28/89,12,2,Cincinnati Bengals / 2nd / 54th pick / 2010
25,Clyde Edwards-Helaire,23,RB,10,6,207,7-May,LSU,4/11/99,2,3,Kansas City Chiefs / 1st / 32nd pick / 2020
27,Rashad Fenton,25,CB,5,5,188,11-May,South Carolina,2/17/97,3,1,Kansas City Chiefs / 6th / 201st pick / 2019
88,Jody Fortson,27,TE,13,1,226,4-Jun,Valdosta St.,12/7/95,1,1,
50,Willie Gay Jr.,24,LB,13,13,243,1-Jun,Mississippi St.,2/15/98,2,6,Kansas City Chiefs / 2nd / 63rd pick / 2020
83,Noah Gray,23,TE,17,8,240,4-Jun,Duke,4/30/99,1,3,Kansas City Chiefs / 5th / 162nd pick / 2021
17,Mecole Hardman,24,WR,8,5,187,10-May,Georgia,3/12/98,3,3,Kansas City Chiefs / 2nd / 56th pick / 2019
47,Darius Harris,26,LB,17,4,238,2-Jun,Middle Tenn. St.,1/17/96,2,3,
4,Chad Henne,37,QB,3,0,215,3-Jun,Michigan,7/2/85,14,0,Miami Dolphins / 2nd / 57th pick / 2008
70,Malik Herring,25,DE,7,0,280,3-Jun,Georgia,11/9/97,Rook,1,
52,Creed Humphrey,23,C,17,17,302,4-Jun,Oklahoma,6/28/99,1,13,Kansas City Chiefs / 2nd / 63rd pick / 2021
13,Nazeeh Johnson,24,S,11,0,199,10-May,Marshall,7/17/98,Rook,1,Kansas City Chiefs / 7th / 259th pick / 2022
95,Chris Jones,28,DT,17,17,298,6-Jun,Mississippi St.,7/3/94,6,16,Kansas City Chiefs / 2nd / 37th pick / 2016
2,Ronald Jones II,25,RB,6,0,208,11-May,USC,8/3/97,4,1,Tampa Bay Buccaneers / 2nd / 38th pick / 2018
56,George Karlaftis III,21,DE,17,17,275,4-Jun,Purdue,4/3/01,Rook,7,Kansas City Chiefs / 1st / 30th pick / 2022
87,Travis Kelce,33,TE,17,17,256,5-Jun,Cincinnati,10/5/89,9,12,Kansas City Chiefs / 3rd / 63rd pick / 2013
85,Marcus Kemp,27,WR,3,0,208,4-Jun,Hawaii,8/14/95,5,0,
