No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
81,Mo Alie-Cox,29,TE,17,11,267,5-Jun,Virginia Commonwealth,9/19/93,4,1,
39,Darrell Baker,24,CB,3,0,190,1-Jun,Georgia Southern,3/27/98,Rook,0,
52,Ben Banogu,26,DE,16,0,252,3-Jun,TCU,1/19/96,3,1,Indianapolis Colts / 2nd / 49th pick / 2019
32,Julian Blackmon,24,S,14,11,187,Jun-00,Utah,8/24/98,2,4,Indianapolis Colts / 3rd / 85th pick / 2020
3,Rodrigo Blankenship,25,K,1,0,184,1-Jun,Georgia,1/29/97,2,0,
38,Tony Brown,27,CB,16,0,199,Jun-00,Alabama,7/13/95,4,1,
99,DeForest Buckner,28,DT,17,16,295,7-Jun,Oregon,3/17/94,6,8,San Francisco 49ers / 1st / 7th pick / 2016
1,Parris Campbell,25,WR,17,16,208,Jun-00,Ohio St.,7/16/97,3,5,Indianapolis Colts / 2nd / 59th pick / 2019
92,Kameron Cline,24,DE,3,0,270,4-Jun,South Dakota,2/19/98,2,0,
15,Keke Coutee,25,WR,8,0,180,11-May,Texas Tech,1/14/97,4,0,Houston Texans / 4th / 103rd pick / 2018
68,Byron Cowart,26,DT,17,0,300,3-Jun,Maryland,5/20/96,3,1,New England Patriots / 5th / 159th pick / 2019
20,Nick Cross,21,S,16,2,210,1-Jun,Maryland,9/10/01,Rook,2,Indianapolis Colts / 3rd / 96th pick / 2022
43,Trevor Denbow,24,S,2,0,208,10-May,"Navarro,SMU",8/26/98,Rook,0,
57,JoJo Domann,25,LB,16,0,230,,Nebraska,7/28/97,Rook,1,
16,Ashton Dulin,25,WR,12,2,215,1-Jun,Malone,5/15/97,3,1,
4,Sam Ehlinger,24,QB,4,3,225,3-Jun,Texas,9/30/98,1,2,Indianapolis Colts / 6th / 218th pick / 2021
31,Brandon Facyson,28,CB,16,4,197,2-Jun,Virginia Tech,9/8/94,4,2,
84,Ethan Fernea,24,WR,1,0,195,11-May,UCLA,3/2/98,Rook,0,
30,Dallis Flowers,25,CB,13,1,196,1-Jun,"Grand View,Pittsburg St.",6/4/97,Rook,1,
9,Nick Foles,33,QB,3,2,262,6-Jun,Arizona,1/20/89,10,1,Philadelphia Eagles / 3rd / 88th pick / 2012
44,Zaire Franklin,26,LB,17,17,235,Jun-00,Syracuse,7/2/96,4,8,Indianapolis Colts / 7th / 235th pick / 2018
75,Will Fries,24,G,16,9,309,6-Jun,Penn St.,4/4/98,1,3,Indianapolis Colts / 7th / 248th pick / 2021
37,Jake Funk,24,RB,1,0,205,10-May,Maryland,1/11/98,1,0,Los Angeles Rams / 7th / 233rd pick / 2021
5,Stephon Gilmore,32,CB,16,16,202,1-Jun,South Carolina,9/19/90,10,5,Buffalo Bills / 1st / 10th pick / 2012
83,Kylen Granson,24,TE,13,4,242,2-Jun,"Rice,SMU",3/27/98,1,2,Indianapolis Colts / 4th / 127th pick / 2021
6,Matt Haack,28,P,17,0,205,Jun-00,Arizona St.,7/25/94,5,2,
21,Nyheim Hines,26,RB,7,4,196,9-May,North Carolina St.,11/12/96,4,1,Indianapolis Colts / 4th / 104th pick / 2018
35,Deon Jackson,23,RB,16,2,220,Jun-00,Duke,2/18/99,1,3,
93,Eric Johnson,24,DT,14,0,298,5-Jun,Missouri State,7/16/98,Rook,1,Indianapolis Colts / 5th / 159th pick / 2022
48,Nikola Kalinic,25,TE,7,2,256,5-Jun,York,1/21/97,Rook,0,
55,Khalid Kareem,24,DE,4,0,265,4-Jun,Notre Dame,4/28/98,2,0,Cincinnati Bengals / 5th / 147th pick / 2020
73,Dennis Kelly,32,T,16,3,321,8-Jun,Purdue,1/16/90,10,2,Philadelphia Eagles / 5th / 153rd pick / 2012
78,Ryan Kelly,29,C,17,17,307,4-Jun,Alabama,5/30/93,6,5,Indianapolis Colts / 1st / 18th pick / 2016
53,Shaquille Leonard,27,LB,3,1,230,2-Jun,South Carolina St.,7/27/95,4,1,Indianapolis Colts / 2nd / 36th pick / 2018
94,Tyquan Lewis,27,DE,7,4,277,3-Jun,Ohio St.,1/30/95,4,2,Indianapolis Colts / 2nd / 64th pick / 2018
30,Phillip Lindsay,28,RB,3,0,190,8-May,Colorado,7/24/94,4,0,
59,Cameron McGrone,22,LB,1,0,236,1-Jun,Michigan,6/22/00,Rook,0,New England Patriots / 5th / 177th pick / 2021
7,Chase McLaughlin,26,K,16,0,180,Jun-00,Illinois,4/9/96,3,3,
26,Rodney McLeod,32,S,17,15,195,10-May,Virginia,6/23/90,10,5,
23,Kenny Moore,27,CB,12,12,190,9-May,Valdosta St.,8/23/95,5,4,
21,Zack Moss,25,RB,8,3,205,9-May,Utah,12/15/97,2,2,Buffalo Bills / 3rd / 86th pick / 2020
56,Quenton Nelson,26,OL,17,17,330,5-Jun,Notre Dame,3/19/96,4,7,Indianapolis Colts / 1st / 6th pick / 2018
91,Yannick Ngakoue,27,DE,15,15,246,2-Jun,Maryland,3/31/95,6,7,Jacksonville Jaguars / 3rd / 69th pick / 2016
59,Ifeadi Odenigbo,28,DE,13,0,258,3-Jun,Northwestern,4/8/94,4,1,Minnesota Vikings / 7th / 220th pick / 2017
54,Dayo Odeyingbo,23,DE,17,4,276,6-Jun,Vanderbilt,9/24/99,1,3,Indianapolis Colts / 2nd / 54th pick / 2021
58,Bobby Okereke,26,LB,17,16,235,1-Jun,Stanford,7/29/96,3,8,Indianapolis Colts / 3rd / 89th pick / 2019
50,Segun Olubi,23,LB,2,0,225,Jun-00,"Col. of Idaho,Saddleback College,Harding,San Diego St.",11/1/99,Rook,0,
10,Dezmon Patmon,24,WR,1,0,220,4-Jun,Washington St.,8/6/98,2,0,Indianapolis Colts / 6th / 212th pick / 2020
51,Kwity Paye,24,DE,12,12,261,2-Jun,Michigan,11/19/98,1,6,Indianapolis Colts / 1st / 21st pick / 2021
14,Alec Pierce,22,WR,16,12,213,3-Jun,Cincinnati,5/2/00,Rook,4,Indianapolis Colts / 2nd / 53rd pick / 2022
63,Danny Pinter,26,G,17,3,306,4-Jun,Ball St.,6/19/96,2,2,Indianapolis Colts / 5th / 149th pick / 2020
