No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
93,Jonathan Allen,27,DT,16,16,300,6-3,Alabama,1/16/1995,5,12,Washington Redskins / 1st / 17th pick / 2017,AlleJo01
30,Troy Apke,27,CB,2,0,206,6-1,Penn St.,4/11/1995,4,0,Washington Redskins / 4th / 109th pick / 2018,ApkeTr00
40,Alex Armah,28,RB,2,0,255,6-2,West Georgia,5/17/1994,5,0,Carolina Panthers / 6th / 192nd pick / 2017,ArmaAl00
64,David Bada,27,DT,2,0,293,6-4,None,5/24/1995,Rook,0,,BadaDa00
87,John Bates,25,TE,16,7,259,6-6,Boise St.,11/6/1997,1,1,Washington Football Team / 4th / 124th pick / 2021,BateJo00
38,Reggie Bonnafon,26,RB,1,0,215,6-0,Louisville,1/4/1996,3,0,,BonnRe00
53,Jonathan Bostic,31,LB,15,5,245,6-1,Florida,5/5/1991,9,3,Chicago Bears / 2nd / 50th pick / 2013,BostJo00
56,William Bradley-King,25,DE,1,0,248,6-4,Baylor,12/22/1997,1,0,Washington Football Team / 7th / 240th pick / 2021,BradWi00
2,Dyami Brown,23,WR,15,0,195,6-0,North Carolina,11/1/1999,1,1,Washington Football Team / 3rd / 82nd pick / 2021,BrowDy00
35,Percy Butler,22,S,15,0,190,6-0,Louisiana,5/29/2000,Rook,1,Washington Commanders / 4th / 113th pick / 2022,ButlPe00
40,Tariq Castro-Fields,23,CB,2,0,194,6-0,Penn St.,1/14/1999,Rook,0,San Francisco 49ers / 6th / 221st pick / 2022,CastTa00
77,Saahdiq Charles,23,T,13,3,322,6-4,LSU,7/26/1999,2,2,Washington Football Team / 4th / 108th pick / 2020,CharSa00
54,Camaron Cheeseman,24,LS,17,0,237,6-4,Michigan,4/26/1998,1,1,Washington Football Team / 6th / 225th pick / 2021,CheeCa00
76,Samuel Cosmi,23,T,14,6,309,6-6,Texas,2/16/1999,1,3,Washington Football Team / 2nd / 51st pick / 2021,CosmSa00
31,Kamren Curl,23,S,12,12,198,6-2,Arkansas,3/3/1999,2,4,Washington Football Team / 7th / 216th pick / 2020,CurlKa00
52,Jamin Davis,24,LB,16,15,232,6-4,Kentucky,12/12/1998,1,8,Washington Football Team / 1st / 19th pick / 2021,DaviJa11
1,Jahan Dotson,22,WR,12,10,184,5-11,Penn St.,3/22/2000,Rook,4,Washington Commanders / 1st / 16th pick / 2022,DotsJa00
46,Milo Eifler,24,LB,10,0,228,6-1,WashingtonIllinois,2/13/1998,1,1,,EiflMi00
86,Alex Erickson,30,WR,2,0,195,6-0,Wisconsin,11/6/1992,6,0,,EricAl01
22,Darrick Forrest,23,S,17,11,200,6-0,Cincinnati,5/22/1999,1,5,Washington Football Team / 5th / 163rd pick / 2021,ForrDa00
29,Kendall Fuller,27,CB,17,17,198,5-11,Virginia Tech,2/13/1995,6,6,Washington Redskins / 3rd / 84th pick / 2016,FullKe00
50,Nathan Gerry,27,LB,4,0,230,6-2,Nebraska,2/23/1995,5,0,Philadelphia Eagles / 5th / 184th pick / 2017,GerrNa00
24,Antonio Gibson,24,RB,15,6,220,6-2,Memphis,6/23/1998,2,6,Washington Football Team / 3rd / 66th pick / 2020,GibsAn00
45,De'Jon Harris,25,LB,5,0,244,6-0,Arkansas,11/1/1997,2,0,,HarrDe10
4,Taylor Heinicke,29,QB,9,9,210,6-1,Old Dominion,3/15/1993,5,6,,HeinTa00
55,Cole Holcomb,26,LB,7,7,240,6-1,North Carolina,7/30/1996,3,3,Washington Redskins / 5th / 173rd pick / 2019,HolcCo00
34,Christian Holmes,25,CB,17,2,205,6-1,MissouriOklahoma St.,9/14/1997,Rook,2,Washington Commanders / 7th / 240th pick / 2022,HolmCh00
14,Sam Howell,22,QB,1,1,220,6-1,North Carolina,9/16/2000,Rook,1,Washington Commanders / 5th / 144th pick / 2022,HoweSa00
47,Khaleke Hudson,25,LB,13,1,220,6-0,Michigan,12/6/1997,2,1,Washington Football Team / 5th / 162nd pick / 2020,HudsKh00
23,William Jackson III,30,CB,4,4,189,6-0,HoustonTrinity Valley CC (TX),10/27/1992,5,1,Cincinnati Bengals / 1st / 24th pick / 2016,JackWi02
91,Donovan Jeter,24,DT,1,0,325,6-3,Michigan,12/7/1998,Rook,0,,JeteDo00
36,Danny Johnson,27,CB,11,4,190,5-9,Southern,11/17/1995,4,2,,JohnDa09
69,Tyler Larsen,31,C,9,8,335,6-4,Utah St.,7/8/1991,6,3,,LarsTy00
72,Charles Leno Jr.,31,T,17,17,302,6-3,Boise St.,10/9/1991,8,7,Chicago Bears / 7th / 246th pick / 2014,LenoCh00
78,Cornelius Lucas,31,T,16,12,327,6-8,Kansas St.,7/18/1991,8,5,,LucaCo01
60,Nick Martin,29,C,4,2,295,6-4,Notre Dame,4/29/1993,5,1,Houston Texans / 2nd / 50th pick / 2016,MartNi00
63,Wes Martin,26,G,6,0,315,6-3,Indiana,5/9/1996,3,0,Washington Redskins / 4th / 131st pick / 2019,MartWe00
98,Phidarian Mathis,24,DT,1,0,312,6-4,Alabama,4/26/1998,Rook,0,Washington Commanders / 2nd / 47th pick / 2022,MathPh00
51,David Mayo,29,LB,13,3,240,6-2,Texas St.,8/18/1993,7,2,Carolina Panthers / 5th / 169th pick / 2015,MayoDa00
20,Bobby McCain,29,S,17,16,196,5-9,Memphis,8/18/1993,7,5,Miami Dolphins / 5th / 145th pick / 2015,McCaBo01
83,Kyric McGowan,23,WR,2,0,198,5-11,NorthwesternGeorgia Tech,11/1/1999,Rook,0,,McGoKy00
23,J.D. McKissic,29,RB,8,0,195,5-10,Arkansas St.,8/15/1993,6,2,,McKiJ.00
17,Terry McLaurin,27,WR,17,17,210,6-0,Ohio St.,9/15/1995,3,9,Washington Redskins / 3rd / 76th pick / 2019,McLaTe00
15,Dax Milne,23,WR,15,1,190,6-0,BYU,6/23/1999,1,0,Washington Football Team / 7th / 258th pick / 2021,MilnDa00
68,Andrew Norwell,31,G,16,16,325,6-6,Ohio St.,10/25/1991,8,6,,NorwAn01
97,Efe Obada,30,DE,17,1,265,6-6,None,4/13/1992,4,2,,ObadEf00
32,Jaret Patterson,23,RB,3,0,195,5-8,Buffalo,12/23/1999,1,0,,PattJa01
75,Chris Paul,24,G,1,1,331,6-4,Tulsa,11/19/1998,Rook,0,Washington Commanders / 7th / 230th pick / 2022,PaulCh00
94,Daron Payne,25,DT,17,17,320,6-3,Alabama,5/27/1997,4,13,Washington Redskins / 1st / 13th pick / 2018,PaynDa00
79,Benning Potoa'e,26,DE,2,0,290,6-3,Washington,9/17/1996,2,0,,PotoBe00
39,Jeremy Reaves,26,S,17,3,205,5-11,South Alabama,8/29/1996,4,7,,ReavJe00
91,John Ridgeway,23,DT,15,4,320,6-6,Illinois St.Arkansas,5/7/1999,Rook,3,Dallas Cowboys / 5th / 178th pick / 2022,RidgJo00
8,Brian Robinson Jr.,23,RB,12,9,225,6-1,Alabama,3/22/1999,Rook,3,Washington Commanders / 3rd / 98th pick / 2022,RobiBr01
88,Armani Rogers,25,TE,11,3,225,6-5,UNLVOhio,12/4/1997,Rook,1,,RogeAr00
73,Chase Roullier,29,C,2,2,312,6-4,Wyoming,8/23/1993,5,1,Washington Redskins / 6th / 199th pick / 2017,RoulCh00
10,Curtis Samuel,26,WR,17,12,195,5-11,Ohio St.,8/11/1996,5,6,Carolina Panthers / 2nd / 40th pick / 2017,SamuCu00
71,Wes Schweitzer,29,OL,7,6,300,6-4,San Jose St.,9/11/1993,5,2,Atlanta Falcons / 6th / 195th pick / 2016,SchwWe00
11,Cam Sims,26,WR,17,3,220,6-5,Alabama,1/6/1996,4,1,,SimsCa00
3,Joey Slye,26,K,17,0,213,5-11,Virginia Tech,4/10/1996,3,2,,SlyeJo00
96,James Smith-Williams,25,DE,14,14,265,6-4,North Carolina St.,7/30/1997,2,7,Washington Football Team / 7th / 229th pick / 2020,SmitJa08
25,Benjamin St-Juste,25,CB,12,12,200,6-3,MichiganMinnesota,9/8/1997,1,4,Washington Football Team / 3rd / 74th pick / 2021,StJuBe00
90,Montez Sweat,26,DE,17,17,262,6-6,Michigan St.Copiah-Lincoln CCMississippi St.,9/4/1996,3,9,Washington Redskins / 1st / 26th pick / 2019,SweaMo00
82,Logan Thomas,31,TE,14,13,250,6-6,Virginia Tech,7/1/1991,8,2,Arizona Cardinals / 4th / 120th pick / 2014,ThomLo00
58,Shaka Toney,24,DE,16,0,238,6-2,Penn St.,1/7/1998,1,1,Washington Football Team / 7th / 246th pick / 2021,ToneSh00
95,Casey Toohill,26,DE,16,0,254,6-5,Stanford,8/22/1996,2,2,Philadelphia Eagles / 7th / 233rd pick / 2020,ToohCa00
85,Cole Turner,22,TE,10,2,240,6-6,Nevada,3/16/2000,Rook,0,Washington Commanders / 5th / 149th pick / 2022,TurnCo00
53,Trai Turner,29,G,16,12,315,6-3,LSU,6/14/1993,8,5,Carolina Panthers / 3rd / 92nd pick / 2014,TurnTr01
5,Tress Way,32,P,17,0,220,6-1,Oklahoma,4/18/1990,8,3,,WayxTr00
11,Carson Wentz,30,QB,8,7,237,6-5,North Dakota St.,12/30/1992,6,4,Philadelphia Eagles / 1st / 2nd pick / 2016,WentCa00
37,Rachad Wildgoose,22,CB,15,3,197,5-11,Wisconsin,1/1/2000,1,2,Buffalo Bills / 6th / 213th pick / 2021,WildRa00
35,Jonathan Williams,28,RB,13,2,217,6-0,Arkansas,2/2/1994,6,1,Buffalo Bills / 5th / 156th pick / 2016,WillJo07
92,Daniel Wise,26,DT,11,1,279,6-3,Kansas,1/16/1996,1,1,,WiseDa01
99,Chase Young,23,DE,3,2,264,6-5,Ohio St.,4/14/1999,2,1,Washington Football Team / 1st / 2nd pick / 2020,YounCh04
,Team Total,26.1,,17,,245.1,6-2.2,,,3.1,,,-9999
