No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
34,Mackensie Alexander,29,CB,1,1,192,10-May,Clemson,11/12/93,6,0,Minnesota Vikings / 2nd / 54th pick / 2016
5,Bryan Anger,34,P,17,0,202,3-Jun,California,10/6/88,10,3,Jacksonville Jaguars / 3rd / 70th pick / 2012
92,Dorance Armstrong Jr.,25,DE,17,5,255,4-Jun,Kansas,6/10/97,4,5,Dallas Cowboys / 4th / 116th pick / 2018
75,Josh Ball,24,T,13,0,304,8-Jun,"Butler (KS),Marshall",5/15/98,Rook,1,Dallas Cowboys / 4th / 138th pick / 2021
42,Anthony Barr,30,LB,14,10,257,5-Jun,UCLA,3/18/92,8,6,Minnesota Vikings / 1st / 9th pick / 2014
93,Tarell Basham,28,DE,2,0,266,4-Jun,Ohio,3/18/94,5,0,Indianapolis Colts / 3rd / 80th pick / 2017
41,Markquese Bell,23,S,5,0,205,,Florida A&M,1/6/99,Rook,0,
63,Tyler Biadasz,25,C,16,16,316,3-Jun,Wisconsin,11/20/97,2,9,Dallas Cowboys / 4th / 146th pick / 2020
26,DaRon Bland,23,CB,17,8,197,Jun-00,"Sacramento St.,Fresno St.",7/12/99,Rook,4,Dallas Cowboys / 5th / 167th pick / 2022
98,Quinton Bohanna,23,DT,13,9,338,4-Jun,Kentucky,3/16/99,1,4,Dallas Cowboys / 6th / 192nd pick / 2021
3,Anthony Brown,29,CB,12,12,196,11-May,Purdue,12/15/93,6,4,Dallas Cowboys / 6th / 189th pick / 2016
85,Noah Brown,26,WR,16,13,225,2-Jun,Ohio St.,1/6/96,5,6,Dallas Cowboys / 7th / 239th pick / 2017
33,Damone Clark,22,LB,10,5,245,3-Jun,LSU,6/28/00,Rook,3,Dallas Cowboys / 5th / 176th pick / 2022
76,Aviante Collins,29,T,2,0,292,4-Jun,TCU,4/21/93,5,0,
14,Jabril Cox,24,LB,9,0,233,3-Jun,"North Dakota St.,LSU",4/16/98,1,1,Dallas Cowboys / 4th / 115th pick / 2021
31,Tyler Coyle,24,S,1,0,215,2-Jun,Purdue,11/15/98,1,0,
34,Malik Davis,24,RB,12,0,207,10-May,Florida,11/26/98,Rook,2,
7,Trevon Diggs,24,CB,17,17,195,1-Jun,Alabama,9/20/98,2,9,Dallas Cowboys / 2nd / 51st pick / 2020
23,Rico Dowdle,24,RB,5,0,215,Jun-00,South Carolina,6/14/98,2,0,
21,Ezekiel Elliott,27,RB,15,14,228,Jun-00,Ohio St.,7/22/95,6,6,Dallas Cowboys / 1st / 4th pick / 2016
68,Matt Farniok,25,G,7,2,311,5-Jun,Nebraska,9/26/97,1,1,Dallas Cowboys / 7th / 238th pick / 2021
81,Simi Fehoko,25,WR,5,0,220,3-Jun,Stanford,11/5/97,1,0,Dallas Cowboys / 5th / 179th pick / 2021
48,Jake Ferguson,23,TE,16,8,244,5-Jun,Wisconsin,1/18/99,Rook,2,Dallas Cowboys / 4th / 129th pick / 2022
56,Dante Fowler,28,DE,17,0,255,3-Jun,Florida,8/3/94,6,2,Jacksonville Jaguars / 1st / 3rd pick / 2015
