No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
37,DeAundre Alford,25,CB,16,0,175,5-11,Tusculum,11/5/1997,Rook,1,,AlfoDe00
80,Josh Ali,23,WR,2,0,193,6-0,Kentucky,3/3/1999,Rook,0,,AlixJo00
25,Tyler Allgeier,22,RB,16,7,220,5-11,BYU,4/15/2000,Rook,8,Atlanta Falcons / 5th / 151st pick / 2022,AllgTy00
44,Troy Andersen,23,LB,17,5,235,6-4,Montana St.,4/23/1999,Rook,3,Atlanta Falcons / 2nd / 58th pick / 2022,AndeTr00
98,Abdullah Anderson,26,DL,16,8,297,6-3,Bucknell,1/24/1996,3,4,,AndeAb00
22,Cornell Armstrong,27,DB,9,4,185,6-0,Southern Miss,9/22/1995,4,1,Miami Dolphins / 6th / 209th pick / 2018,ArmsCo00
56,Quinton Bell,26,OLB,4,0,253,6-4,Prairie View A&M,5/9/1996,2,0,Oakland Raiders / 7th / 230th pick / 2019,BellQu00
83,Jared Bernhardt,25,WR,2,0,195,6-1,MarylandFerris St.,9/12/1997,Rook,0,,BernJa00
14,Damiere Byrd,29,WR,14,4,175,5-9,South Carolina,1/27/1993,6,3,,ByrdDa00
9,Lorenzo Carter,27,OLB,17,17,255,6-5,Georgia,12/10/1995,4,8,New York Giants / 3rd / 66th pick / 2018,CartLo01
67,Drew Dalman,24,OL,17,17,300,6-3,Stanford,10/15/1998,1,7,Atlanta Falcons / 4th / 114th pick / 2021,DalmDr00
79,Jalen Dalton,25,DT,7,0,288,6-5,North Carolina,8/4/1997,Rook,0,,DaltJa00
88,Frank Darby,25,WR,5,0,200,6-1,Arizona St.,9/8/1997,1,0,Atlanta Falcons / 6th / 187th pick / 2021,DarbFr00
91,Matt Dickerson,27,DE,6,0,292,6-5,UCLA,11/9/1995,4,0,,DickMa00
47,Arnold Ebiketie,23,OLB,16,1,256,6-3,TemplePenn St.,1/23/1999,Rook,2,Atlanta Falcons / 2nd / 38th pick / 2022,EbikAr00
71,Chuma Edoga,25,T,2,1,308,6-3,USC,5/25/1997,3,1,New York Jets / 3rd / 92nd pick / 2019,EdogCh00
89,Bryan Edwards,24,WR,7,1,212,6-3,South Carolina,11/13/1998,2,0,Las Vegas Raiders / 3rd / 81st pick / 2020,EdwaBr01
54,Rashaan Evans,27,LB,17,17,232,6-2,Alabama,11/8/1995,4,7,Tennessee Titans / 1st / 22nd pick / 2018,EvanRa01
21,Rashad Fenton,25,DB,2,1,188,5-11,South Carolina,2/17/1997,3,0,Kansas City Chiefs / 6th / 201st pick / 2019,FentRa00
86,Anthony Firkser,27,TE,11,1,246,6-2,Harvard,2/19/1995,4,1,,FirkAn00
28,Mike Ford,27,CB,17,2,194,6-0,SE Missouri St.,8/4/1995,4,1,,FordMi01
15,Feleipe Franks,25,TE,11,1,234,6-6,FloridaArkansas,12/22/1997,1,0,,FranFe00
66,Colby Gossett,27,OL,17,4,311,6-5,Appalachian St.,6/23/1995,4,2,Minnesota Vikings / 6th / 213th pick / 2018,GossCo00
95,Ta'Quon Graham,24,DL,11,9,294,6-4,Texas,12/1/1998,1,4,Atlanta Falcons / 5th / 148th pick / 2021,GrahTa00
27,Richie Grant,25,S,17,17,200,6-0,Central Florida,11/9/1997,1,6,Atlanta Falcons / 2nd / 40th pick / 2021,GranRi00
34,Darren Hall,22,CB,17,9,190,6-0,San Diego St.,5/2/2000,1,3,Atlanta Falcons / 4th / 108th pick / 2021,HallDa03
23,Erik Harris,32,S,14,1,225,6-2,California (PA),4/2/1990,6,1,,HarrEr00
32,Jaylinn Hawkins,25,S,16,16,208,6-1,California,8/25/1997,2,6,Atlanta Falcons / 4th / 134th pick / 2020,HawkJa00
29,Casey Hayward,33,CB,6,6,192,5-11,Vanderbilt,9/9/1989,10,2,Green Bay Packers / 2nd / 62nd pick / 2012,HaywCa00
61,Matt Hennessy,25,OL,11,3,307,6-3,Temple,11/17/1997,2,2,Atlanta Falcons / 3rd / 78th pick / 2020,HennMa00
46,Parker Hesse,27,TE,17,7,261,6-3,Iowa,5/26/1995,1,1,,HessPa00
12,KhaDarel Hodge,27,WR,17,1,183,5-11,Prairie View A&M,1/3/1995,4,2,,HodgKh00
93,Timmy Horne,25,DL,17,5,323,6-4,CharlotteKansas St.,10/25/1997,Rook,3,,HornTi00
42,Caleb Huntley,24,RB,12,0,229,5-10,Ball St.,9/15/1998,Rook,2,,HuntCa02
74,Germain Ifedi,28,OL,17,0,344,6-5,Texas A&M,6/2/1994,6,1,Seattle Seahawks / 1st / 31st pick / 2016,IfedGe00
97,Grady Jarrett,29,DL,17,17,305,6-0,Clemson,4/28/1993,7,7,Atlanta Falcons / 5th / 137th pick / 2015,JarrGr00
79,Jaleel Johnson,28,DT,6,0,316,6-3,Iowa,7/12/1994,5,0,Minnesota Vikings / 4th / 109th pick / 2017,JohnJa09
7,Younghoe Koo,28,K,17,0,185,5-9,Georgia Southern,8/3/1994,5,4,,KooxYo00
53,Nick Kwiatkoski,29,LB,12,0,242,6-2,West Virginia,5/26/1993,6,1,Chicago Bears / 4th / 113th pick / 2016,KwiaNi00
55,Nathan Landman,24,LB,7,0,235,6-3,Colorado,11/19/1998,Rook,0,,LandNa01
63,Chris Lindstrom,25,G,17,17,307,6-3,Boston Col.,2/28/1997,3,11,Atlanta Falcons / 1st / 14th pick / 2019,LindCh00
5,Drake London,21,WR,17,15,213,6-4,USC,7/24/2001,Rook,9,Atlanta Falcons / 1st / 8th pick / 2022,LondDr00
51,DeAngelo Malone,23,OLB,15,0,240,6-4,Western Kentucky,7/12/1999,Rook,1,Atlanta Falcons / 3rd / 82nd pick / 2022,MaloDe00
1,Marcus Mariota,29,QB,13,13,222,6-4,Oregon,10/30/1993,7,11,Tennessee Titans / 1st / 2nd pick / 2015,MariMa01
21,Dean Marlowe,30,FS,8,1,203,6-1,James Madison,7/25/1992,7,1,,MarlDe00
