No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
77,Jack Anderson,24,G,12,2,315,6-5,Texas Tech,10/12/1998,1,1,Buffalo Bills / 7th / 236th pick / 2021,AndeJa01
90,Ryder Anderson,24,DL,7,2,276,6-6,MississippiIndiana,10/15/1998,Rook,1,,AndeRy01
26,Saquon Barkley,25,RB,16,16,232,6-0,Penn St.,2/9/1997,4,11,New York Giants / 1st / 2nd pick / 2018,BarkSa00
45,Daniel Bellinger,22,TE,12,11,255,6-6,San Diego St.,9/22/2000,Rook,3,New York Giants / 4th / 112th pick / 2022,BellDa00
24,Dane Belton,22,S,15,5,205,6-1,Iowa,12/7/2000,Rook,3,New York Giants / 4th / 114th pick / 2022,BeltDa00
68,Ben Bredeson,24,G,11,8,315,6-5,Michigan,2/20/1998,2,3,Baltimore Ravens / 4th / 143rd pick / 2020,BredBe00
31,Matt Breida,27,RB,17,1,195,5-10,Georgia Southern,2/28/1995,5,3,,BreiMa00
23,Gary Brightwell,23,RB,17,0,220,6-1,Arizona,2/28/1999,1,1,New York Giants / 6th / 196th pick / 2021,BrigGa00
47,Cam Brown,24,LB,17,0,233,6-5,Penn St.,4/1/1998,2,1,New York Giants / 6th / 183rd pick / 2020,BrowCa01
34,Terrell Burgess,24,DB,1,0,202,5-11,Utah,11/12/1998,2,0,Los Angeles Rams / 3rd / 104th pick / 2020,BurgTe00
91,Vernon Butler,28,DL,1,0,330,6-4,Louisiana Tech,6/14/1994,6,0,Carolina Panthers / 1st / 30th pick / 2016,ButlVe00
83,Lawrence Cager,25,TE,6,3,220,6-5,Georgia,8/20/1997,2,1,,CageLa01
59,Austin Calitro,28,LB,5,2,240,6-0,Villanova,1/10/1994,4,1,,CaliAu00
21,Landon Collins,28,S,6,1,218,6-0,Alabama,1/10/1994,7,1,New York Giants / 2nd / 33rd pick / 2015,CollLa00
52,Carter Coughlin,25,LB,17,0,236,6-3,Minnesota,7/21/1997,2,1,New York Giants / 7th / 218th pick / 2020,CougCa00
48,Tae Crowder,25,LB,13,8,235,6-3,Georgia,3/12/1997,2,4,New York Giants / 7th / 255th pick / 2020,CrowTa00
70,Korey Cunningham,27,T,1,0,305,6-6,Cincinnati,5/17/1995,4,0,Arizona Cardinals / 7th / 254th pick / 2018,CunnKo00
98,D.J. Davidson,25,DL,5,0,320,6-3,Arizona St.,9/19/1997,Rook,0,New York Giants / 5th / 147th pick / 2022,DaviDJ00
57,Jarrad Davis,28,LB,1,1,245,6-1,Florida,11/16/1994,5,0,Detroit Lions / 1st / 21st pick / 2017,DaviJa01
67,Wyatt Davis,23,G,1,0,315,6-4,Ohio St.,2/17/1999,1,0,Minnesota Vikings / 3rd / 86th pick / 2021,DaviWy00
71,Justin Ellis,32,DL,17,4,350,6-2,Louisiana Tech,12/27/1990,8,3,Oakland Raiders / 4th / 107th pick / 2014,ElliJu01
75,Joshua Ezeudu,23,OL,10,2,325,6-4,North Carolina,9/19/1999,Rook,1,New York Giants / 3rd / 67th pick / 2022,EzeuJo00
76,Jon Feliciano,30,C,15,15,325,6-4,Miami (FL),2/10/1992,7,6,Oakland Raiders / 4th / 128th pick / 2015,FeliJo00
28,Cordale Flott,21,DB,11,6,165,6-1,LSU,8/24/2001,Rook,2,New York Giants / 3rd / 81st pick / 2022,FlotCo00
