No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
39,Jamal Agnew,27,WR,15,0,190,10-May,San Diego,4/3/95,5,2,Detroit Lions / 5th / 165th pick / 2017
41,Josh Allen,25,OLB,17,17,262,5-Jun,Kentucky,7/13/97,3,8,Jacksonville Jaguars / 1st / 7th pick / 2019
85,Dan Arnold,27,TE,17,0,240,6-Jun,Wisconsin–Platteville,3/15/95,4,1,
78,Ben Bartch,24,OL,5,5,309,6-Jun,Saint John's (MN),7/22/98,2,2,Jacksonville Jaguars / 4th / 116th pick / 2020
3,C.J. Beathard,29,QB,4,0,215,2-Jun,Iowa,11/16/93,5,0,San Francisco 49ers / 3rd / 104th pick / 2017
30,Montaric Brown,23,CB,8,1,195,Jun-00,Arkansas,8/24/99,Rook,1,Jacksonville Jaguars / 7th / 222nd pick / 2022
29,Tevaughn Campbell,29,CB,5,0,200,Jun-00,Regina,6/14/93,2,0,
32,Tyson Campbell,22,CB,17,17,195,1-Jun,Georgia,3/17/00,1,7,Jacksonville Jaguars / 2nd / 33rd pick / 2021
45,K'Lavon Chaisson,23,OLB,9,0,254,3-Jun,LSU,7/25/99,2,1,Jacksonville Jaguars / 1st / 20th pick / 2020
38,Andre Cisco,22,S,15,15,209,Jun-00,Syracuse,3/23/00,1,6,Jacksonville Jaguars / 3rd / 65th pick / 2021
27,Chris Claybrooks,25,CB,17,0,179,9-May,Memphis,7/17/97,2,1,Jacksonville Jaguars / 7th / 223rd pick / 2020
24,Snoop Conner,22,RB,8,0,215,10-May,Mississippi,8/1/00,Rook,0,Jacksonville Jaguars / 5th / 154th pick / 2022
9,Logan Cooke,27,P,17,0,230,5-Jun,Mississippi St.,7/28/95,4,3,Jacksonville Jaguars / 7th / 247th pick / 2018
64,Coy Cronk,24,T,3,0,318,4-Jun,"Indiana,Iowa",1/18/98,Rook,0,
47,De'Shaan Dixon,24,OLB,3,0,260,5-Jun,Norfolk St.,12/16/98,Rook,0,
17,Evan Engram,28,TE,17,14,240,3-Jun,Mississippi,9/2/94,5,7,New York Giants / 1st / 23rd pick / 2017
1,Travis Etienne,23,RB,17,12,210,10-May,Clemson,1/26/99,Rook,11,Jacksonville Jaguars / 1st / 25th pick / 2021
89,Luke Farrell,25,TE,17,0,258,5-Jun,Ohio St.,10/14/97,1,0,Jacksonville Jaguars / 5th / 145th pick / 2021
94,Folorunso Fatukasi,27,DL,14,13,318,4-Jun,Connecticut,3/4/95,4,5,New York Jets / 6th / 180th pick / 2018
79,Luke Fortner,24,OL,17,17,300,6-Jun,Kentucky,5/15/98,Rook,8,Jacksonville Jaguars / 3rd / 65th pick / 2022
27,Tyree Gillespie,24,S,3,0,207,Jun-00,Missouri,9/5/98,1,0,Las Vegas Raiders / 4th / 143rd pick / 2021
96,Adam Gotsis,30,DL,15,1,287,4-Jun,Georgia Tech,9/23/92,6,2,Denver Broncos / 2nd / 63rd pick / 2016
26,Shaquill Griffin,27,CB,5,5,198,Jun-00,Central Florida,7/20/95,5,2,Seattle Seahawks / 3rd / 90th pick / 2017
52,DaVon Hamilton,25,DT,17,14,320,4-Jun,Ohio St.,2/1/97,2,6,Jacksonville Jaguars / 3rd / 73rd pick / 2020
73,Blake Hance,26,OL,9,0,310,6-Jun,Northwestern,1/11/96,1,1,
22,Jamycal Hasty,26,RB,17,0,205,8-May,Baylor,9/12/96,2,2,
37,Tre Herndon,26,CB,15,1,185,11-May,Vanderbilt,3/5/96,4,1,
