No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
22,Tony Adams,23,S,11,1,203,6-2,Illinois,1/24/1999,Rook,1,,AdamTo03
9,Kwon Alexander,28,LB,17,12,227,6-1,LSU,8/3/1994,7,6,Tampa Bay Buccaneers / 4th / 124th pick / 2015,AlexKw00
10,Braxton Berrios,27,WR,17,2,190,5-9,Miami (FL),10/6/1995,3,1,New England Patriots / 6th / 210th pick / 2018,BerrBr00
71,Duane Brown,37,T,12,12,315,6-4,Virginia Tech,8/30/1985,14,5,Houston Texans / 1st / 26th pick / 2008,BrowDu20
81,Lawrence Cager,25,TE,1,1,220,6-5,Georgia,8/20/1997,2,0,,CageLa01
30,Michael Carter,23,CB,17,6,184,5-10,Duke,3/8/1999,1,3,New York Jets / 5th / 154th pick / 2021,CartMi02
32,Michael Carter,23,RB,16,10,201,5-8,North Carolina,5/7/1999,1,4,New York Jets / 4th / 107th pick / 2021,CartMi03
72,Micheal Clemons,25,DT,16,0,270,6-5,Cisco (TX)Texas A&M,8/21/1997,Rook,1,New York Jets / 4th / 117th pick / 2022,ClemMi03
83,Tyler Conklin,27,TE,17,16,248,6-3,Central Michigan,7/30/1995,4,4,Minnesota Vikings / 5th / 157th pick / 2018,ConkTy00
99,Vinny Curry,34,DE,11,0,279,6-3,Marshall,6/30/1988,10,1,Philadelphia Eagles / 2nd / 59th pick / 2012,CurrVi00
21,Ashtyn Davis,26,S,14,0,200,6-1,California,10/10/1996,2,1,New York Jets / 3rd / 68th pick / 2020,DaviAs00
84,Corey Davis,27,WR,13,10,209,6-3,Western Michigan,1/11/1995,5,4,Tennessee Titans / 1st / 5th pick / 2017,DaviCo03
66,Laurent Duvernay-Tardif,31,OL,5,1,321,6-5,McGill,2/11/1991,7,1,Kansas City Chiefs / 6th / 200th pick / 2014,DuveLa00
26,Brandin Echols,25,CB,13,0,175,5-10,Northwest Mississippi CCKentucky,10/16/1997,1,1,New York Jets / 6th / 200th pick / 2021,EchoBr00
76,George Fant,30,T,8,7,322,6-5,Western Kentucky,7/19/1992,6,3,,FantGe00
67,Dan Feeney,28,OL,17,2,310,6-4,Indiana,5/29/1994,5,2,Los Angeles Chargers / 3rd / 71st pick / 2017,FeenDa00
19,Joe Flacco,37,QB,5,4,245,6-6,PittsburghDelaware,1/16/1985,14,1,Baltimore Ravens / 1st / 18th pick / 2008,FlacJo00
91,John Franklin-Myers,26,DT,17,17,288,6-4,S.F. Austin,9/26/1996,4,8,Los Angeles Rams / 4th / 135th pick / 2018,FranJo02
1,Sauce Gardner,22,CB,17,17,200,6-3,Cincinnati,8/31/2000,Rook,14,New York Jets / 1st / 4th pick / 2022,GardSa00
20,Breece Hall,21,RB,7,2,220,6-1,Iowa St.,5/31/2001,Rook,4,New York Jets / 2nd / 36th pick / 2022,HallBr03
37,Bryce Hall,25,CB,5,0,202,6-1,Virginia,5/11/1997,2,0,New York Jets / 5th / 158th pick / 2020,HallBr02
34,Justin Hardee,28,CB,17,0,200,6-1,Illinois,2/7/1994,5,4,,HardJu01
36,Marcell Harris,28,LB,11,0,215,6-0,Florida,6/9/1994,4,1,San Francisco 49ers / 6th / 184th pick / 2018,HarrMa03
42,Thomas Hennessy,28,LS,17,0,246,6-2,Duke,6/11/1994,5,1,,HennTh00
65,Nate Herbig,24,OL,11,11,334,6-4,Stanford,7/10/1998,3,4,,HerbNa01
63,Grant Hermanns,24,OL,2,0,305,6-7,Purdue,3/5/1998,Rook,0,,HermGr00
47,Bryce Huff,24,DL,14,0,255,6-3,Memphis,4/17/1998,2,1,,HuffBr00
52,Jermaine Johnson II,23,DE,14,0,260,6-5,Independence (KS)GeorgiaFlorida St.,1/8/1999,Rook,1,New York Jets / 1st / 26th pick / 2022,JohnJe07
25,Ty Johnson,25,RB,17,1,210,5-10,Maryland,9/17/1997,3,1,Detroit Lions / 6th / 186th pick / 2019,JohnTy02
29,Lamarcus Joyner,32,S,14,14,185,5-8,Florida St.,11/27/1990,8,5,St. Louis Rams / 2nd / 41st pick / 2014,JoynLa00
27,Zonovan Knight,21,RB,7,4,210,,North Carolina St.,4/11/2001,Rook,2,,KnigZo00
58,Carl Lawson,27,DE,17,17,265,6-2,Auburn,6/29/1995,5,8,Cincinnati Bengals / 4th / 116th pick / 2017,LawsCa00
7,Braden Mann,25,P,17,0,198,5-11,Texas A&M,11/24/1997,2,3,New York Jets / 6th / 191st pick / 2020,MannBr01
54,Jacob Martin,27,DE,8,0,242,6-2,Temple,12/11/1995,4,1,Seattle Seahawks / 6th / 186th pick / 2018,MartJa02
69,Conor McDermott,30,OL,7,0,305,6-8,UCLA,10/19/1992,5,0,New England Patriots / 6th / 211th pick / 2017,McDeCo00
60,Connor McGovern,29,C,17,17,306,6-4,Missouri,4/27/1993,5,6,Denver Broncos / 5th / 144th pick / 2016,McGoCo00
11,Denzel Mims,25,WR,10,4,207,6-3,Baylor,10/10/1997,2,1,New York Jets / 2nd / 59th pick / 2020,MimsDe00
61,Max Mitchell,23,OL,6,5,297,6-6,Louisiana,10/12/1999,Rook,2,New York Jets / 4th / 111th pick / 2022,MitcMa02
8,Elijah Moore,22,WR,16,9,178,5-10,Mississippi,3/27/2000,1,3,New York Jets / 2nd / 34th pick / 2021,MoorEl00
57,C.J. Mosley,30,LB,17,17,250,6-2,Alabama,6/19/1992,8,13,Baltimore Ravens / 1st / 17th pick / 2014,MoslC.00
45,Hamsah Nasirildeen,23,LB,7,0,215,6-3,Florida St.,1/17/1999,1,1,New York Jets / 6th / 186th pick / 2021,NasiHa00
70,Cedric Ogbuehi,30,OL,7,5,310,6-5,Texas A&M,4/25/1992,7,2,Cincinnati Bengals / 1st / 21st pick / 2015,OgbuCe00
39,Will Parks,28,S,14,3,194,6-1,Arizona,7/29/1994,6,1,Denver Broncos / 6th / 219th pick / 2016,ParkWi01
98,Sheldon Rankins,28,DT,15,15,305,6-2,Louisville,4/2/1994,6,7,New Orleans Saints / 1st / 12th pick / 2016,RankSh00
4,D.J. Reed,26,CB,17,17,193,5-9,Kansas St.,11/11/1996,4,5,San Francisco 49ers / 5th / 142nd pick / 2018,ReedD.00
68,Mike Remmers,33,OL,8,1,301,6-5,Oregon St.,4/11/1989,9,1,,RemmMi00
23,James Robinson,24,RB,4,0,219,5-9,Butler (KS)Illinois St.,8/9/1998,2,0,,RobiJa00
89,Jeremy Ruckert,22,TE,9,0,250,6-5,Ohio St.,8/11/2000,Rook,0,New York Jets / 3rd / 101st pick / 2022,RuckJe00
97,Nathan Shepherd,29,DT,17,3,315,6-4,Fort Hays St.,10/9/1993,4,2,New York Jets / 3rd / 72nd pick / 2018,ShepNa00
44,Jamien Sherwood,22,LB,17,0,216,6-2,Auburn,1/12/2000,1,1,New York Jets / 5th / 146th pick / 2021,SherJa00
79,Tanzel Smart,28,DT,3,0,295,6-1,Tulane,11/6/1994,5,0,Los Angeles Rams / 6th / 189th pick / 2017,SmarTa00
16,Jeff Smith,25,WR,11,0,195,6-1,Boston Col.,4/21/1997,3,1,,SmitJe03
15,Chris Streveler,27,QB,2,1,216,6-1,MinnesotaSouth Dakota,1/6/1995,2,0,,StreCh00
55,Chazz Surratt,25,LB,1,0,233,6-2,North Carolina,2/16/1997,1,0,Minnesota Vikings / 3rd / 78th pick / 2021,SurrCh00
94,Solomon Thomas,27,DE,17,0,256,6-3,Stanford,8/26/1995,5,1,San Francisco 49ers / 1st / 3rd pick / 2017,ThomSo00
78,Laken Tomlinson,30,G,17,17,315,6-3,Duke,2/9/1992,7,6,Detroit Lions / 1st / 28th pick / 2015,TomlLa01
87,C.J. Uzomah,29,TE,15,13,260,6-6,Auburn,1/14/1993,7,2,Cincinnati Bengals / 5th / 157th pick / 2015,UzomC.00
75,Alijah Vera-Tucker,23,G,7,7,308,6-5,USC,6/17/1999,1,2,New York Jets / 1st / 14th pick / 2021,VeraAl00
5,Mike White,27,QB,4,4,218,6-5,South FloridaWestern Kentucky,3/25/1995,1,3,Dallas Cowboys / 5th / 171st pick / 2018,WhitMi01
3,Jordan Whitehead,25,S,17,17,198,5-10,Pittsburgh,3/18/1997,4,6,Tampa Bay Buccaneers / 4th / 117th pick / 2018,WhitJo03
56,Quincy Williams,26,LB,15,15,225,5-11,Murray St.,8/28/1996,3,7,Jacksonville Jaguars / 3rd / 98th pick / 2019,WillQu01
95,Quinnen Williams,25,DT,16,16,303,6-3,Alabama,12/5/1997,3,17,New York Jets / 1st / 3rd pick / 2019,WillQu00
17,Garrett Wilson,22,WR,17,12,192,6-0,Ohio St.,7/22/2000,Rook,8,New York Jets / 1st / 10th pick / 2022,WilsGa00
2,Zach Wilson,23,QB,9,9,214,6-2,BYU,8/3/1999,1,4,New York Jets / 1st / 2nd pick / 2021,WilsZa00
83,Kenny Yeboah,24,TE,10,0,240,6-4,TempleMississippi,10/30/1998,1,0,,YeboKe00
14,Greg Zuerlein,35,K,17,0,191,6-0,Missouri Western St.,12/27/1987,10,3,St. Louis Rams / 6th / 171st pick / 2012,ZuerGr00
,Team Total,26.5,,17,,243.5,6-2.0,,,3.7,,,-9999
