No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
15,Maurice Alexander,25,WR,4,0,180,11-May,Florida International,1/10/97,Rook,0,
34,Alex Anzalone,28,LB,17,17,237,3-Jun,Florida,9/22/94,5,7,New Orleans Saints / 3rd / 76th pick / 2017
74,Kayode Awosika,24,G,10,2,315,3-Jun,Buffalo,10/27/98,1,2,
17,Michael Badgley,27,K,12,0,183,10-May,Miami (FL),7/28/95,4,2,
55,Derrick Barnes,23,LB,15,4,238,Jun-00,Purdue,5/29/99,1,2,Detroit Lions / 4th / 113th pick / 2021
17,Trinity Benson,25,WR,1,0,180,Jun-00,East Central (OK),1/16/97,1,0,
83,Stanley Berryhill,24,WR,4,0,182,9-May,Arizona,6/9/98,Rook,0,
49,Chris Board,27,LB,17,1,229,2-Jun,North Dakota St.,7/23/95,4,1,
15,Brady Breeze,25,S,2,0,198,Jun-00,Oregon,10/9/97,1,0,Tennessee Titans / 6th / 215th pick / 2021
90,Michael Brockers,32,DL,6,5,297,5-Jun,LSU,12/21/90,10,2,St. Louis Rams / 1st / 14th pick / 2012
63,Evan Brown,26,OL,14,12,320,3-Jun,SMU,9/16/96,3,6,
2,Austin Bryant,26,DL,9,0,260,5-Jun,Clemson,11/12/96,3,1,Detroit Lions / 4th / 117th pick / 2019
96,Isaiah Buggs,26,DL,17,13,335,3-Jun,"Mississippi Gulf Coast CC,Alabama",8/24/96,3,5,Pittsburgh Steelers / 6th / 192nd pick / 2019
45,Jason Cabinda,26,FB,8,2,240,1-Jun,Penn St.,3/17/96,4,0,
87,Quintez Cephus,24,WR,4,1,208,1-Jun,Wisconsin,4/1/98,2,0,Detroit Lions / 5th / 166th pick / 2020
4,DJ Chark,26,WR,11,10,198,4-Jun,LSU,9/23/96,4,5,Jacksonville Jaguars / 2nd / 61st pick / 2018
79,John Cominsky,27,DL,14,8,285,5-Jun,Charleston (WV),11/22/95,3,4,Atlanta Falcons / 4th / 135th pick / 2019
47,Scott Daly,28,LS,17,0,245,1-Jun,Notre Dame,2/7/94,1,1,
40,Jarrad Davis,28,LB,3,0,245,1-Jun,Florida,11/16/94,5,0,Detroit Lions / 1st / 21st pick / 2017
68,Taylor Decker,29,T,17,17,318,7-Jun,Ohio St.,8/23/93,6,10,Detroit Lions / 1st / 16th pick / 2016
17,Dominik Eberle,26,K,1,0,190,2-Jun,Utah St.,7/4/96,1,0,
5,DeShon Elliott,25,S,14,13,210,1-Jun,Texas,4/21/97,3,4,Baltimore Ravens / 6th / 190th pick / 2018
76,Drew Forbes,25,T,1,0,305,5-Jun,SE Missouri St.,1/18/97,3,0,Cleveland Browns / 6th / 189th pick / 2019
3,Jack Fox,26,P,17,0,215,2-Jun,Rice,9/1/96,2,2,
16,Jared Goff,28,QB,17,17,217,4-Jun,California,10/14/94,6,16,Los Angeles Rams / 1st / 1st pick / 2016
86,Garrett Griffin,28,TE,1,0,240,4-Jun,Air Force,3/4/94,5,0,
53,Charles Harris,27,DL,6,4,252,3-Jun,Missouri,3/6/95,5,2,Miami Dolphins / 1st / 22nd pick / 2017
25,Will Harris,27,CB,15,10,206,1-Jun,Boston Col.,12/19/95,3,3,Detroit Lions / 3rd / 81st pick / 2019
88,T.J. Hockenson,25,TE,7,7,248,5-Jun,Iowa,7/3/97,3,4,Detroit Lions / 1st / 8th pick / 2019
59,James Houston,24,LB,7,2,245,1-Jun,"Florida,Jackson St.",11/16/98,Rook,2,Detroit Lions / 6th / 217th pick / 2022
33,Juju Hughes,24,S,7,1,188,11-May,Fresno St.,7/19/98,2,1,
23,Mike Hughes,25,CB,16,6,186,10-May,"North Carolina,Central Florida",2/11/97,4,2,Minnesota Vikings / 1st / 30th pick / 2018
97,Aidan Hutchinson,22,DL,17,17,265,7-Jun,Michigan,8/9/00,Rook,8,Detroit Lions / 1st / 2nd pick / 2022
73,Jonah Jackson,25,G,13,13,308,4-Jun,"Rutgers,Ohio St.",2/5/97,2,7,Detroit Lions / 3rd / 75th pick / 2020
42,Justin Jackson,26,RB,16,0,200,Jun-00,Northwestern,4/22/96,4,2,Los Angeles Chargers / 7th / 251st pick / 2018
39,Jerry Jacobs,25,CB,12,8,203,11-May,"Hutchinson (KS),Arkansas",9/26/97,1,3,
94,Benito Jones,25,DL,17,0,329,1-Jun,Mississippi,11/27/97,2,1,
31,Kerby Joseph,22,S,17,14,190,1-Jun,Illinois,11/14/00,Rook,5,Detroit Lions / 3rd / 97th pick / 2022
85,Tom Kennedy,26,WR,7,1,195,10-May,Bryant,7/29/96,3,1,
36,Chase Lucas,25,CB,6,0,185,Jun-00,Arizona St.,3/4/97,Rook,0,Detroit Lions / 7th / 237th pick / 2022
54,Alim McNeill,22,DL,17,17,330,2-Jun,North Carolina St.,5/11/00,1,6,Detroit Lions / 3rd / 72nd pick / 2021
26,Ifeatu Melifonwu,23,S,10,1,210,3-Jun,Syracuse,5/2/99,1,1,Detroit Lions / 3rd / 101st pick / 2021
82,James Mitchell,23,TE,14,0,255,3-Jun,Virginia Tech,8/11/99,Rook,1,Detroit Lions / 5th / 177th pick / 2022
38,C.J. Moore,27,S,11,0,197,11-May,Mississippi,12/15/95,3,1,
67,Matt Nelson,27,T,11,0,316,7-Jun,Iowa,12/19/95,2,1,
1,Jeff Okudah,23,CB,15,15,202,1-Jun,Ohio St.,2/2/99,2,5,Detroit Lions / 1st / 3rd pick / 2020
99,Julian Okwara,25,LB,10,2,245,4-Jun,Notre Dame,12/27/97,2,1,Detroit Lions / 3rd / 67th pick / 2020
95,Romeo Okwara,27,DL,5,0,255,4-Jun,Notre Dame,6/17/95,6,0,
24,Amani Oruwariye,26,CB,14,5,205,2-Jun,Penn St.,2/9/96,3,2,Detroit Lions / 5th / 146th pick / 2019
41,AJ Parker,24,CB,3,0,178,11-May,Kansas St.,2/15/98,1,0,
93,Josh Paschal,23,DL,10,4,278,3-Jun,Kentucky,12/17/99,Rook,2,Detroit Lions / 2nd / 46th pick / 2022
66,Ross Pierschbacher,27,G,3,0,315,4-Jun,Alabama,6/5/95,3,0,Washington Redskins / 5th / 153rd pick / 2019
57,Anthony Pittman,26,LB,17,1,240,3-Jun,Wayne State (MI),11/24/96,3,1,
27,Bobby Price,24,CB,5,0,208,3-Jun,Norfolk St.,4/25/98,2,0,
77,Frank Ragnow,26,C,16,16,311,5-Jun,Arkansas,5/17/96,4,10,Detroit Lions / 1st / 20th pick / 2018
11,Kalif Raymond,28,WR,17,7,182,8-May,Holy Cross,8/8/94,6,8,
46,Craig Reynolds,26,RB,9,0,215,11-May,Kutztown (PA),6/15/96,3,2,
8,Josh Reynolds,27,WR,14,11,196,3-Jun,Texas A&M,2/16/95,5,5,Los Angeles Rams / 4th / 117th pick / 2017
44,Malcolm Rodriguez,23,LB,16,15,225,11-May,Oklahoma St.,3/29/99,Rook,6,Detroit Lions / 6th / 188th pick / 2022
19,Austin Seibert,26,K,3,0,211,9-May,Oklahoma,11/15/96,3,0,Cleveland Browns / 5th / 170th pick / 2019
58,Penei Sewell,22,T,17,17,331,5-Jun,Oregon,10/9/00,1,13,Detroit Lions / 1st / 7th pick / 2021
70,Dan Skipper,28,T,16,5,325,9-Jun,Arkansas,9/20/94,5,4,
29,Saivion Smith,25,CB,1,1,200,1-Jun,"Mississippi Gulf Coast CC,Alabama",11/5/97,2,0,
14,Amon-Ra St. Brown,23,WR,16,16,197,Jun-00,USC,10/24/99,1,13,Detroit Lions / 4th / 112th pick / 2021
71,Logan Stenberg,25,G,16,4,315,6-Jun,Kentucky,3/18/97,2,3,Detroit Lions / 4th / 121st pick / 2020
10,Nate Sudfeld,29,QB,2,0,227,6-Jun,Indiana,10/7/93,5,0,Washington Redskins / 6th / 187th pick / 2016
32,D'Andre Swift,23,RB,14,8,211,9-May,Georgia,1/14/99,2,8,Detroit Lions / 2nd / 35th pick / 2020
52,Demetrius Taylor,23,DL,1,0,295,1-Jun,Appalachian St.,5/27/99,Rook,0,
21,Tracy Walker,27,S,3,3,206,1-Jun,Louisiana,2/1/95,4,1,Detroit Lions / 3rd / 82nd pick / 2018
30,Jamaal Williams,27,RB,17,9,224,Jun-00,BYU,4/3/95,5,8,Green Bay Packers / 4th / 134th pick / 2017
9,Jameson Williams,21,WR,6,0,189,2-Jun,"Ohio St.,Alabama",3/26/01,Rook,1,Detroit Lions / 1st / 12th pick / 2022
33,Jarren Williams,25,CB,2,0,187,10-May,Albany (NY),7/18/97,2,0,
51,Josh Woods,26,LB,17,0,236,1-Jun,Maryland,7/1/96,3,1,
89,Brock Wright,24,TE,17,10,259,5-Jun,Notre Dame,11/27/98,1,2,
13,Brandon Zylstra,29,WR,2,0,215,2-Jun,Concordia-Moorhead (MN),3/25/93,4,0,
84,Shane Zylstra,26,TE,13,2,230,4-Jun,Minnesota St.,11/16/96,1,1,
,Team Total,25.5,,17,,238,6-1.9,,,2.6,,
