No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
34,Micah Abernathy,25,S,2,0,195,Jun-00,Tennessee,2/10/97,Rook,0,
44,Johnathan Abram,26,S,2,0,205,Jun-00,Mississippi St.,10/25/96,3,0,Oakland Raiders / 1st / 27th pick / 2019
17,Ramiz Ahmed,27,K,1,0,193,11-May,Nevada,7/27/95,Rook,0,
23,Jaire Alexander,25,CB,16,16,196,10-May,Louisville,2/9/97,4,9,Green Bay Packers / 1st / 18th pick / 2018
31,Adrian Amos,29,S,17,17,214,Jun-00,Penn St.,4/29/93,7,5,Chicago Bears / 5th / 142nd pick / 2015
69,David Bakhtiari,31,T,11,11,310,4-Jun,Colorado,9/30/91,9,7,Green Bay Packers / 4th / 109th pick / 2013
35,Corey Ballentine,26,CB,8,0,191,Jun-00,Washburn,4/13/96,3,0,New York Giants / 6th / 180th pick / 2019
51,Krys Barnes,24,LB,6,1,229,2-Jun,UCLA,4/2/98,2,1,
59,De'Vondre Campbell,29,LB,13,13,232,3-Jun,Minnesota,7/1/93,6,6,Atlanta Falcons / 4th / 115th pick / 2016
24,Tariq Carpenter,24,S,14,0,225,4-Jun,Georgia Tech,12/28/98,Rook,1,Green Bay Packers / 7th / 228th pick / 2022
97,Kenny Clark,27,DL,17,17,314,3-Jun,UCLA,10/4/95,6,8,Green Bay Packers / 1st / 27th pick / 2016
18,Randall Cobb,32,WR,13,3,195,10-May,Kentucky,8/22/90,11,4,Green Bay Packers / 2nd / 64th pick / 2011
56,Jack Coco,24,LS,17,0,248,2-Jun,Georgia Tech,10/9/98,Rook,1,
2,Mason Crosby,38,K,17,0,207,1-Jun,Colorado,9/3/84,15,3,Green Bay Packers / 6th / 193rd pick / 2007
84,Tyler Davis,25,TE,17,1,252,4-Jun,"Connecticut,Georgia Tech",4/2/97,2,0,Jacksonville Jaguars / 6th / 206th pick / 2020
81,Josiah Deguara,25,TE,17,3,238,2-Jun,Cincinnati,2/14/97,2,1,Green Bay Packers / 3rd / 94th pick / 2020
28,AJ Dillon,24,RB,17,3,247,Jun-00,Boston Col.,5/2/98,2,7,Green Bay Packers / 2nd / 62nd pick / 2020
87,Romeo Doubs,22,WR,13,7,200,2-Jun,Nevada,4/13/00,Rook,4,Green Bay Packers / 4th / 132nd pick / 2022
29,Rasul Douglas,28,CB,17,12,209,2-Jun,West Virginia,8/29/94,5,4,Philadelphia Eagles / 3rd / 99th pick / 2017
55,Kingsley Enagbare,22,LB,17,7,265,4-Jun,South Carolina,1/18/00,Rook,4,Green Bay Packers / 5th / 179th pick / 2022
20,Rudy Ford,28,S,17,6,204,Jun-00,Auburn,11/1/94,5,3,Arizona Cardinals / 6th / 208th pick / 2017
38,Innis Gaines,24,S,7,1,207,2-Jun,TCU,8/29/98,1,0,
40,Tipa Galeai,25,LB,5,0,235,5-Jun,"TCU,Utah St.",2/26/97,2,0,
53,Jonathan Garvin,23,LB,14,0,257,4-Jun,Miami (FL),7/28/99,2,1,Green Bay Packers / 7th / 242nd pick / 2020
52,Rashan Gary,25,LB,9,9,277,5-Jun,Michigan,12/3/97,3,4,Green Bay Packers / 1st / 12th pick / 2019
54,Ladarius Hamilton,24,LB,3,0,261,2-Jun,North Texas,1/18/98,1,0,
67,Jake Hanson,25,OL,6,1,296,4-Jun,Oregon,4/29/97,1,1,Green Bay Packers / 6th / 208th pick / 2020
32,Kylin Hill,24,RB,2,0,214,10-May,Mississippi St.,8/18/98,1,0,Green Bay Packers / 7th / 256th pick / 2021
47,Justin Hollins,26,LB,6,0,248,5-Jun,Oregon,1/15/96,3,1,Denver Broncos / 5th / 156th pick / 2019
22,Shemar Jean-Charles,24,CB,6,0,184,10-May,Appalachian St.,6/20/98,1,0,Green Bay Packers / 5th / 178th pick / 2021
74,Elgton Jenkins,27,OL,15,15,311,5-Jun,Mississippi St.,12/26/95,3,10,Green Bay Packers / 2nd / 44th pick / 2019
33,Aaron Jones,28,RB,17,17,208,9-May,Texas-El Paso,12/2/94,5,12,Green Bay Packers / 5th / 182nd pick / 2017
49,Kobe Jones,24,LB,1,0,260,4-Jun,Mississippi St.,5/10/98,Rook,0,
13,Allen Lazard,27,WR,15,15,227,5-Jun,Iowa St.,12/11/95,4,8,
6,Dallin Leavitt,28,S,17,0,195,10-May,Utah St.,8/8/94,4,1,
89,Marcedes Lewis,38,TE,17,17,267,6-Jun,UCLA,5/19/84,16,1,Jacksonville Jaguars / 1st / 28th pick / 2006
10,Jordan Love,24,QB,4,0,219,4-Jun,Utah St.,11/2/98,1,1,Green Bay Packers / 1st / 26th pick / 2020
94,Dean Lowry,28,DL,15,12,296,6-Jun,Northwestern,6/9/94,6,5,Green Bay Packers / 4th / 137th pick / 2016
