No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
94,Henry Anderson,31,DE,11,0,300,6-Jun,Stanford,8/3/91,7,1,Indianapolis Colts / 3rd / 93rd pick / 2015
90,Amare Barno,23,DE,9,0,245,6-Jun,"Butler (KS),Virginia Tech",4/26/99,Rook,1,Carolina Panthers / 6th / 189th pick / 2022
20,Raheem Blackshear,23,RB,13,1,194,9-May,"Rutgers,Virginia Tech",6/5/99,Rook,1,
27,Marquise Blair,25,S,3,0,196,1-Jun,Utah,7/18/97,3,0,Seattle Seahawks / 2nd / 47th pick / 2019
56,Bradley Bozeman,28,OL,17,11,325,5-Jun,Alabama,11/24/94,4,4,Baltimore Ravens / 6th / 215th pick / 2018
95,Derrick Brown,24,DT,17,17,320,5-Jun,Auburn,4/15/98,2,8,Carolina Panthers / 1st / 7th pick / 2020
33,Spencer Brown,24,RB,2,0,220,Jun-00,Ala-Birmingham,11/13/98,1,0,
53,Brian Burns,24,DE,16,16,250,5-Jun,Florida St.,4/23/98,3,11,Carolina Panthers / 1st / 16th pick / 2019
31,Juston Burris,29,S,5,3,210,Jun-00,North Carolina St.,8/4/93,6,1,New York Jets / 4th / 118th pick / 2016
27,T.J. Carrie,32,CB,7,0,204,Jun-00,Ohio,7/28/90,8,1,Oakland Raiders / 7th / 219th pick / 2014
34,Sean Chandler,26,S,17,0,200,10-May,Temple,4/27/96,4,1,
21,Jeremy Chinn,24,S,11,11,220,3-Jun,Southern Illinois,2/26/98,2,4,Carolina Panthers / 2nd / 64th pick / 2020
11,Robbie Chosen,29,WR,6,5,190,3-Jun,Temple,5/9/93,6,2,
70,Brady Christensen,26,T,17,17,300,6-Jun,BYU,9/27/96,1,7,Carolina Panthers / 3rd / 70th pick / 2021
63,Austin Corbett,27,G,17,17,306,4-Jun,Nevada,9/5/95,4,6,Cleveland Browns / 2nd / 33rd pick / 2018
14,Sam Darnold,25,QB,6,6,225,3-Jun,USC,6/5/97,4,4,New York Jets / 1st / 3rd pick / 2018
16,Jacob Eason,25,QB,1,0,231,6-Jun,"Georgia,Washington",11/17/97,1,0,Indianapolis Colts / 4th / 122nd pick / 2020
79,Ikem Ekwonu,22,T,17,17,320,4-Jun,North Carolina St.,10/31/00,Rook,7,Carolina Panthers / 1st / 6th pick / 2022
60,Pat Elflein,28,G,6,6,303,3-Jun,Ohio St.,7/6/94,5,2,Minnesota Vikings / 3rd / 70th pick / 2017
75,Cameron Erving,30,T,11,0,315,5-Jun,Florida St.,8/23/92,7,1,Cleveland Browns / 1st / 19th pick / 2015
33,D'Onta Foreman,26,RB,17,9,236,1-Jun,Texas,4/24/96,5,6,Houston Texans / 3rd / 89th pick / 2017
42,Sam Franklin,26,S,17,1,210,3-Jun,Temple,2/2/96,2,1,
97,Yetur Gross-Matos,24,DE,17,17,265,5-Jun,Penn St.,2/26/98,2,9,Carolina Panthers / 2nd / 38th pick / 2020
38,Myles Hartsfield,25,DB,15,10,210,11-May,Mississippi,8/5/97,2,4,
32,Tae Hayes,25,CB,5,0,188,9-May,Appalachian St.,8/19/97,3,0,
98,Marquis Haynes,29,DE,17,1,235,2-Jun,Mississippi,12/16/93,4,3,Carolina Panthers / 4th / 136th pick / 2018
10,Johnny Hekker,32,P,17,0,241,5-Jun,Oregon St.,2/8/90,10,4,
15,C.J. Henderson,24,CB,17,10,204,1-Jun,Florida,9/30/98,2,5,Jacksonville Jaguars / 1st / 9th pick / 2020
17,Rashard Higgins,28,WR,3,0,198,1-Jun,Colorado St.,10/7/94,6,0,Cleveland Browns / 5th / 172nd pick / 2016
8,Jaycee Horn,23,CB,13,13,200,1-Jun,South Carolina,11/26/99,1,5,Carolina Panthers / 1st / 8th pick / 2021
71,Phil Hoskins,25,DT,5,0,315,5-Jun,"Highland (KS),Kentucky",1/2/97,1,0,Carolina Panthers / 7th / 232nd pick / 2021
30,Chuba Hubbard,23,RB,15,2,210,1-Jun,Oklahoma St.,6/11/99,1,4,Carolina Panthers / 4th / 126th pick / 2021
99,Matthew Ioannidis,28,DT,13,13,310,3-Jun,Temple,1/11/94,6,6,Washington Redskins / 5th / 152nd pick / 2016
52,Joel Iyiegbuniwe,27,LB,7,0,235,1-Jun,Western Kentucky,10/12/95,4,1,Chicago Bears / 4th / 115th pick / 2018
26,Donte Jackson,27,CB,9,9,180,10-May,LSU,11/8/95,4,4,Carolina Panthers / 2nd / 55th pick / 2018
44,J.J. Jansen,36,LS,17,0,235,2-Jun,Notre Dame,1/20/86,13,1,
91,Kobe Jones,24,DE,1,0,260,4-Jun,Mississippi St.,5/10/98,Rook,0,
73,Michael Jordan,24,G,17,0,315,6-Jun,Ohio St.,1/25/98,3,1,Cincinnati Bengals / 4th / 136th pick / 2019
55,Cory Littleton,29,LB,15,7,228,3-Jun,Washington,11/18/93,6,4,
49,Frankie Luvu,26,LB,15,14,235,3-Jun,Washington St.,9/19/96,4,7,
