No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
46,Tucker Addington,25,LS,3,0,230,6-2,Sam Houston State,7/16/1997,Rook,0,,AddiTu00
15,Nelson Agholor,29,WR,16,7,198,6-0,USC,5/24/1993,7,3,Philadelphia Eagles / 1st / 20th pick / 2015,AghoNe00
60,David Andrews,30,C,14,14,300,6-3,Georgia,7/10/1992,7,6,,AndrDa00
7,Jake Bailey,25,P,9,0,205,6-2,Stanford,6/18/1997,3,1,New England Patriots / 5th / 163rd pick / 2019,BailJa00
90,Christian Barmore,23,DL,10,3,310,6-4,Alabama,7/28/1999,1,2,New England Patriots / 2nd / 38th pick / 2021,BarmCh00
8,Ja'Whaun Bentley,26,LB,17,17,255,6-2,Purdue,8/24/1996,4,9,New England Patriots / 5th / 143rd pick / 2018,BentJa00
24,Joshuah Bledsoe,24,S,3,0,200,6-0,Missouri,12/30/1998,Rook,0,New England Patriots / 6th / 188th pick / 2021,BledJo00
84,Kendrick Bourne,27,WR,16,2,203,6-1,East. Washington,8/4/1995,5,4,,BourKe00
80,Lynn Bowden Jr.,25,WR,1,0,201,6-0,Kentucky,10/14/1997,2,0,Las Vegas Raiders / 3rd / 80th pick / 2020,BowdLy00
77,Trent Brown,29,OL,17,16,380,6-8,Georgia MilitaryFlorida,4/13/1993,7,7,San Francisco 49ers / 7th / 244th pick / 2015,BrowTr02
27,Myles Bryant,24,DB,17,6,180,5-8,Washington,1/2/1998,2,3,,BryaMy01
72,Yodny Cajuste,26,OL,10,3,310,6-5,West Virginia,2/21/1996,1,2,New England Patriots / 3rd / 101st pick / 2019,CajuYo00
61,Marcus Cannon,34,OL,5,4,335,6-6,TCU,5/6/1988,11,2,New England Patriots / 5th / 138th pick / 2011,CannMa00
49,Joe Cardona,30,LS,14,0,245,6-3,Navy,4/16/1992,7,1,New England Patriots / 5th / 166th pick / 2015,CardJo00
58,Jamie Collins,33,LB,3,1,255,6-3,Southern Miss,10/20/1989,9,1,New England Patriots / 2nd / 52nd pick / 2013,CollJa00
98,Carl Davis,30,DL,16,2,320,6-5,Iowa,3/2/1992,7,3,Baltimore Ravens / 3rd / 90th pick / 2015,DaviCa01
22,Cody Davis,33,DB,6,0,203,6-2,Texas Tech,6/6/1989,9,0,,DaviCo02
23,Kyle Dugger,26,DB,15,15,220,6-2,Lenoir-Rhyne,3/22/1996,2,6,New England Patriots / 2nd / 37th pick / 2020,DuggKy00
95,Daniel Ekuale,28,DT,15,0,300,6-3,Washington St.,1/13/1994,3,1,,EkuaDa00
65,James Ferentz,33,OL,12,3,300,6-2,Iowa,6/5/1989,7,2,,FereJa00
6,Nick Folk,38,K,17,0,222,6-1,Arizona,11/5/1984,15,3,Dallas Cowboys / 6th / 178th pick / 2007,FolkNi20
92,Davon Godchaux,28,DT,17,17,311,6-3,LSU,11/11/1994,5,9,Miami Dolphins / 5th / 178th pick / 2017,GodcDa00
93,Lawrence Guy,32,DL,14,14,315,6-4,Arizona St.,3/17/1990,10,7,Green Bay Packers / 7th / 233rd pick / 2011,GuyxLa00
37,Damien Harris,25,RB,11,9,213,5-11,Alabama,2/11/1997,3,3,New England Patriots / 3rd / 87th pick / 2019,HarrDa06
36,Kevin Harris,22,RB,5,1,225,5-10,South Carolina,11/17/2000,Rook,0,New England Patriots / 6th / 183rd pick / 2022,HarrKe01
39,Tae Hayes,25,DB,2,0,188,5-9,Appalachian St.,8/19/1997,3,0,,HayeTa00
85,Hunter Henry,28,TE,17,14,250,6-5,Arkansas,12/7/1994,6,4,San Diego Chargers / 2nd / 35th pick / 2016,HenrHu00
5,Brian Hoyer,37,QB,1,1,216,6-2,Michigan St.,10/13/1985,13,0,,HoyeBr00
83,Lil'Jordan Humphrey,24,WR,6,2,225,6-4,Texas,4/19/1998,3,0,,HumpLi01
58,Anfernee Jennings,25,LB,16,3,259,6-3,Alabama,5/1/1997,2,3,New England Patriots / 3rd / 87th pick / 2020,JennAn00
