No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
22,Ameer Abdullah,29,RB,17,0,196,5-9,Nebraska,6/13/1993,7,2,Detroit Lions / 2nd / 54th pick / 2015,AbduAm00
24,Johnathan Abram,26,S,8,6,205,6-0,Mississippi St.,10/25/1996,3,2,Oakland Raiders / 1st / 27th pick / 2019,AbraJo01
17,Davante Adams,30,WR,17,17,215,6-1,Fresno St.,12/24/1992,8,14,Green Bay Packers / 2nd / 53rd pick / 2014,AdamDa01
29,Anthony Averett,28,CB,7,6,178,5-11,Alabama,11/30/1994,4,2,Baltimore Ravens / 4th / 118th pick / 2018,AverAn00
64,Alex Bars,27,OL,15,14,334,6-5,Notre Dame,9/8/1995,3,6,,BarsAl01
78,Jackson Barton,27,T,6,0,302,6-7,Utah,8/8/1995,1,0,Indianapolis Colts / 7th / 240th pick / 2019,BartJa00
97,Andrew Billings,27,DT,14,14,328,6-1,Baylor,3/6/1995,5,5,Cincinnati Bengals / 4th / 122nd pick / 2016,BillAn00
34,Brandon Bolden,32,RB,16,0,220,5-11,Mississippi,1/26/1990,10,1,,BoldBr00
36,Curtis Bolton,27,LB,10,0,228,6-0,Oklahoma,12/18/1995,1,1,,BoltCu00
96,Tashawn Bower,27,DE,6,0,250,6-5,LSU,2/18/1995,5,0,,BoweTa00
38,Brittain Brown,25,RB,6,0,205,6-1,DukeUCLA,10/10/1997,Rook,0,Las Vegas Raiders / 7th / 250th pick / 2022,BrowBr06
50,Jayon Brown,27,LB,8,6,226,6-0,UCLA,2/26/1995,5,3,Tennessee Titans / 5th / 155th pick / 2017,BrowJa06
58,Darien Butler,22,LB,15,0,230,,Arizona St.,2/29/2000,Rook,1,,ButlDa00
94,Matthew Butler,23,DT,6,0,295,6-4,Tennessee,6/10/1999,Rook,0,Las Vegas Raiders / 5th / 175th pick / 2022,ButlMa02
53,Austin Calitro,28,LB,1,0,240,6-0,Villanova,1/10/1994,4,0,,CaliAu00
2,Daniel Carlson,27,K,17,0,215,6-5,Auburn,1/23/1995,4,5,Minnesota Vikings / 5th / 167th pick / 2018,CarlDa00
4,Derek Carr,31,QB,15,15,210,6-3,Fresno St.,3/28/1991,8,12,Oakland Raiders / 2nd / 36th pick / 2014,CarrDe02
6,AJ Cole III,27,P,17,0,220,6-4,North Carolina St.,11/27/1995,3,3,,ColeAJ01
84,Keelan Cole,29,WR,14,3,194,6-1,Kentucky Wesleyan,4/20/1993,5,1,,ColeKe00
67,Lester Cotton,26,G,10,1,335,6-4,Alabama,2/20/1996,3,1,,CottLe00
98,Maxx Crosby,25,DE,17,17,255,6-5,East. Michigan,8/22/1997,3,10,Oakland Raiders / 4th / 106th pick / 2019,CrosMa00
5,Divine Deablo,24,LB,8,8,226,6-3,Virginia Tech,8/17/1998,1,3,Las Vegas Raiders / 3rd / 80th pick / 2021,DeabDi00
72,Jermaine Eluemunor,28,OL,17,17,330,6-4,LackawannaTexas A&M,12/13/1994,5,7,Baltimore Ravens / 5th / 159th pick / 2017,ElueJe00
41,Matthias Farley,30,S,17,0,209,5-11,Notre Dame,7/15/1992,6,1,,FarlMa00
92,Neil Farrell,24,DT,9,0,319,6-4,LSU,9/9/1998,Rook,1,Las Vegas Raiders / 4th / 126th pick / 2022,FarrNe00
99,Clelin Ferrell,25,DE,16,4,265,6-4,Clemson,5/17/1997,3,2,Oakland Raiders / 1st / 4th pick / 2019,FerrCl00
