No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
63,Oday Aboushi,31,G,15,4,308,6-5,Virginia,6/5/1991,8,3,New York Jets / 5th / 141st pick / 2013,AbouOd00
23,Cam Akers,23,RB,15,9,212,5-11,Florida St.,6/22/1999,2,6,Los Angeles Rams / 2nd / 52nd pick / 2020,AkerCa00
55,Brian Allen,27,C,7,7,303,6-2,Michigan St.,10/11/1995,4,3,Los Angeles Rams / 4th / 111th pick / 2018,AlleBr02
72,Tremayne Anchrum,24,T,2,1,315,6-2,Clemson,6/24/1998,2,0,Los Angeles Rams / 7th / 250th pick / 2020,AnchTr00
61,AJ Arcuri,25,T,8,1,320,6-7,Michigan St.,8/13/1997,Rook,1,Los Angeles Rams / 7th / 261st pick / 2022,ArcuAJ00
15,Tutu Atwell,23,WR,13,4,165,5-9,Louisville,10/7/1999,1,3,Los Angeles Rams / 2nd / 57th pick / 2021,AtweTu00
85,Kendall Blanton,27,TE,4,0,260,6-6,Missouri,11/10/1995,3,0,,BlanKe01
67,Chandler Brewer,25,T,6,4,319,6-6,Middle Tenn. St.,6/12/1997,3,2,,BrewCh01
95,Bobby Brown,22,DT,9,1,324,6-4,Texas A&M,8/7/2000,1,1,Los Angeles Rams / 4th / 117th pick / 2021,BrowBo04
90,Earnest Brown IV,23,DE,5,3,270,6-5,Northwestern,1/8/1999,Rook,1,Los Angeles Rams / 5th / 174th pick / 2021,BrowEa00
41,Malcolm Brown,29,RB,11,0,225,5-11,Texas,5/15/1993,7,1,,BrowMa03
26,Terrell Burgess,24,S,7,1,202,5-11,Utah,11/12/1998,2,1,Los Angeles Rams / 3rd / 104th pick / 2020,BurgTe00
49,Roger Carter,23,TE,1,0,250,6-2,Georgia St.,3/31/1999,Rook,0,,CartRo03
20,T.J. Carter,23,CB,1,0,193,5-11,MemphisTCU,4/3/1999,Rook,0,,CartTJ00
98,T.J. Carter,24,DE,2,0,289,6-4,Kentucky,9/15/1998,Rook,0,,CartTJ01
93,Marquise Copeland,25,DT,15,9,285,6-2,Cincinnati,5/9/1997,2,4,,CopeMa01
11,Riley Dixon,29,P,17,0,221,6-4,Syracuse,8/24/1993,6,3,Denver Broncos / 7th / 228th pick / 2016,DixoRi00
99,Aaron Donald,31,DT,11,11,280,6-1,Pittsburgh,5/23/1991,8,8,St. Louis Rams / 1st / 13th pick / 2014,DonaAa00
14,Cobie Durant,24,DB,13,1,175,5-11,South Carolina St.,2/9/1998,Rook,2,Los Angeles Rams / 4th / 142nd pick / 2022,DuraDe01
73,David Edwards,25,OL,4,4,308,6-6,Wisconsin,3/20/1997,3,2,Los Angeles Rams / 5th / 169th pick / 2019,EdwaDa01
71,Bobby Evans,25,OT,12,4,312,6-4,Oklahoma,3/24/1997,3,2,Los Angeles Rams / 3rd / 97th pick / 2019,EvanBo00
54,Leonard Floyd,30,LB,17,17,240,6-3,Georgia,9/8/1992,6,8,Chicago Bears / 1st / 9th pick / 2016,FloyLe00
4,Jordan Fuller,24,DB,3,1,203,6-2,Ohio St.,3/4/1998,2,0,Los Angeles Rams / 6th / 199th pick / 2020,FullJo01
34,Jake Funk,24,RB,5,0,205,5-10,Maryland,1/11/1998,1,0,Los Angeles Rams / 7th / 233rd pick / 2021,FunkJa00
91,Greg Gaines,26,DT,16,12,312,6-1,Washington,5/6/1996,3,5,Los Angeles Rams / 4th / 134th pick / 2019,GainGr00
8,Matt Gay,28,K,17,0,232,6-0,Utah,3/15/1994,3,5,Tampa Bay Buccaneers / 5th / 145th pick / 2019,GayxMa00
39,Jake Gervase,27,LB,14,0,212,6-1,Iowa,9/18/1995,3,1,,GervJa00
36,Grant Haley,26,DB,4,1,190,5-9,Penn St.,1/6/1996,4,0,,HaleGr00
44,Daniel Hardy,24,OLB,6,0,223,6-3,Montana State,12/15/1998,Rook,0,Los Angeles Rams / 7th / 235th pick / 2022,HardDa01
87,Jacob Harris,25,WR,7,0,211,6-5,Western KentuckyCentral Florida,4/16/1997,1,0,Los Angeles Rams / 4th / 141st pick / 2021,HarrJa03
79,Rob Havenstein,30,T,17,17,330,6-8,Wisconsin,5/13/1992,7,8,St. Louis Rams / 2nd / 57th pick / 2015,HaveRo00
27,Darrell Henderson,25,RB,10,7,208,5-8,Memphis,8/19/1997,3,3,Los Angeles Rams / 3rd / 70th pick / 2019,HendDa00
89,Tyler Higbee,29,TE,17,17,255,6-6,Western Kentucky,1/1/1993,6,6,Los Angeles Rams / 4th / 110th pick / 2016,HigbTy00
2,Troy Hill,31,CB,12,12,183,5-11,Oregon,8/29/1991,7,4,,HillTr01
97,Michael Hoecht,25,DT,17,6,310,6-4,Brown,10/5/1997,1,3,,HoecMi00
58,Justin Hollins,26,LB,10,5,248,6-5,Oregon,1/15/1996,3,3,Denver Broncos / 5th / 156th pick / 2019,HollJu00
88,Brycen Hopkins,25,TE,14,1,245,6-4,Purdue,3/27/1997,2,1,Los Angeles Rams / 4th / 136th pick / 2020,HopkBr01
32,Travin Howard,26,LB,1,0,219,6-1,TCUOhio St.,5/10/1996,3,0,Los Angeles Rams / 7th / 231st pick / 2018,HowaTr00
35,Jake Hummel,23,LB,7,0,235,6-1,Iowa St.,1/4/1999,Rook,0,,HummJa00
68,Alaric Jackson,24,OL,8,6,285,6-7,Iowa,7/14/1998,1,2,,JackAl01
12,Van Jefferson,26,WR,11,9,200,6-1,MississippiFlorida,7/26/1996,2,3,Los Angeles Rams / 2nd / 57th pick / 2020,JeffVa00
38,Shaun Jolly,24,DB,2,0,180,5-9,Appalachian St.,10/17/1998,Rook,0,,JollSh00
50,Ernest Jones,23,LB,17,11,230,6-2,South Carolina,11/22/1999,1,5,Los Angeles Rams / 3rd / 103rd pick / 2021,JoneEr01
6,Derion Kendrick,22,CB,15,6,190,6-0,ClemsonGeorgia,8/24/2000,Rook,2,Los Angeles Rams / 6th / 212th pick / 2022,KendDe00
60,Jeremiah Kolone,28,G,5,2,316,6-3,San Jose St.,10/23/1994,Rook,1,,KoloJe00
10,Cooper Kupp,29,WR,9,9,208,6-2,East. Washington,6/15/1993,5,8,Los Angeles Rams / 3rd / 69th pick / 2017,KuppCo00
37,Quentin Lake,23,S,9,0,205,6-1,UCLA,1/29/1999,Rook,0,Los Angeles Rams / 6th / 211th pick / 2022,LakeQu00
52,Terrell Lewis,24,OLB,11,3,262,6-5,Alabama,8/25/1998,2,2,Los Angeles Rams / 3rd / 84th pick / 2020,LewiTe00
22,David Long,24,DB,12,4,196,5-11,Michigan,2/6/1998,3,2,Los Angeles Rams / 3rd / 79th pick / 2019,LongDa02
17,Baker Mayfield,27,QB,5,4,215,6-1,Oklahoma,4/14/1995,4,3,Cleveland Browns / 1st / 1st pick / 2018,MayfBa00
82,Lance McCutcheon,23,WR,10,1,202,6-3,Montana St.,2/28/1999,Rook,0,,McCuLa01
