No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
89,Mark Andrews,27,TE,15,15,256,5-Jun,Oklahoma,9/6/95,4,8,Baltimore Ravens / 3rd / 86th pick / 2018
5,Jalyn Armour-Davis,23,CB,4,1,192,1-Jun,Alabama,9/3/99,Rook,1,Baltimore Ravens / 4th / 119th pick / 2022
47,Jeremiah Attaochu,29,OLB,1,0,262,3-Jun,Georgia Tech,1/17/93,8,0,San Diego Chargers / 2nd / 50th pick / 2014
12,Rashod Bateman,23,WR,6,5,210,2-Jun,Minnesota,11/29/99,1,3,Baltimore Ravens / 1st / 27th pick / 2021
54,Tyus Bowser,27,OLB,9,4,242,3-Jun,Houston,5/23/95,5,2,Baltimore Ravens / 2nd / 47th pick / 2017
86,Nick Boyle,29,TE,12,0,270,4-Jun,Delaware,2/17/93,7,0,Baltimore Ravens / 5th / 171st pick / 2015
12,Anthony Brown,24,QB,2,1,228,1-Jun,"Boston Col.,Oregon",7/27/98,Rook,1,
56,Josh Bynes,33,LB,7,7,240,1-Jun,Auburn,8/24/89,11,3,
93,Calais Campbell,36,DE,14,14,300,8-Jun,Miami (FL),9/1/86,14,7,Arizona Cardinals / 2nd / 50th pick / 2008
36,Chuck Clark,27,S,17,17,205,Jun-00,Virginia Tech,4/19/95,5,7,Baltimore Ravens / 6th / 186th pick / 2017
66,Ben Cleveland,24,G,9,1,357,6-Jun,Georgia,8/25/98,1,1,Baltimore Ravens / 3rd / 94th pick / 2021
63,Trystan Colon-Castillo,24,OL,6,1,313,3-Jun,Missouri,3/23/98,2,1,
49,Brandon Copeland,31,LB,3,0,263,3-Jun,Pennsylvania,7/2/91,7,0,
28,Mike Davis,29,RB,8,0,220,9-May,South Carolina,2/19/93,7,0,San Francisco 49ers / 4th / 126th pick / 2015
27,J.K. Dobbins,24,RB,8,8,214,10-May,Ohio St.,12/17/98,2,4,Baltimore Ravens / 2nd / 55th pick / 2020
17,Kenyan Drake,28,RB,12,5,211,1-Jun,Alabama,1/26/94,6,4,Miami Dolphins / 3rd / 73rd pick / 2016
13,Devin Duvernay,25,WR,14,13,210,11-May,Texas,9/12/97,2,6,Baltimore Ravens / 3rd / 92nd pick / 2020
35,Gus Edwards,27,RB,9,4,238,1-Jun,"Miami (FL),Rutgers",4/13/95,4,3,
77,Daniel Faalele,23,T,16,1,380,9-Jun,Minnesota,11/9/99,Rook,2,Baltimore Ravens / 4th / 110th pick / 2022
18,Kyle Fuller,30,CB,1,1,190,11-May,Virginia Tech,2/16/92,8,0,Chicago Bears / 1st / 14th pick / 2014
14,Kyle Hamilton,21,S,16,4,219,4-Jun,Notre Dame,3/16/01,Rook,2,Baltimore Ravens / 1st / 14th pick / 2022
40,Malik Harrison,24,LB,17,8,247,3-Jun,Ohio St.,3/5/98,2,4,Baltimore Ravens / 3rd / 98th pick / 2020
43,Justice Hill,25,RB,15,0,200,10-May,Oklahoma St.,11/14/97,3,2,Baltimore Ravens / 4th / 113th pick / 2019
50,Justin Houston,33,OLB,14,1,270,3-Jun,Georgia,1/21/89,11,2,Kansas City Chiefs / 3rd / 70th pick / 2011
44,Marlon Humphrey,26,CB,17,17,197,Jun-00,Alabama,7/8/96,5,12,Baltimore Ravens / 1st / 16th pick / 2017
2,Tyler Huntley,24,QB,6,4,196,1-Jun,Utah,2/3/98,2,3,
83,Andy Isabella,26,WR,2,0,188,9-May,Massachusetts,11/18/96,3,0,Arizona Cardinals / 2nd / 62nd pick / 2019
15,DeSean Jackson,36,WR,7,1,175,10-May,California,12/1/86,14,2,Philadelphia Eagles / 2nd / 49th pick / 2008
8,Lamar Jackson,25,QB,12,12,212,2-Jun,Louisville,1/7/97,4,12,Baltimore Ravens / 1st / 32nd pick / 2018
71,Ja'Wuan James,30,T,1,1,312,6-Jun,Tennessee,6/3/92,8,0,Miami Dolphins / 1st / 19th pick / 2014
98,Travis Jones,23,DT,15,3,333,5-Jun,Connecticut,10/15/99,Rook,2,Baltimore Ravens / 3rd / 76th pick / 2022
47,Devon Kennard,31,OLB,2,1,256,3-Jun,USC,6/24/91,8,1,New York Giants / 5th / 174th pick / 2014
59,A.J. Klein,31,LB,2,1,240,1-Jun,Iowa St.,7/30/91,9,1,Carolina Panthers / 5th / 148th pick / 2013
88,Charlie Kolar,23,TE,2,0,260,6-Jun,Iowa St.,2/10/99,Rook,0,Baltimore Ravens / 4th / 128th pick / 2022
80,Isaiah Likely,22,TE,16,2,240,4-Jun,Coastal Carolina,4/18/00,Rook,4,Baltimore Ravens / 4th / 139th pick / 2022
64,Tyler Linderbaum,22,C,17,17,305,2-Jun,Iowa,4/7/00,Rook,7,Baltimore Ravens / 1st / 25th pick / 2022
94,Isaiah Mack,26,NT,2,0,299,1-Jun,Chattanooga,3/19/96,3,0,
92,Justin Madubuike,25,DT,17,16,293,3-Jun,Texas A&M,11/17/97,2,7,Baltimore Ravens / 3rd / 71st pick / 2020
60,Steven Means,32,OLB,2,0,263,3-Jun,Buffalo,9/16/90,9,0,Tampa Bay Buccaneers / 5th / 147th pick / 2013
65,Patrick Mekari,25,OL,16,4,308,4-Jun,California,8/13/97,3,2,
46,Nick Moore,30,LS,17,0,248,2-Jun,Georgia,12/9/92,2,0,
78,Morgan Moses,31,T,17,17,318,6-Jun,Virginia,3/3/91,8,8,Washington Redskins / 3rd / 66th pick / 2014
91,Rayshad Nichols,23,DT,1,0,304,3-Jun,S.F. Austin,7/9/99,Rook,0,
90,David Ojabo,22,OLB,2,0,250,5-Jun,Michigan,5/17/00,Rook,0,Baltimore Ravens / 2nd / 45th pick / 2022
84,Josh Oliver,25,TE,17,9,249,5-Jun,San Jose St.,3/21/97,3,1,Jacksonville Jaguars / 3rd / 69th pick / 2019
99,Odafe Oweh,24,OLB,17,6,251,5-Jun,Penn St.,12/15/98,1,4,Baltimore Ravens / 1st / 31st pick / 2021
24,Marcus Peters,29,CB,13,13,197,Jun-00,Washington,1/9/93,7,6,Kansas City Chiefs / 1st / 18th pick / 2015
53,Del'Shawn Phillips,26,LB,16,0,230,2-Jun,Illinois,10/9/96,2,1,
58,Michael Pierce,30,NT,3,3,340,Jun-00,Samford,11/6/92,6,1,
4,Jason Pierre-Paul,33,OLB,14,13,275,5-Jun,"College of the Canyons (CA),South Florida",1/1/89,12,6,New York Giants / 1st / 15th pick / 2010
72,Ben Powers,26,G,17,17,310,4-Jun,Oklahoma,10/29/96,3,7,Baltimore Ravens / 4th / 123rd pick / 2019
11,James Proche,26,WR,15,0,193,11-May,SMU,9/21/96,2,1,Baltimore Ravens / 6th / 201st pick / 2020
6,Patrick Queen,23,LB,17,17,232,Jun-00,LSU,8/13/99,2,9,Baltimore Ravens / 1st / 28th pick / 2020
42,Patrick Ricard,28,FB,17,16,311,3-Jun,Maine,5/27/94,5,1,
10,Demarcus Robinson,28,WR,17,5,202,1-Jun,Florida,9/21/94,6,5,Kansas City Chiefs / 4th / 126th pick / 2016
46,Josh Ross,23,LB,2,0,230,Jun-00,Michigan,10/31/99,Rook,0,
25,Kevon Seymour,29,CB,14,0,185,Jun-00,USC,11/30/93,6,1,Buffalo Bills / 6th / 218th pick / 2016
18,Roquan Smith,25,LB,9,9,232,1-Jun,Georgia,4/8/97,4,13,Chicago Bears / 1st / 8th pick / 2018
49,Julian Stanford,32,OLB,1,0,230,1-Jun,Wagner,9/2/90,10,0,
79,Ronnie Stanley,28,T,11,11,315,6-Jun,Notre Dame,3/18/94,6,5,Baltimore Ravens / 1st / 6th pick / 2016
21,Brandon Stephens,25,DB,15,4,215,1-Jun,"UCLA,SMU",12/29/97,1,2,Baltimore Ravens / 3rd / 104th pick / 2021
26,Geno Stone,23,S,17,7,209,10-May,Iowa,4/19/99,2,4,Baltimore Ravens / 7th / 219th pick / 2020
11,Jordan Stout,24,P,17,0,209,3-Jun,"Virginia Tech,Penn St.",8/4/98,Rook,2,Baltimore Ravens / 4th / 130th pick / 2022
9,Justin Tucker,33,K,17,0,183,1-Jun,Texas,11/21/89,10,4,
68,Brent Urban,31,DE,16,0,295,7-Jun,Virginia,5/5/91,7,1,Baltimore Ravens / 4th / 134th pick / 2014
81,Binjimen Victor,25,WR,2,0,199,4-Jun,Ohio St.,1/15/97,Rook,0,
16,Tylan Wallace,23,WR,9,0,195,11-May,Oklahoma St.,5/13/99,1,0,Baltimore Ravens / 4th / 131st pick / 2021
29,Ar'Darius Washington,23,S,3,0,176,8-May,TCU,11/2/99,1,0,
96,Broderick Washington Jr.,26,DT,17,9,304,3-Jun,Texas Tech,12/4/96,2,5,Baltimore Ravens / 5th / 170th pick / 2020
82,Sammy Watkins,29,WR,3,2,211,1-Jun,Clemson,6/14/93,8,1,Buffalo Bills / 1st / 4th pick / 2014
87,Raleigh Webb,25,WR,2,0,213,2-Jun,The Citadel,12/28/97,Rook,0,
57,Kristian Welch,24,LB,17,0,240,3-Jun,Iowa,5/24/98,2,1,
22,Damarion Williams,24,CB,14,0,178,10-May,"Highland (KS),Houston",7/15/98,Rook,1,Baltimore Ravens / 4th / 141st pick / 2022
32,Marcus Williams,26,S,10,10,195,1-Jun,Utah,9/8/96,5,5,New Orleans Saints / 2nd / 42nd pick / 2017
41,Daryl Worley,27,CB,8,1,215,1-Jun,West Virginia,2/22/95,6,1,Carolina Panthers / 3rd / 77th pick / 2016
