No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
29,Paulson Adebo,23,CB,13,12,192,6-1,Stanford,7/3/1999,1,4,New Orleans Saints / 3rd / 76th pick / 2021,AdebPa00
68,Josh Andrews,31,G,6,5,298,6-2,Oregon St.,6/21/1991,7,2,,AndrJo01
53,Zack Baun,26,LB,13,1,225,6-3,Wisconsin,12/30/1996,2,1,New Orleans Saints / 3rd / 74th pick / 2020,BaunZa00
31,Eno Benjamin,23,RB,3,0,207,5-9,Arizona St.,4/13/1999,1,0,Arizona Cardinals / 7th / 222nd pick / 2020,BenjEn00
1,Marquez Callaway,24,WR,14,3,204,6-2,Tennessee,3/27/1998,2,1,,CallMa01
14,Andy Dalton,35,QB,14,14,219,6-2,TCU,10/29/1987,11,8,Cincinnati Bengals / 2nd / 35th pick / 2011,DaltAn00
92,Marcus Davenport,26,DE,15,9,265,6-6,Texas-San Antonio,9/4/1996,4,5,New Orleans Saints / 1st / 14th pick / 2018,DaveMa00
56,Demario Davis,33,LB,17,17,248,6-2,Arkansas St.,1/11/1989,10,15,New York Jets / 3rd / 77th pick / 2012,DaviDe00
65,Wyatt Davis,23,G,1,0,315,6-4,Ohio St.,2/17/1999,1,0,Minnesota Vikings / 3rd / 86th pick / 2021,DaviWy00
50,Andrew Dowell,26,LB,17,0,225,6-1,Michigan St.,11/16/1996,2,1,,DoweAn00
79,Yasir Durant,24,G,1,0,330,6-7,Missouri,5/21/1998,2,0,,DuraYa01
55,Kaden Elliss,27,LB,17,11,238,6-3,Idaho,7/10/1995,3,6,New Orleans Saints / 7th / 244th pick / 2019,ElliKa00
30,Justin Evans,27,DB,15,4,199,6-0,Mississippi Gulf Coast CCTexas A&M,8/26/1995,5,2,Tampa Bay Buccaneers / 2nd / 50th pick / 2017,EvanJu00
39,DaMarcus Fields,24,DB,2,0,200,6-0,Texas Tech,3/11/1998,Rook,0,,FielDa02
4,Blake Gillikin,24,P,17,0,196,6-2,Penn St.,1/21/1998,1,3,,GillBl00
96,Carl Granderson,26,DE,16,4,261,6-5,Wyoming,12/18/1996,3,4,,GranCa01
48,J.T. Gray,26,DB,14,0,202,6-0,Mississippi St.,1/18/1996,4,1,,GrayJ.00
40,Chase Hansen,29,LB,11,1,222,6-3,Utah,5/20/1993,2,1,,HansCh02
19,Chris Harris Jr.,33,DB,10,4,199,5-10,Kansas,6/18/1989,11,2,,HarrCh01
11,Deonte Harty,25,WR,4,0,170,5-6,Assumption,12/4/1997,3,0,,HarrDe07
7,Taysom Hill,32,TE,16,8,221,6-2,BYU,8/23/1990,5,4,,HillTa00
88,J.P. Holtz,29,TE,6,2,246,6-3,Pittsburgh,8/28/1993,3,0,,HoltJ.01
28,Jordan Howard,28,RB,2,0,224,6-0,Indiana,11/2/1994,6,0,Chicago Bears / 5th / 150th pick / 2016,HowaJo00
74,James Hurst,31,OL,16,16,310,6-5,North Carolina,12/17/1991,8,6,,HursJa00
22,Mark Ingram,33,RB,10,3,215,5-9,Alabama,12/21/1989,11,2,New Orleans Saints / 1st / 28th pick / 2011,IngrMa01
