No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
23,Johnathan Abram,26,FS,5,2,205,6-0,Mississippi St.,10/25/1996,3,1,Oakland Raiders / 1st / 27th pick / 2019,AbraJo01
33,Jamal Adams,27,SS,1,1,213,6-1,LSU,10/17/1995,5,0,New York Jets / 1st / 6th pick / 2017,AdamJa00
67,Myles Adams,24,DT,10,0,285,6-2,Rice,3/9/1998,1,1,,AdamMy00
57,Cody Barton,26,LB,17,11,237,6-2,Utah,11/13/1996,3,5,Seattle Seahawks / 3rd / 88th pick / 2019,BartCo00
44,Nick Bellore,33,LB,16,0,250,6-1,Central Michigan,5/12/1989,11,1,,BellNi01
35,Joey Blount,24,FS,11,0,205,6-1,Virginia,11/16/1998,Rook,1,,BlouJo00
63,Austin Blythe,30,G,17,17,280,6-2,Iowa,6/16/1992,6,8,Indianapolis Colts / 7th / 248th pick / 2016,BlytAu00
56,Jordyn Brooks,25,LB,16,16,240,6-0,Texas Tech,10/21/1997,2,7,Seattle Seahawks / 1st / 27th pick / 2020,BrooJo01
22,Tre Brown,25,CB,6,0,186,5-10,Oklahoma,9/24/1997,1,0,Seattle Seahawks / 4th / 137th pick / 2021,BrowTr03
8,Coby Bryant,23,CB,17,6,198,6-1,Cincinnati,3/29/1999,Rook,2,Seattle Seahawks / 4th / 109th pick / 2022,BryaCo01
21,Artie Burns,27,CB,3,0,197,6-0,Miami (FL),5/1/1995,6,0,Pittsburgh Steelers / 1st / 25th pick / 2016,BurnAr00
28,Justin Coleman,29,CB,12,0,190,5-11,Tennessee,3/27/1993,7,1,,ColeJu01
91,L.J. Collier,27,DE,8,0,291,6-2,TCU,9/12/1995,3,1,Seattle Seahawks / 1st / 29th pick / 2019,CollLJ00
37,Xavier Crawford,27,CB,6,0,185,5-11,Central Michigan,12/10/1995,3,0,Houston Texans / 6th / 195th pick / 2019,CrawXa00
67,Charles Cross,22,T,17,17,305,6-5,Mississippi St.,11/25/2000,Rook,9,Seattle Seahawks / 1st / 9th pick / 2022,CrosCh00
74,Jake Curhan,24,T,4,0,316,6-6,California,2/9/1998,1,0,,CurhJa00
31,DeeJay Dallas,24,RB,15,0,214,5-10,Miami (FL),9/16/1998,2,2,Seattle Seahawks / 4th / 144th pick / 2020,DallDe00
4,Michael Dickson,26,P,17,0,208,6-2,Texas,1/4/1996,4,3,Seattle Seahawks / 5th / 149th pick / 2018,DickMi00
6,Quandre Diggs,29,FS,17,17,197,5-9,Texas,1/22/1993,7,8,Detroit Lions / 6th / 200th pick / 2015,DiggQu00
89,Will Dissly,26,TE,15,15,265,6-4,Washington,7/8/1996,4,3,Seattle Seahawks / 4th / 120th pick / 2018,DissWi00
24,Isaiah Dunn,23,CB,5,0,193,6-0,Oregon St.,1/31/1999,1,0,,DunnIs00
1,D'Wayne Eskridge,25,WR,10,0,190,5-9,Western Michigan,3/23/1997,1,1,Seattle Seahawks / 2nd / 56th pick / 2021,EskrDW00
87,Noah Fant,25,TE,17,16,249,6-4,Iowa,11/20/1997,3,4,Denver Broncos / 1st / 20th pick / 2019,FantNo00
97,Poona Ford,27,DT,17,16,310,5-11,Texas,11/19/1995,4,7,,FordPo00
78,Stone Forsythe,25,T,17,1,307,6-8,Florida,12/29/1997,1,2,Seattle Seahawks / 6th / 208th pick / 2021,ForsSt00
61,Kyle Fuller,28,OL,17,0,320,6-5,Baylor,3/4/1994,5,1,Houston Texans / 7th / 243rd pick / 2017,FullKy01
41,Cullen Gillaspia,27,LB,6,0,235,6-2,Texas A&M,5/12/1995,3,0,Houston Texans / 7th / 220th pick / 2019,GillCu00
11,Marquise Goodwin,32,WR,13,2,180,5-9,Texas,11/19/1990,9,4,Buffalo Bills / 3rd / 78th pick / 2013,GoodMa00
93,Shelby Harris,31,DE,15,15,290,6-2,Illinois St.,8/11/1991,8,6,Oakland Raiders / 7th / 235th pick / 2014,HarrSh00
19,Penny Hart,26,WR,9,0,180,5-8,Georgia St.,7/5/1996,2,0,,HartPe01
60,Phil Haynes,27,G,15,3,322,6-4,Wake Forest,10/19/1995,3,2,Seattle Seahawks / 4th / 124th pick / 2019,HaynPh00
