No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
97,Mario Addison,35,DL,12,1,260,3-Jun,Troy,9/6/87,11,1,
88,Jordan Akins,30,TE,15,3,243,4-Jun,Central Florida,4/19/92,4,4,Houston Texans / 3rd / 98th pick / 2018
3,Kyle Allen,26,QB,2,2,210,3-Jun,"Texas A&M,Houston",3/8/96,4,1,
35,Grayland Arnold,25,DB,8,0,190,10-May,Baylor,9/4/97,2,0,
20,Eno Benjamin,23,RB,2,0,207,9-May,Arizona St.,4/13/99,1,0,Arizona Cardinals / 7th / 222nd pick / 2020
56,Thomas Booker,23,DL,10,1,310,4-Jun,Stanford,11/11/99,Rook,1,Houston Texans / 5th / 150th pick / 2022
68,Justin Britt,31,OL,1,1,315,6-Jun,Missouri,5/29/91,8,0,Seattle Seahawks / 2nd / 64th pick / 2014
85,Pharaoh Brown,28,TE,3,3,258,6-Jun,Oregon,5/4/94,5,1,
28,Rex Burkhead,32,RB,16,0,215,10-May,Nebraska,7/2/90,9,2,Cincinnati Bengals / 6th / 190th pick / 2013
17,Jalen Camp,24,WR,2,0,220,2-Jun,Georgia Tech,7/10/98,1,0,Jacksonville Jaguars / 6th / 209th pick / 2021
60,A.J. Cann,31,OL,16,16,315,3-Jun,South Carolina,10/23/91,7,5,Jacksonville Jaguars / 3rd / 67th pick / 2015
53,Blake Cashman,26,LB,16,1,237,1-Jun,Minnesota,5/10/96,3,2,New York Jets / 5th / 157th pick / 2019
96,Maliek Collins,27,DL,15,15,310,2-Jun,Nebraska,4/8/95,6,7,Dallas Cowboys / 3rd / 67th pick / 2016
12,Nico Collins,23,WR,10,7,215,4-Jun,Michigan,3/19/99,1,4,Houston Texans / 3rd / 89th pick / 2021
18,Chris Conley,30,WR,2,0,205,3-Jun,Georgia,10/25/92,7,0,Kansas City Chiefs / 3rd / 76th pick / 2015
13,Brandin Cooks,29,WR,13,13,183,10-May,Oregon St.,9/25/93,8,5,New Orleans Saints / 1st / 20th pick / 2014
76,Austin Deculus,23,OL,5,0,325,6-Jun,LSU,3/12/99,Rook,0,Houston Texans / 6th / 205th pick / 2022
2,Phillip Dorsett,29,WR,15,4,192,10-May,Miami (FL),1/5/93,7,2,Indianapolis Colts / 1st / 29th pick / 2015
6,Jeff Driskel,29,QB,7,2,235,4-Jun,"Florida,Louisiana Tech",4/23/93,4,1,San Francisco 49ers / 6th / 207th pick / 2016
50,Michael Dwumfour,24,DL,7,0,296,1-Jun,"Michigan,Rutgers",1/1/98,1,1,
7,Ka'imi Fairbairn,28,K,17,0,183,Jun-00,UCLA,1/29/94,5,5,
38,Jacobi Francis,24,DB,5,0,193,11-May,Memphis,9/6/98,Rook,0,
26,Royce Freeman,26,RB,4,1,238,Jun-00,Oregon,2/24/96,4,1,Denver Broncos / 3rd / 71st pick / 2018
59,Kenyon Green,21,OL,15,14,325,4-Jun,Texas A&M,3/15/01,Rook,5,Houston Texans / 1st / 15th pick / 2022
92,Rasheem Green,25,DL,16,5,279,4-Jun,USC,5/15/97,4,3,Seattle Seahawks / 3rd / 79th pick / 2018
52,Jonathan Greenard,25,DL,8,4,263,3-Jun,"Louisville,Florida",5/25/97,2,3,Houston Texans / 3rd / 90th pick / 2020
51,Kamu Grugier-Hill,28,LB,6,6,230,2-Jun,East. Illinois,5/16/94,6,3,New England Patriots / 6th / 208th pick / 2016
34,Troy Hairston,24,FB,16,5,245,11-May,Central Michigan,12/8/98,Rook,0,
49,Jake Hansen,24,LB,11,2,230,1-Jun,Illinois,6/19/98,Rook,2,
48,Christian Harris,21,LB,12,11,226,1-Jun,Alabama,1/16/01,Rook,6,Houston Texans / 3rd / 75th pick / 2022
94,Demone Harris,27,DL,3,0,272,4-Jun,Buffalo,12/30/95,4,0,
67,Charlie Heck,26,OL,17,3,315,8-Jun,North Carolina,11/20/96,2,2,Houston Texans / 4th / 126th pick / 2020
43,Neville Hewitt,29,LB,14,0,234,2-Jun,Marshall,4/6/93,7,1,
69,Kurt Hinish,23,DL,15,3,296,,Notre Dame,4/27/99,Rook,2,
83,O.J. Howard,28,TE,13,10,251,6-Jun,Alabama,11/18/94,5,1,Tampa Bay Buccaneers / 1st / 19th pick / 2017
71,Tytus Howard,26,OL,17,17,322,5-Jun,Alabama St.,5/23/96,3,6,Houston Texans / 1st / 23rd pick / 2019
55,Jerry Hughes,34,DL,17,16,254,2-Jun,TCU,8/13/88,12,8,Indianapolis Colts / 1st / 31st pick / 2010
90,Jaleel Johnson,28,DT,3,1,316,3-Jun,Iowa,7/12/94,5,1,Minnesota Vikings / 4th / 109th pick / 2017
89,Johnny Johnson,23,WR,1,0,199,,Oregon,5/4/99,Rook,0,
14,Tyler Johnson,24,WR,2,0,206,1-Jun,Minnesota,8/25/98,2,0,Tampa Bay Buccaneers / 5th / 161st pick / 2020
18,Tyron Johnson,26,WR,2,1,193,1-Jun,"LSU,Oklahoma St.",1/8/96,2,0,
11,Cameron Johnston,30,P,17,0,194,11-May,Ohio St.,2/24/92,4,4,
9,Brevin Jordan,22,TE,11,3,245,3-Jun,Miami (FL),7/16/00,1,1,Houston Texans / 5th / 147th pick / 2021
25,Desmond King,28,DB,17,13,200,10-May,Iowa,12/14/94,5,6,Los Angeles Chargers / 5th / 151st pick / 2017
58,Christian Kirksey,30,LB,17,17,235,2-Jun,Iowa,8/31/92,8,9,Cleveland Browns / 3rd / 71st pick / 2014
91,Roy Lopez,25,DL,17,14,318,2-Jun,"New Mexico St.,Arizona",8/7/97,1,7,Houston Texans / 6th / 195th pick / 2021
