No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
33,Brian Asamoah,22,LB,16,0,228,6-1,Oklahoma,3/29/2000,Rook,1,Minnesota Vikings / 3rd / 66th pick / 2022,AsamBr00
27,Kalon Barnes,24,CB,2,0,186,6-0,Baylor,12/16/1998,Rook,0,Carolina Panthers / 7th / 242nd pick / 2022,BarnKa00
96,Ross Blacklock,24,DL,11,0,290,6-3,TCU,7/9/1998,2,1,Houston Texans / 2nd / 40th pick / 2020,BlacRo00
23,Andrew Booth,22,CB,6,1,195,6-0,Clemson,9/28/2000,Rook,1,Minnesota Vikings / 2nd / 42nd pick / 2022,BootAn00
29,Kris Boyd,26,CB,17,0,195,5-11,Texas,9/12/1996,3,1,Minnesota Vikings / 7th / 217th pick / 2019,BoydKr00
56,Garrett Bradbury,27,C,12,12,300,6-3,North Carolina St.,6/20/1995,3,5,Minnesota Vikings / 1st / 18th pick / 2019,BradGa00
64,Blake Brandel,25,T,9,3,315,6-7,Oregon St.,1/23/1997,1,2,Minnesota Vikings / 6th / 203rd pick / 2020,BranBl00
79,Jonathan Bullard,29,DL,12,7,290,6-3,Florida,10/22/1993,6,3,Chicago Bears / 3rd / 72nd pick / 2016,BullJo00
24,Camryn Bynum,24,S,17,17,200,6-0,California,7/19/1998,1,6,Minnesota Vikings / 4th / 125th pick / 2021,BynuCa00
32,Ty Chandler,24,RB,3,0,210,6-0,TennesseeNorth Carolina,5/12/1998,Rook,0,Minnesota Vikings / 5th / 169th pick / 2022,ChanTy01
85,Dan Chisena,25,WR,2,0,202,6-3,Penn St.,2/25/1997,2,0,,ChisDa00
6,Lewis Cine,23,S,3,0,200,6-1,Georgia,10/5/1999,Rook,0,Minnesota Vikings / 1st / 32nd pick / 2022,CineLe00
72,Ezra Cleveland,24,G,17,17,312,6-6,Boise St.,5/8/1998,2,7,Minnesota Vikings / 2nd / 58th pick / 2020,ClevEz00
57,Ryan Connelly,27,LB,1,0,234,6-2,Wisconsin,10/23/1995,3,0,New York Giants / 5th / 143rd pick / 2019,ConnRy00
4,Dalvin Cook,27,RB,17,17,210,5-10,Florida St.,8/10/1995,5,10,Minnesota Vikings / 2nd / 41st pick / 2017,CookDa01
8,Kirk Cousins,34,QB,17,17,205,6-3,Michigan St.,8/19/1988,10,13,Washington Redskins / 4th / 102nd pick / 2012,CousKi00
27,Cameron Dantzler,24,CB,10,9,190,6-2,Mississippi St.,9/3/1998,2,3,Minnesota Vikings / 3rd / 89th pick / 2020,DantCa00
71,Christian Darrisaw,23,T,14,14,315,6-5,Virginia Tech,6/2/1999,1,7,Minnesota Vikings / 1st / 23rd pick / 2021,DarrCh00
42,Andrew DePaola,35,LS,17,0,229,6-1,Rutgers,7/28/1987,8,0,,DePaAn00
46,Myles Dorn,24,S,5,0,210,6-2,North Carolina,6/25/1998,1,0,,DornMy01
45,Troy Dye,26,LB,17,0,225,6-3,Oregon,9/18/1996,2,1,Minnesota Vikings / 4th / 132nd pick / 2020,DyexTr00
82,Ben Ellefson,26,TE,4,1,250,6-3,North Dakota St.,9/1/1996,2,0,,ElleBe00
21,Akayleb Evans,23,CB,10,2,198,6-2,TulsaMissouri,6/22/1999,Rook,1,Minnesota Vikings / 4th / 118th pick / 2022,EvanAk00
31,Tay Gowan,24,CB,3,0,185,6-2,Butler (KS)Central Florida,1/7/1998,1,0,Arizona Cardinals / 6th / 223rd pick / 2021,GowaTa00
30,C.J. Ham,29,FB,17,4,250,5-11,Augustana (SD),7/22/1993,5,1,,HamxC.00
58,Jordan Hicks,30,LB,17,17,236,6-1,Texas,6/27/1992,7,7,Philadelphia Eagles / 3rd / 84th pick / 2015,HickJo00
68,Kyle Hinton,24,G,2,0,310,6-3,Washburn,2/27/1998,Rook,0,Minnesota Vikings / 7th / 253rd pick / 2020,HintKy00
87,T.J. Hockenson,25,TE,10,7,248,6-5,Iowa,7/3/1997,3,4,Detroit Lions / 1st / 8th pick / 2019,HockTJ00
89,Jacob Hollister,29,TE,2,0,239,6-4,Wyoming,11/18/1993,5,0,,HollJa03
99,Danielle Hunter,28,OLB,17,17,263,6-5,LSU,10/29/1994,7,10,Minnesota Vikings / 3rd / 88th pick / 2015,HuntDa01
67,Ed Ingram,23,G,17,17,315,6-3,LSU,2/11/1999,Rook,7,Minnesota Vikings / 2nd / 59th pick / 2022,IngrEd00
25,Theo Jackson,24,S,11,0,203,6-2,Tennessee,10/2/1998,Rook,1,Tennessee Titans / 6th / 204th pick / 2022,JackTh00
18,Justin Jefferson,23,WR,17,17,195,6-1,LSU,6/16/1999,2,15,Minnesota Vikings / 1st / 22nd pick / 2020,JeffJu00
91,Patrick Jones II,24,OLB,16,0,264,6-4,Pittsburgh,9/29/1998,1,1,Minnesota Vikings / 3rd / 90th pick / 2021,JonePa00
1,Greg Joseph,28,K,17,0,206,6-0,Florida Atlantic,8/4/1994,4,2,,JoseGr00
54,Eric Kendricks,30,LB,17,17,232,6-0,UCLA,2/29/1992,7,7,Minnesota Vikings / 2nd / 45th pick / 2015,KendEr00
47,William Kwenkeu,25,LB,6,0,235,6-1,Temple,1/8/1997,Rook,0,,KwenWi00
63,Vederian Lowe,23,T,4,0,320,6-6,Illinois,4/17/1999,Rook,0,Minnesota Vikings / 6th / 184th pick / 2022,LoweVe00
92,James Lynch,23,DL,15,2,295,6-4,Baylor,1/20/1999,2,2,Minnesota Vikings / 4th / 130th pick / 2020,LyncJa00
69,Greg Mancz,30,C,1,0,302,6-4,Toledo,4/23/1992,7,0,,MancGr00
2,Alexander Mattison,24,RB,17,0,215,5-11,Boise St.,6/19/1998,3,2,Minnesota Vikings / 3rd / 102nd pick / 2019,MattAl01
44,Josh Metellus,24,S,17,3,207,5-11,Michigan,1/21/1998,2,2,Minnesota Vikings / 6th / 205th pick / 2020,MeteJo00
12,Nick Mullens,27,QB,4,0,210,6-1,Southern Miss,3/21/1995,4,1,,MullNi00
86,Johnny Mundt,28,TE,17,12,233,6-4,Oregon,11/23/1994,5,1,,MundJo00
34,Nick Muse,24,TE,10,0,249,6-4,William & MarySouth Carolina,11/25/1998,Rook,0,Minnesota Vikings / 7th / 227th pick / 2022,MuseNi00
83,Jalen Nailor,23,WR,15,0,190,6-0,Michigan St.,3/2/1999,Rook,1,Minnesota Vikings / 6th / 191st pick / 2022,NailJa00
26,Kene Nwangwu,24,RB,17,0,210,6-1,Iowa St.,2/9/1998,1,1,Minnesota Vikings / 4th / 119th pick / 2021,NwanKe00
75,Brian O'Neill,27,T,16,16,310,6-7,Pittsburgh,9/15/1995,4,8,Minnesota Vikings / 2nd / 62nd pick / 2018,ONeiBr00
17,K.J. Osborn,25,WR,17,9,203,5-11,BuffaloMiami (FL),6/10/1997,2,5,Minnesota Vikings / 5th / 176th pick / 2020,OsboKJ00
90,Esezi Otomewo,23,DL,5,0,285,6-6,Minnesota,3/9/1999,Rook,0,Minnesota Vikings / 5th / 165th pick / 2022,OtomEs00
7,Patrick Peterson,32,CB,17,17,198,6-1,LSU,7/11/1990,11,6,Arizona Cardinals / 1st / 5th pick / 2011,PetePa00
97,Harrison Phillips,26,DL,17,17,307,6-3,Stanford,1/25/1996,4,7,Buffalo Bills / 3rd / 96th pick / 2018,PhilHa00
5,Jalen Reagor,23,WR,17,0,197,5-11,TCU,1/2/1999,2,1,Philadelphia Eagles / 1st / 21st pick / 2020,ReagJa00
