feature,correlation,p_value,sample_size,q1_win_pct,q2_win_pct,q3_win_pct,q4_win_pct,interpretation
nfelo,0.8677184003469787,1.1164419244719338e-166,544,0.28471020761245674,0.4385002162629758,0.5723399653979239,0.7874134948096886,"Pearson correlation between nfelo and win_pct is 0.868 (p=0.000), indicating positive association."
qb_grade_mean,0.6539161241277318,9.035389744636663e-60,479,0.3375612745098039,0.4581188725490196,0.5609375,0.7276631240731588,"Pearson correlation between qb_grade_mean and win_pct is 0.654 (p=0.000), indicating positive association."
wr_grade_mean,0.42796422285816643,8.476751807985877e-23,480,0.3939950980392157,0.48400735294117647,0.568688725490196,0.6362132352941177,"Pearson correlation between wr_grade_mean and win_pct is 0.428 (p=0.000), indicating positive association."
cb_grade_mean,0.36636751764511055,1.0769988622051593e-16,480,0.4080269607843137,0.48795955882352937,0.5597120098039216,0.6272058823529412,"Pearson correlation between cb_grade_mean and win_pct is 0.366 (p=0.000), indicating positive association."
te_grade_mean,0.3047444960115573,8.968956890439096e-12,480,0.42598039215686273,0.509344362745098,0.5521446078431372,0.5954350490196079,"Pearson correlation between te_grade_mean and win_pct is 0.305 (p=0.000), indicating positive association."
s_grade_mean,0.2941210501442756,4.9308207799327245e-11,480,0.4464460784313725,0.48909313725490194,0.5419117647058823,0.605453431372549,"Pearson correlation between s_grade_mean and win_pct is 0.294 (p=0.000), indicating positive association."
ol_grade_mean,0.2753910355787109,8.417718038702072e-10,480,0.4528799019607843,0.49721200980392155,0.5196691176470588,0.6131433823529412,"Pearson correlation between ol_grade_mean and win_pct is 0.275 (p=0.000), indicating positive association."
ed_grade_mean,0.26380619765219604,7.649749182084327e-09,465,0.44252765208647565,0.5051660750507099,0.5238019776876268,0.5921336206896551,"Pearson correlation between ed_grade_mean and win_pct is 0.264 (p=0.000), indicating positive association."
proe,0.2449061270138283,9.356302044544927e-06,320,0.4860753676470589,0.4664522058823529,0.5125919117647059,0.6181066176470589,"Pearson correlation between proe and win_pct is 0.245 (p=0.000), indicating positive association."
hb_grade_mean,0.2253615204372121,6.952662600146633e-07,475,0.43416337123084525,0.525488136431043,0.5309384346959123,0.5916955017301039,"Pearson correlation between hb_grade_mean and win_pct is 0.225 (p=0.000), indicating positive association."
lb_grade_mean,0.2038095774664787,6.765688616118449e-06,480,0.4807598039215686,0.49543504901960783,0.5205882352941177,0.5861213235294117,"Pearson correlation between lb_grade_mean and win_pct is 0.204 (p=0.000), indicating positive association."
di_grade_mean,0.1589636384228774,0.0004724797985044105,480,0.4722426470588235,0.5303615196078432,0.5360906862745097,0.5442095588235295,"Pearson correlation between di_grade_mean and win_pct is 0.159 (p=0.000), indicating positive association."
