,Team,QB,RB/FB,WR,TE,OL,DL,LB,DB,K/P/LS
0,Cardinals,19.0,16.0,31.0,8.0,2.0,8.0,4.0,0.0,5.0
1,Falcons,10.0,16.0,13.0,11.0,2.0,5.0,5.0,2.0,8.0
2,Ravens,14.0,9.0,19.0,11.0,0.0,7.0,2.0,2.0,9.0
3,Bills,19.0,14.0,32.0,6.0,1.0,7.0,12.0,0.0,4.0
4,Panthers,10.0,14.0,18.0,2.0,1.0,4.0,7.0,2.0,5.0
5,Bears,10.0,11.0,20.0,7.0,2.0,8.0,4.0,0.0,5.0
6,Bengals,15.0,16.0,31.0,6.0,4.0,11.0,9.0,0.0,7.0
7,Browns,11.0,18.0,18.0,9.0,3.0,8.0,3.0,1.0,3.0
8,Cowboys,15.0,17.0,29.0,8.0,1.0,8.0,7.0,0.0,5.0
9,Broncos,13.0,15.0,19.0,9.0,4.0,2.0,9.0,0.0,7.0
10,Lions,12.0,15.0,21.0,6.0,1.0,5.0,8.0,1.0,6.0
11,Packers,17.0,19.0,31.0,6.0,4.0,4.0,5.0,1.0,3.0
12,Texans,9.0,10.0,18.0,4.0,1.0,9.0,5.0,0.0,4.0
13,Colts,14.0,23.0,23.0,7.0,3.0,7.0,5.0,2.0,5.0
14,Jaguars,7.0,8.0,19.0,2.0,3.0,6.0,5.0,4.0,6.0
15,Chiefs,18.0,17.0,26.0,12.0,1.0,3.0,4.0,0.0,6.0
16,Raiders,12.0,15.0,22.0,8.0,0.0,6.0,7.0,1.0,9.0
17,Chargers,18.0,18.0,31.0,9.0,4.0,4.0,5.0,1.0,4.0
18,Rams,15.0,12.0,38.0,5.0,2.0,3.0,8.0,2.0,6.0
19,Dolphins,9.0,11.0,17.0,10.0,0.0,3.0,13.0,1.0,5.0
20,Vikings,14.0,17.0,26.0,5.0,1.0,4.0,4.0,3.0,6.0
21,Patriots,15.0,20.0,25.0,9.0,6.0,8.0,8.0,2.0,5.0
22,Saints,15.0,12.0,19.0,3.0,4.0,14.0,6.0,0.0,6.0
23,Giants,3.0,11.0,15.0,5.0,0.0,5.0,8.0,3.0,6.0
24,Jets,9.0,13.0,22.0,5.0,1.0,7.0,2.0,2.0,5.0
25,Eagles,19.0,18.0,21.0,11.0,3.0,9.0,4.0,2.0,6.0
26,Steelers,10.0,11.0,21.0,6.0,1.0,10.0,4.0,2.0,7.0
27,49ers,15.0,15.0,26.0,8.0,2.0,8.0,4.0,0.0,6.0
28,Seahawks,14.0,16.0,25.0,7.0,5.0,7.0,3.0,1.0,5.0
29,Buccaneers,16.0,14.0,31.0,10.0,4.0,7.0,7.0,0.0,3.0
30,Titans,13.0,22.0,23.0,3.0,4.0,6.0,8.0,1.0,4.0
31,Commanders,12.0,11.0,25.0,6.0,2.0,6.0,6.0,1.0,6.0
